root_device;signal;id;device;channel;description;controller;inverseLogic
CAS-VENT-VF1-CA;directSpinInput;1;CGBT_BM;M3DI11;CAS-VENT-VF1-CA Estado giro sentido directo;WAGO;false
CAS-VENT-VF1-CA;directSpinOutput;2;CGBT_BM;M3DO1;CAS-VENT-VF1-CA Control giro sentido directo;WAGO;false
CAS-VENT-VF1-CA;inverseSpinInput;3;CGBT_BM;M3DI12;CAS-VENT-VF1-CA Estado giro sentido inverso;WAGO;false
CAS-VENT-VF1-CA;inverseSpinOutput;4;CGBT_BM;M3DO2;CAS-VENT-VF1-CA Control giro sentido inverso;WAGO;false
CAS-VENT-VF2-CA;directSpinInput;1;CGBT_BM;M3DI15;CAS-VENT-VF2-CA Estado giro sentido directo;WAGO;false
CAS-VENT-VF2-CA;directSpinOutput;2;CGBT_BM;M3DO3;CAS-VENT-VF2-CA Control giro sentido directo;WAGO;false
CAS-VENT-VF2-CA;inverseSpinInput;3;CGBT_BM;M4DI0;CAS-VENT-VF2-CA Estado giro sentido inverso;WAGO;false
CAS-VENT-VF2-CA;inverseSpinOutput;4;CGBT_BM;M3DO4;CAS-VENT-VF2-CA Control giro sentido inverso;WAGO;false
CAS-VENT-VF3-CA;directSpinInput;1;CGBT_BM;M4DI3;CAS-VENT-VF3-CA  Estado giro sentido directo;WAGO;false
CAS-VENT-VF3-CA;directSpinOutput;2;CGBT_BM;M3DO5;CAS-VENT-VF3-CA  Control giro sentido directo;WAGO;false
CAS-VENT-VF3-CA;inverseSpinInput;3;CGBT_BM;M4DI4;CAS-VENT-VF3-CA  Estado giro sentido inverso;WAGO;false
CAS-VENT-VF3-CA;inverseSpinOutput;4;CGBT_BM;M3DO6;CAS-VENT-VF3-CA  Control giro sentido inverso;WAGO;false
CAS-VENT-VF4-CA;directSpinInput;1;CGBT_BM;M4DI7;CAS-VENT-VF4-CA  Estado giro sentido directo;WAGO;false
CAS-VENT-VF4-CA;directSpinOutput;2;CGBT_BM;M3DO7;CAS-VENT-VF4-CA  Control giro sentido directo;WAGO;false
CAS-VENT-VF4-CA;inverseSpinInput;3;CGBT_BM;M4DI8;CAS-VENT-VF4-CA  Estado giro sentido inverso;WAGO;false
CAS-VENT-VF4-CA;inverseSpinOutput;4;CGBT_BM;M4DO0;CAS-VENT-VF4-CA  Control giro sentido inverso;WAGO;false
CAS-VENT-VF5-CA;directSpinInput;1;CGBT_BM;M4DI11;CAS-VENT-VF5-CA  Estado giro sentido directo;WAGO;false
CAS-VENT-VF5-CA;directSpinOutput;2;CGBT_BM;M4DO1;CAS-VENT-VF5-CA  Control giro sentido directo;WAGO;false
CAS-VENT-VF5-CA;inverseSpinInput;3;CGBT_BM;M4DI12;CAS-VENT-VF5-CA  Estado giro sentido inverso;WAGO;false
CAS-VENT-VF5-CA;inverseSpinOutput;4;CGBT_BM;M4DO2;CAS-VENT-VF5-CA  Control giro sentido inverso;WAGO;false
CAS-VENT-VF6-CA;directSpinInput;1;CGBT_BM;M4DI15;CAS-VENT-VF6-CA  Estado giro sentido directo;WAGO;false
CAS-VENT-VF6-CA;directSpinOutput;2;CGBT_BM;M4DO3;CAS-VENT-VF6-CA  Control giro sentido directo;WAGO;false
CAS-VENT-VF6-CA;inverseSpinInput;3;CGBT_BM;M5DI0;CAS-VENT-VF6-CA  Estado giro sentido inverso;WAGO;false
CAS-VENT-VF6-CA;inverseSpinOutput;4;CGBT_BM;M4DO4;CAS-VENT-VF6-CA  Control giro sentido inverso;WAGO;false
CAS-VENT-VF7-CA;directSpinInput;1;CGBT_BC;M5DI7;CAS-VENT-VF7-CA  Estado giro sentido directo;WAGO;false
CAS-VENT-VF7-CA;directSpinOutput;2;CGBT_BC;M4DO7;CAS-VENT-VF7-CA  Control giro sentido directo;WAGO;false
CAS-VENT-VF7-CA;inverseSpinInput;3;CGBT_BC;M5DI8;CAS-VENT-VF7-CA  Estado giro sentido inverso;WAGO;false
CAS-VENT-VF7-CA;inverseSpinOutput;4;CGBT_BC;M5DO0;CAS-VENT-VF7-CA  Control giro sentido inverso;WAGO;false
CAS-VENT-VF8-CA;directSpinInput;1;CGBT_BC;M5DI11;CAS-VENT-VF8-CA  Estado giro sentido directo;WAGO;false
CAS-VENT-VF8-CA;directSpinOutput;2;CGBT_BC;M5DO1;CAS-VENT-VF8-CA  Control giro sentido directo;WAGO;false
CAS-VENT-VF8-CA;inverseSpinInput;3;CGBT_BC;M5DI12;CAS-VENT-VF8-CA  Estado giro sentido inverso;WAGO;false
CAS-VENT-VF8-CA;inverseSpinOutput;4;CGBT_BC;M5DO2;CAS-VENT-VF8-CA  Control giro sentido inverso;WAGO;false
