model;description;spinningStatusRegisterXAddress;spinningStatusRegisterXStatusAddress;spinningRegisterXAddress;spinningRegisterXStatusAddress
A;CAS-VENT-VF1-MA;16508;616;25028;626
A;CAS-VENT-VF2-MA;16509;617;25029;627
A;CAS-VENT-VF3-MA;16510;618;25030;628
A;CAS-VENT-VF4-MA;16511;619;25031;629
A;CAS-VENT-VF5-MA;16512;620;25032;630
A;CAS-VENT-VF6-MA;16513;621;25033;631
A;CAS-VENT-VF7-MA;16514;622;25034;632
A;CAS-VENT-VF8-MA;16515;623;25035;633
A;CAS-VENT-VF9-MA;16516;624;25036;634
A;CAS-VENT-VF10-MA;16517;625;25037;635
