name;device;channel;description;controller;xAddress;xStatusAddress;xAlarmAddress;xAlarmStatusAddress;multiplier;offset;log;units;avg
CH-VENT-VF1-CA;SOS_C1;M2AI1;CH-VENT-VF1-CA Nivel de Vibracion Ventilador;WAGO;16600;100;700;148;0.000763;0.0;false;mm/s;false
CH-VENT-VF2-CA;SOS_C1;M2AI0;CH-VENT-VF2-CA Nivel de Vibracion Ventilador;WAGO;16602;101;701;149;0.000763;0.0;false;mm/s;false
CH-VENT-VF3-CA;SOS_C1;M1AI7;CH-VENT-VF3-CA Nivel de Vibracion Ventilador;WAGO;16604;102;702;150;0.000763;0.0;false;mm/s;false
CH-VENT-VF4-CA;SOS_C1;M2AI4;CH-VENT-VF4-CA Nivel de Vibracion Ventilador;WAGO;16606;103;703;151;0.000763;0.0;false;mm/s;false
CH-VENT-VF5-CA;SOS_C1;M2AI3;CH-VENT-VF5-CA Nivel de Vibracion Ventilador;WAGO;16608;104;704;152;0.000763;0.0;false;mm/s;false
CH-VENT-VF6-CA;SOS_C1;M2AI2;CH-VENT-VF6-CA Nivel de Vibracion Ventilador;WAGO;16610;105;705;153;0.000763;0.0;false;mm/s;false
CH-VENT-VF7-CA;SOS_C2;M2AI1;CH-VENT-VF7-CA Nivel de Vibracion Ventilador;WAGO;16612;106;706;154;0.000763;0.0;false;mm/s;false
CH-VENT-VF8-CA;SOS_C2;M2AI2;CH-VENT-VF8-CA Nivel de Vibracion Ventilador;WAGO;16614;107;707;155;0.000763;0.0;false;mm/s;false
CH-VENT-VF1-CA;SOS_C1;M4AI0;CH-VENT-VF1-CA Temperatura Rodamientos Delantero Motor Ventilador;WAGO;16616;108;708;156;0.0625;0.0;false;C;false
CH-VENT-VF1-CA;SOS_C1;M4AI1;CH-VENT-VF1-CA Temperatura Rodamientos Trasero Motor Ventilador;WAGO;16618;109;709;157;0.0625;0.0;false;C;false
CH-VENT-VF2-CA;SOS_C1;M3AI2;CH-VENT-VF2-CA Temperatura Rodamientos Delantero Motor Ventilador;WAGO;16620;110;710;158;0.0625;0.0;false;C;false
