name;device;channel;description;controller;xAddress;xStatusAddress;xAlarmAddress;xAlarmStatusAddress;multiplier;offset;log;units;avg
COR-CO-1MA;SOS_M1;M1AI0;COR-CO-1MA Nievel de CO M1;WAGO;16600;100;700;200;0.009158;0.0;true;ppm;false
COR-NO-1MA;SOS_M1;M1AI1;COR-NO-1MA Nivel de NO2;WAGO;16602;101;701;201;0.000611;0.0;true;ppm;false
COR-OP-1MA;SOS_M1;M1AI2;COR-OP-1MA Nivel de opacidad;WAGO;16604;102;702;202;0.000003052;0.0;true;m-1;false
COR-ANE-1MA;SOS_M1;M1AI3;COR-ANE-1MA Velocidad y Direccion del viento;WAGO;16606;103;703;203;-0.001221;20;false;m/s;false
COR-LUX-1MA;SOS_M1;M1AI4;COR-LUX-1MA Nivel de luminosidad;WAGO;16608;104;704;204;0.0304945054945055;1.0;false;lux;false
COR-LUX-2MA;SOS_M1;M1AI5;COR-LUX-2MA Nivel de luminosidad;WAGO;16610;105;705;205;0.0304945054945055;1.0;false;lux;false
COR-LUX-3MA;SOS_M1;M1AI6;COR-LUX-3MA Nivel de luminosidad;WAGO;16612;106;706;206;0.0304945054945055;1.0;false;lux;false
COR-CO-2MA;SOS_M2;M1AI0;COR-CO-2MA Nievel de CO M2;WAGO;16614;107;707;207;0.009158;0.0;true;ppm;false
COR-NO-2MA;SOS_M2;M1AI1;COR-NO-2MA Nivel de NO2;WAGO;16616;108;708;208;0.000611;0.0;true;ppm;false
COR-OP-2MA;SOS_M2;M1AI2;COR-OP-2MA Nivel de opacidad;WAGO;16618;109;709;209;0.000003052;0.0;true;m-1;false
COR-LUX-4MA;SOS_M2;M1AI3;COR-LUX-4MA Nivel de luminosidad;WAGO;16620;110;710;210;0.0304945054945055;1.0;false;lux;false
COR-CO-3MA;SOS_M3;M1AI0;COR-CO-3MA Nievel de CO M3;WAGO;16622;111;711;211;0.009158;0.0;true;ppm;false
COR-NO-3MA;SOS_M3;M1AI1;COR-NO-3MA Nivel de NO2;WAGO;16624;112;712;212;0.000611;0.0;true;ppm;false
COR-OP-3MA;SOS_M3;M1AI2;COR-OP-3MA Nivel de opacidad;WAGO;16626;113;713;213;0.000003052;0.0;true;m-1;false
COR-ANE-2MA;SOS_M3;M1AI3;COR-ANE-2MA Velocidad y Direccion del viento;WAGO;16628;114;714;214;-0.001221;20;false;m/s;false
COR-CO-4MA;SOS_M4;M1AI0;COR-CO-4MA Nievel de CO M4;WAGO;16630;115;715;215;0.009158;0.0;true;ppm;false
COR-NO-4MA;SOS_M4;M1AI1;COR-NO-4MA Nivel de NO2;WAGO;16632;116;716;216;0.000611;0.0;true;ppm;false
COR-OP-4MA;SOS_M4;M1AI2;COR-OP-4MA Nivel de opacidad;WAGO;16634;117;717;217;0.000003052;0.0;true;m-1;false
COR-LUM-1MA;CT_M;M1AI1;COR-LUM-1MA Nivel de luminosidad;WAGO;16636;118;718;218;0.1984126;0.0;false;cd/m 2;true
COR-CO-1CA;SOS_C1;M1AI0;COR-CO-1CA Nievel de CO M1;WAGO;16638;119;719;219;0.009158;0.0;true;ppm;false
COR-NO-1CA;SOS_C1;M1AI1;COR-NO-1CA Nivel de NO2;WAGO;16640;120;720;220;0.000611;0.0;true;ppm;false
COR-OP-1CA;SOS_C1;M1AI2;COR-OP-1CA Nivel de opacidad;WAGO;16642;121;721;221;0.000003052;0.0;true;m-1;false
COR-ANE-1CA;SOS_C1;M1AI3;COR-ANE-1CA Velocidad y Direccion del viento;WAGO;16644;122;722;222;-0.001221;20;false;m/s;false
COR-LUX-1CA;SOS_C1;M1AI4;COR-LUX-1CA Nivel de luminosidad;WAGO;16646;123;723;223;0.0304945054945055;1.0;false;lux;false
COR-LUX-2CA;SOS_C1;M1AI5;COR-LUX-2CA Nivel de luminosidad;WAGO;16648;124;724;224;0.0304945054945055;1.0;false;lux;false
COR-LUX-3CA;SOS_C1;M1AI6;COR-LUX-3CA Nivel de luminosidad;WAGO;16650;125;725;225;0.0304945054945055;1.0;false;lux;false
COR-CO-2CA;SOS_C2;M1AI0;COR-CO-2CA Nievel de CO M2;WAGO;16652;126;726;226;0.009158;0.0;true;ppm;false
COR-NO-2CA;SOS_C2;M1AI1;COR-NO-2CA Nivel de NO2;WAGO;16654;127;727;227;0.000611;0.0;true;ppm;false
COR-OP-2CA;SOS_C2;M1AI2;COR-OP-2CA Nivel de opacidad;WAGO;16656;128;728;228;0.000003052;0.0;true;m-1;false
COR-LUX-4CA;SOS_C2;M1AI3;COR-LUX-4CA Nivel de luminosidad;WAGO;16658;129;729;229;0.0304945054945055;1.0;false;lux;false
COR-ANE-2CA;SOS_C2;M1AI4;COR-ANE-2CA Velocidad y Direccion del viento;WAGO;16660;130;730;230;-0.001221;20;false;m/s;false
COR-CO-3CA;SOS_C3;M1AI0;COR-CO-3CA Nievel de CO M2;WAGO;16662;131;731;231;0.009158;0.0;true;ppm;false
