root_device;signal;id;device;channel;description;controller;inverseLogic
COR-VENT-VF1-CA;directSpinInput;1;CGBT_BM;M3DI11;COR-VENT-VF1-CA Estado giro sentido directo;WAGO;false
COR-VENT-VF1-CA;directSpinOutput;2;CGBT_BM;M3DO1;COR-VENT-VF1-CA Control giro sentido directo;WAGO;false
COR-VENT-VF1-CA;inverseSpinInput;3;CGBT_BM;M3DI12;COR-VENT-VF1-CA Estado giro sentido inverso;WAGO;false
COR-VENT-VF1-CA;inverseSpinOutput;4;CGBT_BM;M3DO2;COR-VENT-VF1-CA Control giro sentido inverso;WAGO;false
COR-VENT-VF2-CA;directSpinInput;1;CGBT_BM;M3DI15;COR-VENT-VF2-CA Estado giro sentido directo;WAGO;false
COR-VENT-VF2-CA;directSpinOutput;2;CGBT_BM;M3DO3;COR-VENT-VF2-CA Control giro sentido directo;WAGO;false
COR-VENT-VF2-CA;inverseSpinInput;3;CGBT_BM;M4DI0;COR-VENT-VF2-CA Estado giro sentido inverso;WAGO;false
COR-VENT-VF2-CA;inverseSpinOutput;4;CGBT_BM;M3DO4;COR-VENT-VF2-CA Control giro sentido inverso;WAGO;false
COR-VENT-VF3-CA;directSpinInput;1;CGBT_BM;M4DI3;COR-VENT-VF3-CA  Estado giro sentido directo;WAGO;false
COR-VENT-VF3-CA;directSpinOutput;2;CGBT_BM;M3DO5;COR-VENT-VF3-CA  Control giro sentido directo;WAGO;false
COR-VENT-VF3-CA;inverseSpinInput;3;CGBT_BM;M4DI4;COR-VENT-VF3-CA  Estado giro sentido inverso;WAGO;false
COR-VENT-VF3-CA;inverseSpinOutput;4;CGBT_BM;M3DO6;COR-VENT-VF3-CA  Control giro sentido inverso;WAGO;false
COR-VENT-VF4-CA;directSpinInput;1;CGBT_BM;M4DI7;COR-VENT-VF4-CA  Estado giro sentido directo;WAGO;false
COR-VENT-VF4-CA;directSpinOutput;2;CGBT_BM;M3DO7;COR-VENT-VF4-CA  Control giro sentido directo;WAGO;false
COR-VENT-VF4-CA;inverseSpinInput;3;CGBT_BM;M4DI8;COR-VENT-VF4-CA  Estado giro sentido inverso;WAGO;false
COR-VENT-VF4-CA;inverseSpinOutput;4;CGBT_BM;M4DO0;COR-VENT-VF4-CA  Control giro sentido inverso;WAGO;false
COR-VENT-VF5-CA;directSpinInput;1;CGBT_BM;M4DI11;COR-VENT-VF5-CA  Estado giro sentido directo;WAGO;false
COR-VENT-VF5-CA;directSpinOutput;2;CGBT_BM;M4DO1;COR-VENT-VF5-CA  Control giro sentido directo;WAGO;false
COR-VENT-VF5-CA;inverseSpinInput;3;CGBT_BM;M4DI12;COR-VENT-VF5-CA  Estado giro sentido inverso;WAGO;false
COR-VENT-VF5-CA;inverseSpinOutput;4;CGBT_BM;M4DO2;COR-VENT-VF5-CA  Control giro sentido inverso;WAGO;false
COR-VENT-VF6-CA;directSpinInput;1;CGBT_BC;M3DI11;COR-VENT-VF6-CA  Estado giro sentido directo;WAGO;false
COR-VENT-VF6-CA;directSpinOutput;2;CGBT_BC;M2DO1;COR-VENT-VF6-CA  Control giro sentido directo;WAGO;false
COR-VENT-VF6-CA;inverseSpinInput;3;CGBT_BC;M3DI12;COR-VENT-VF6-CA  Estado giro sentido inverso;WAGO;false
COR-VENT-VF6-CA;inverseSpinOutput;4;CGBT_BC;M2DO2;COR-VENT-VF6-CA  Control giro sentido inverso;WAGO;false
COR-VENT-VF7-CA;directSpinInput;1;CGBT_BC;M3DI15;COR-VENT-VF7-CA  Estado giro sentido directo;WAGO;false
COR-VENT-VF7-CA;directSpinOutput;2;CGBT_BC;M2DO3;COR-VENT-VF7-CA  Control giro sentido directo;WAGO;false
COR-VENT-VF7-CA;inverseSpinInput;3;CGBT_BC;M4DI0;COR-VENT-VF7-CA  Estado giro sentido inverso;WAGO;false
COR-VENT-VF7-CA;inverseSpinOutput;4;CGBT_BC;M2DO4;COR-VENT-VF7-CA  Control giro sentido inverso;WAGO;false
COR-VENT-VF8-CA;directSpinInput;1;CGBT_BC;M4DI3;COR-VENT-VF8-CA  Estado giro sentido directo;WAGO;false
COR-VENT-VF8-CA;directSpinOutput;2;CGBT_BC;M2DO5;COR-VENT-VF8-CA  Control giro sentido directo;WAGO;false
COR-VENT-VF8-CA;inverseSpinInput;3;CGBT_BC;M4DI4;COR-VENT-VF8-CA  Estado giro sentido inverso;WAGO;false
COR-VENT-VF8-CA;inverseSpinOutput;4;CGBT_BC;M2DO6;COR-VENT-VF8-CA  Control giro sentido inverso;WAGO;false
