root_device;signal;id;device;channel;description;controller;inverseLogic
COR-VENT-VF1-MA;directSpinInput;1;CGBT_BC;M4DI10;COR-VENT-VF1-MA Estado giro sentido directo;WAGO;false
COR-VENT-VF1-MA;directSpinOutput;2;CGBT_BC;M2DO7;COR-VENT-VF1-MA Control giro sentido directo;WAGO;false
COR-VENT-VF1-MA;inverseSpinInput;3;CGBT_BC;M4DI11;COR-VENT-VF1-MA Estado giro sentido inverso;WAGO;false
COR-VENT-VF1-MA;inverseSpinOutput;4;CGBT_BC;M2DO8;COR-VENT-VF1-MA Control giro sentido inverso;WAGO;false
COR-VENT-VF2-MA;directSpinInput;1;CGBT_BC;M4DI14;COR-VENT-VF2-MA Estado giro sentido directo;WAGO;false
COR-VENT-VF2-MA;directSpinOutput;2;CGBT_BC;M2DO9;COR-VENT-VF2-MA Control giro sentido directo;WAGO;false
COR-VENT-VF2-MA;inverseSpinInput;3;CGBT_BC;M4DI15;COR-VENT-VF2-MA Estado giro sentido inverso;WAGO;false
COR-VENT-VF2-MA;inverseSpinOutput;4;CGBT_BC;M2DO10;COR-VENT-VF2-MA Control giro sentido inverso;WAGO;false
COR-VENT-VF3-MA;directSpinInput;1;CGBT_BC;M5DI2;COR-VENT-VF3-MA Estado giro sentido directo;WAGO;false
COR-VENT-VF3-MA;directSpinOutput;2;CGBT_BC;M2DO11;COR-VENT-VF3-MA Control giro sentido directo;WAGO;false
COR-VENT-VF3-MA;inverseSpinInput;3;CGBT_BC;M5DI3;COR-VENT-VF3-MA Estado giro sentido inverso;WAGO;false
COR-VENT-VF3-MA;inverseSpinOutput;4;CGBT_BC;M2DO12;COR-VENT-VF3-MA Control giro sentido inverso;WAGO;false
COR-VENT-VF4-MA;directSpinInput;1;CGBT_BC;M5DI6;COR-VENT-VF4-MA Estado giro sentido directo;WAGO;false
COR-VENT-VF4-MA;directSpinOutput;2;CGBT_BC;M2DO13;COR-VENT-VF4-MA Control giro sentido directo;WAGO;false
COR-VENT-VF4-MA;inverseSpinInput;3;CGBT_BC;M5DI7;COR-VENT-VF4-MA Estado giro sentido inverso;WAGO;false
COR-VENT-VF4-MA;inverseSpinOutput;4;CGBT_BC;M2DO14;COR-VENT-VF4-MA Control giro sentido inverso;WAGO;false
COR-VENT-VF5-MA;directSpinInput;1;CGBT_BC;M5DI10;COR-VENT-VF5-MA Estado giro sentido directo;WAGO;false
COR-VENT-VF5-MA;directSpinOutput;2;CGBT_BC;M2DO15;COR-VENT-VF5-MA Control giro sentido directo;WAGO;false
