name;device;channel;description;controller;xAddress;xStatusAddress;xAlarmAddress;xAlarmStatusAddress;multiplier;offset;log;units;avg
LQ-CO-1MA;SOS_M1;M1AI0;Nivel de CO CO M1;WAGO;16600;100;700;148;0.009158;0.0;true;ppm;false
LQ-NO-1MA;SOS_M1;M1AI1;Nivel de NO2 NO2 M1;WAGO;16602;101;701;149;0.000611;0.0;true;ppm;false
LQ-OP-1MA;SOS_M1;M1AI2;Nivel de opacidad OP M1;WAGO;16604;102;702;150;0.00000305250;0.0;true;m-1;false
LQ-LUX-1MA;SOS_M1;M1AI3;Nivel de luminosidad M1;WAGO;16606;103;703;151;0.152625;1.0;false;lux;false
LQ-LUX-2MA;SOS_M1;M1AI4;Nivel de luminosidad M2;WAGO;16608;104;704;152;0.076282;1.0;false;lux;false
LQ-LUX-3MA;SOS_M1;M1AI5;Nivel de luminosidad M3;WAGO;16610;105;705;153;0.030494505;1.0;false;lux;false
LQ-VENT-VF1-MA;SOS_M1;M1AI7;Nivel de Vibracion Ventilador VF-01-MA;WAGO;16612;106;706;154;0.000763;0.0;false;mm/s;false
LQ-VENT-VF2-MA;SOS_M1;M2AI0;Nivel de Vibracion Ventilador VENT VF-02-MA;WAGO;16614;107;707;155;0.000763;0.0;false;mm/s;false
LQ-VENT-VF3-MA;SOS_M1;M2AI1;Nivel de Vibracion Ventilador VENT VF-03-MA;WAGO;16616;108;708;156;0.000763;0.0;false;mm/s;false
LQ-VENT-VF4-MA;SOS_M1;M2AI2;Nivel de Vibracion Ventilador VENT VF-04-MA;WAGO;16618;109;709;157;0.000763;0.0;false;mm/s;false
LQ-ANI-1MA;SOS_M1;M2AI7;Velocidad y Direccion del viento ANE M1;WAGO;16620;110;710;158;-0.001221;20;false;m/s;false
LQ-VENT-VF1-MA;SOS_M1;M3AI0;Temperatura Rodamientos Delantero Motor Ventilador VENT VF-01-MA;WAGO;16622;111;711;159;0.0625;0.0;false;C;false
