name;device;channel;description;controller;xAddress;xStatusAddress;inverseLogic
LQ-SOS-1MA;SOS_M1;M1DI3;Alarma FA Sensores FA-SENSORES SOS M1;WAGO;15500;800;false
LQ-VENT-VF1-MA;SOS_M1;M2DI0;Temperatura Devanados Motor Ventilador VENT VF-01-MA;WAGO;15501;801;false
LQ-VENT-VF2-MA;SOS_M1;M2DI1;Temperatura Devanados Motor Ventilador VENT VF-02-MA;WAGO;15502;802;false
LQ-VENT-VF3-MA;SOS_M1;M2DI2;Temperatura Devanados Motor Ventilador VENT VF-03-MA;WAGO;15503;803;false
LQ-VENT-VF4-MA;SOS_M1;M2DI3;Temperatura Devanados Motor Ventilador VENT VF-04-MA;WAGO;15504;804;false
LQ-VENT-VF1-MA;SOS_M1;M2DI8;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-01-MA;WAGO;15505;805;false
LQ-VENT-VF2-MA;SOS_M1;M2DI9;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-02-MA;WAGO;15506;806;false
LQ-VENT-VF3-MA;SOS_M1;M2DI10;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-03-MA;WAGO;15507;807;false
LQ-VENT-VF4-MA;SOS_M1;M2DI11;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-04-MA;WAGO;15508;808;false
LQ-SOS-2MA;SOS_M2;M1DI3;Alarma FA Sensores FA-SENSORES SOS M2;WAGO;15509;809;false
LQ-SOS-3MA;SOS_M3;M1DI3;Alarma FA Sensores FA-SENSORES SOS M3;WAGO;15510;810;false
LQ-VENT-VF9-MA;SOS_M3;M2DI0;Temperatura Devanados Motor Ventilador VENT VF-09-MA;WAGO;15511;811;false
LQ-VENT-VF10-MA;SOS_M3;M2DI1;Temperatura Devanados Motor Ventilador VENT VF-10-MA;WAGO;15512;812;false
LQ-VENT-VF9MA;SOS_M3;M2DI8;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-09-MA;WAGO;15513;813;false
LQ-VENT-VF10-MA;SOS_M3;M2DI9;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-10-MA;WAGO;15514;814;false
LQ-SOS-4MA;SOS_M4;M1DI3;Alarma FA Sensores FA-SENSORES SOS M4;WAGO;15515;815;false
LQ-SOS-1CA;SOS_C1;M1DI3;Alarma FA Sensores FA-SENSORES SOS C1;WAGO;15516;816;false
LQ-VENT-VF1-CA;SOS_C1;M2DI0;Temperatura Devanados Motor Ventilador VENT VF-01-CA;WAGO;15517;817;false
LQ-VENT-VF2-CA;SOS_C1;M2DI1;Temperatura Devanados Motor Ventilador VENT VF-02-CA;WAGO;15518;818;false
LQ-VENT-VF1-CA;SOS_C1;M2DI8;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-01-CA;WAGO;15519;819;false
LQ-VENT-VF2-CA;SOS_C1;M2DI9;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-02-CA;WAGO;15520;820;false
LQ-SOS-2CA;SOS_C2;M1DI3;Alarma FA Sensores FA-SENSORES SOS C2;WAGO;15521;821;false
LQ-VENT-VF3-CA;SOS_C2;M2DI0;Temperatura Devanados Motor Ventilador VENT VF-03-CA;WAGO;15522;822;false
LQ-VENT-VF4-CA;SOS_C2;M2DI1;Temperatura Devanados Motor Ventilador VENT VF-04-CA;WAGO;15523;823;false
LQ-VENT-VF5-CA;SOS_C2;M2DI2;Temperatura Devanados Motor Ventilador VENT VF-05-CA;WAGO;15524;824;false
LQ-VENT-VF6-CA;SOS_C2;M2DI3;Temperatura Devanados Motor Ventilador VENT VF-06-CA;WAGO;15525;825;false
LQ-VENT-VF3-CA;SOS_C2;M2DI8;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-03-CA;WAGO;15526;826;false
LQ-VENT-VF4-CA;SOS_C2;M2DI9;Corto circuito senal  de temperatura  de los devanados del motor Ventilador VENT VF-04-CA;WAGO;15527;827;false
