model;description;spinningStatusRegisterXAddress;spinningStatusRegisterXStatusAddress;spinningRegisterXAddress;spinningRegisterXStatusAddress
A;LQ-VENT-VF1-CA;16500;600;25020;601
A;LQ-VENT-VF2-CA;16501;601;25021;603
A;LQ-VENT-VF3-CA;16502;602;25022;605
A;LQ-VENT-VF4-CA;16503;603;25023;607
A;LQ-VENT-VF5-CA;16504;604;25024;609
A;LQ-VENT-VF6-CA;16505;605;25025;611
A;LQ-VENT-VF7-CA;16506;606;25026;613
A;LQ-VENT-VF8-CA;16507;607;25027;615
A;LQ-VENT-VF9-CA;16508;608;25028;617
A;LQ-VENT-VF10-CA;16509;609;25029;619
A;LQ-VENT-VF11-CA;16510;610;25030;621
A;LQ-VENT-VF12-CA;16511;611;25031;623
A;LQ-VENT-VF13-CA;16512;612;25032;625
A;LQ-VENT-VF14-CA;16513;613;25033;627
A;LQ-VENT-VF15-CA;16514;614;25034;629
A;LQ-VENT-VF16-CA;16515;615;25035;631
