root_device;signal;id;device;channel;description;controller;inverseLogic
LQ-VENT-VF1-MA;directSpinInput;1;CGBT;M10DI11;LQ-VENT-VF1-MA Estado giro sentido directo;WAGO;false
LQ-VENT-VF1-MA;directSpinOutput;2;CGBT;M4DO15;LQ-VENT-VF1-MA Control giro sentido directo;WAGO;false
LQ-VENT-VF1-MA;inverseSpinInput;3;CGBT;M10DI12;LQ-VENT-VF1-MA Estado giro sentido inverso;WAGO;false
LQ-VENT-VF1-MA;inverseSpinOutput;4;CGBT;M5DO0;LQ-VENT-VF1-MA Control giro sentido inverso;WAGO;false
LQ-VENT-VF2-MA;directSpinInput;1;CGBT;M10DI14;LQ-VENT-VF2-MA Estado giro sentido directo;WAGO;false
LQ-VENT-VF2-MA;directSpinOutput;2;CGBT;M5DO1;LQ-VENT-VF2-MA Control giro sentido directo;WAGO;false
LQ-VENT-VF2-MA;inverseSpinInput;3;CGBT;M10DI15;LQ-VENT-VF2-MA Estado giro sentido inverso;WAGO;false
LQ-VENT-VF2-MA;inverseSpinOutput;4;CGBT;M5DO2;LQ-VENT-VF2-MA Control giro sentido inverso;WAGO;false
LQ-VENT-VF3-MA;directSpinInput;1;CGBT;M11DI2;LQ-VENT-VF3-MA Estado giro sentido directo;WAGO;false
LQ-VENT-VF3-MA;directSpinOutput;2;CGBT;M5DO3;LQ-VENT-VF3-MA Control giro sentido directo;WAGO;false
LQ-VENT-VF3-MA;inverseSpinInput;3;CGBT;M11DI3;LQ-VENT-VF3-MA Estado giro sentido inverso;WAGO;false
LQ-VENT-VF3-MA;inverseSpinOutput;4;CGBT;M5DO4;LQ-VENT-VF3-MA Control giro sentido inverso;WAGO;false
LQ-VENT-VF4-MA;directSpinInput;1;CGBT;M11DI6;LQ-VENT-VF4-MA Estado giro sentido directo;WAGO;false
LQ-VENT-VF4-MA;directSpinOutput;2;CGBT;M5DO5;LQ-VENT-VF4-MA Control giro sentido directo;WAGO;false
LQ-VENT-VF4-MA;inverseSpinInput;3;CGBT;M11DI7;LQ-VENT-VF4-MA Estado giro sentido inverso;WAGO;false
LQ-VENT-VF4-MA;inverseSpinOutput;4;CGBT;M5DO6;LQ-VENT-VF4-MA Control giro sentido inverso;WAGO;false
LQ-VENT-VF5-MA;directSpinInput;1;CGBT;M11DI10;LQ-VENT-VF5-MA Estado giro sentido directo;WAGO;false
LQ-VENT-VF5-MA;directSpinOutput;2;CGBT;M5DO7;LQ-VENT-VF5-MA Control giro sentido directo;WAGO;false
LQ-VENT-VF5-MA;inverseSpinInput;3;CGBT;M11DI11;LQ-VENT-VF5-MA Estado giro sentido inverso;WAGO;false
LQ-VENT-VF5-MA;inverseSpinOutput;4;CGBT;M5DO8;LQ-VENT-VF5-MA Control giro sentido inverso;WAGO;false
LQ-VENT-VF6-MA;directSpinInput;1;CGBT;M11DI14;LQ-VENT-VF6-MA Estado giro sentido directo;WAGO;false
LQ-VENT-VF6-MA;directSpinOutput;2;CGBT;M5DO9;LQ-VENT-VF6-MA Control giro sentido directo;WAGO;false
LQ-VENT-VF6-MA;inverseSpinInput;3;CGBT;M11DI15;LQ-VENT-VF6-MA Estado giro sentido inverso;WAGO;false
LQ-VENT-VF6-MA;inverseSpinOutput;4;CGBT;M5DO10;LQ-VENT-VF6-MA Control giro sentido inverso;WAGO;false
LQ-VENT-VF7-MA;directSpinInput;1;CGBT;M12DI2;LQ-VENT-VF7-MA Estado giro sentido directo;WAGO;false
LQ-VENT-VF7-MA;directSpinOutput;2;CGBT;M5DO11;LQ-VENT-VF7-MA Control giro sentido directo;WAGO;false
LQ-VENT-VF7-MA;inverseSpinInput;3;CGBT;M12DI3;LQ-VENT-VF7-MA Estado giro sentido inverso;WAGO;false
LQ-VENT-VF7-MA;inverseSpinOutput;4;CGBT;M5DO12;LQ-VENT-VF7-MA Control giro sentido inverso;WAGO;false
LQ-VENT-VF8-MA;directSpinInput;1;CGBT;M12DI6;LQ-VENT-VF8-MA Estado giro sentido directo;WAGO;false
LQ-VENT-VF8-MA;directSpinOutput;2;CGBT;M5DO13;LQ-VENT-VF8-MA Control giro sentido directo;WAGO;false
LQ-VENT-VF8-MA;inverseSpinInput;3;CGBT;M12DI7;LQ-VENT-VF8-MA Estado giro sentido inverso;WAGO;false
LQ-VENT-VF8-MA;inverseSpinOutput;4;CGBT;M5DO14;LQ-VENT-VF8-MA Control giro sentido inverso;WAGO;false
LQ-VENT-VF9-MA;directSpinInput;1;CGBT;M12DI10;LQ-VENT-VF9-MA Estado giro sentido directo;WAGO;false
LQ-VENT-VF9-MA;directSpinOutput;2;CGBT;M5DO15;LQ-VENT-VF9-MA Control giro sentido directo;WAGO;false
LQ-VENT-VF9-MA;inverseSpinInput;3;CGBT;M12DI11;LQ-VENT-VF9-MA Estado giro sentido inverso;WAGO;false
LQ-VENT-VF9-MA;inverseSpinOutput;4;CGBT;M6DO0;LQ-VENT-VF9-MA Control giro sentido inverso;WAGO;false
LQ-VENT-VF10-MA;directSpinInput;1;CGBT;M12DI14;LQ-VENT-VF10-MA Estado giro sentido directo;WAGO;false
LQ-VENT-VF10-MA;directSpinOutput;2;CGBT;M6DO1;LQ-VENT-VF10-MA Control giro sentido directo;WAGO;false
LQ-VENT-VF10-MA;inverseSpinInput;3;CGBT;M12DI15;LQ-VENT-VF10-MA Estado giro sentido inverso;WAGO;false
LQ-VENT-VF10-MA;inverseSpinOutput;4;CGBT;M6DO2;LQ-VENT-VF10-MA Control giro sentido inverso;WAGO;false
