name;daliGroup;levelDay;levelNight
MM-DALI-IZQ-3MA-G0;0;100.0;100.0
MM-DALI-IZQ-3MA-G1;1;100.0;0.0
MM-DALI-IZQ-1CA-G0;0;100.0;100.0
MM-DALI-IZQ-1CA-G1;1;100.0;0.0
MM-DALI-DER-1CA-G0;0;100.0;100.0
MM-DALI-DER-1CA-G1;1;100.0;0.0
MM-DALI-DER-2CA-G0;0;100.0;100.0
MM-DALI-DER-2CA-G1;1;100.0;0.0
MM-DALI-DER-3CA-G0;0;100.0;100.0
MM-DALI-DER-3CA-G1;1;100.0;0.0
MM-DALI-IZQ-2CA-G0;0;100.0;100.0
MM-DALI-IZQ-2CA-G1;1;100.0;0.0
MM-DALI-IZQ-2MA-G0;0;100.0;100.0
MM-DALI-IZQ-2MA-G1;1;100.0;0.0
MM-DALI-IZQ-3CA-G0;0;100.0;100.0
MM-DALI-IZQ-3CA-G1;1;100.0;0.0
MM-DALI-IZQ-1MA-G0;0;100.0;100.0
MM-DALI-IZQ-1MA-G1;1;100.0;0.0
MM-DALI-DER-1MA-G0;0;100.0;100.0
MM-DALI-DER-1MA-G1;1;100.0;0.0
MM-DALI-DER-2MA-G0;0;100.0;100.0
MM-DALI-DER-2MA-G1;1;100.0;0.0
MM-DALI-DER-3MA-G0;0;100.0;100.0
MM-DALI-DER-3MA-G1;1;100.0;0.0
