root_device;signal;id;device;channel;description;controller;inverseLogic
MM-VENT-VF1-CA;directSpinInput;1;CTGBT;M7DI13;MM-VENT-VF1-CA Estado giro sentido directo;WAGO;false
MM-VENT-VF1-CA;directSpinOutput;2;CTGBT;M2DO7;MM-VENT-VF1-CA Control giro sentido directo;WAGO;false
MM-VENT-VF1-CA;inverseSpinInput;3;CTGBT;M7DI14;MM-VENT-VF1-CA Estado giro sentido inverso;WAGO;false
MM-VENT-VF1-CA;inverseSpinOutput;4;CTGBT;M2DO8;MM-VENT-VF1-CA Control giro sentido inverso;WAGO;false
MM-VENT-VF2-CA;directSpinInput;1;CTGBT;M8DI1;MM-VENT-VF2-CA Estado giro sentido directo;WAGO;false
MM-VENT-VF2-CA;directSpinOutput;2;CTGBT;M2DO9;MM-VENT-VF2-CA Control giro sentido directo;WAGO;false
MM-VENT-VF2-CA;inverseSpinInput;3;CTGBT;M8DI2;MM-VENT-VF2-CA Estado giro sentido inverso;WAGO;false
MM-VENT-VF2-CA;inverseSpinOutput;4;CTGBT;M2DO10;MM-VENT-VF2-CA Control giro sentido inverso;WAGO;false
MM-VENT-VF3-CA;directSpinInput;1;CTGBT;M8DI5;MM-VENT-VF3-CA  Estado giro sentido directo;WAGO;false
MM-VENT-VF3-CA;directSpinOutput;2;CTGBT;M2DO11;MM-VENT-VF3-CA  Control giro sentido directo;WAGO;false
MM-VENT-VF3-CA;inverseSpinInput;3;CTGBT;M8DI6;MM-VENT-VF3-CA  Estado giro sentido inverso;WAGO;false
MM-VENT-VF3-CA;inverseSpinOutput;4;CTGBT;M2DO12;MM-VENT-VF3-CA  Control giro sentido inverso;WAGO;false
MM-VENT-VF4-CA;directSpinInput;1;CTGBT;M8DI9;MM-VENT-VF4-CA  Estado giro sentido directo;WAGO;false
MM-VENT-VF4-CA;directSpinOutput;2;CTGBT;M2DO13;MM-VENT-VF4-CA  Control giro sentido directo;WAGO;false
MM-VENT-VF4-CA;inverseSpinInput;3;CTGBT;M8DI10;MM-VENT-VF4-CA  Estado giro sentido inverso;WAGO;false
MM-VENT-VF4-CA;inverseSpinOutput;4;CTGBT;M2DO14;MM-VENT-VF4-CA  Control giro sentido inverso;WAGO;false
MM-VENT-VF5-CA;directSpinInput;1;CTGBT;M8DI13;MM-VENT-VF5-CA  Estado giro sentido directo;WAGO;false
MM-VENT-VF5-CA;directSpinOutput;2;CTGBT;M2DO15;MM-VENT-VF5-CA  Control giro sentido directo;WAGO;false
MM-VENT-VF5-CA;inverseSpinInput;3;CTGBT;M8DI14;MM-VENT-VF5-CA  Estado giro sentido inverso;WAGO;false
MM-VENT-VF5-CA;inverseSpinOutput;4;CTGBT;M3DO0;MM-VENT-VF5-CA  Control giro sentido inverso;WAGO;false
MM-VENT-VF6-CA;directSpinInput;1;CTGBT;M9DI1;MM-VENT-VF6-CA  Estado giro sentido directo;WAGO;false
MM-VENT-VF6-CA;directSpinOutput;2;CTGBT;M3DO1;MM-VENT-VF6-CA  Control giro sentido directo;WAGO;false
MM-VENT-VF6-CA;inverseSpinInput;3;CTGBT;M9DI2;MM-VENT-VF6-CA  Estado giro sentido inverso;WAGO;false
MM-VENT-VF6-CA;inverseSpinOutput;4;CTGBT;M3DO2;MM-VENT-VF6-CA  Control giro sentido inverso;WAGO;false
MM-VENT-VF7-CA;directSpinInput;1;CTGBT;M9DI5;MM-VENT-VF7-CA  Estado giro sentido directo;WAGO;false
MM-VENT-VF7-CA;directSpinOutput;2;CTGBT;M3DO3;MM-VENT-VF7-CA  Control giro sentido directo;WAGO;false
MM-VENT-VF7-CA;inverseSpinInput;3;CTGBT;M9DI6;MM-VENT-VF7-CA  Estado giro sentido inverso;WAGO;false
MM-VENT-VF7-CA;inverseSpinOutput;4;CTGBT;M3DO4;MM-VENT-VF7-CA  Control giro sentido inverso;WAGO;false
MM-VENT-VF8-CA;directSpinInput;1;CTGBT;M9DI9;MM-VENT-VF8-CA  Estado giro sentido directo;WAGO;false
MM-VENT-VF8-CA;directSpinOutput;2;CTGBT;M3DO5;MM-VENT-VF8-CA  Control giro sentido directo;WAGO;false
MM-VENT-VF8-CA;inverseSpinInput;3;CTGBT;M9DI10;MM-VENT-VF8-CA  Estado giro sentido inverso;WAGO;false
MM-VENT-VF8-CA;inverseSpinOutput;4;CTGBT;M3DO6;MM-VENT-VF8-CA  Control giro sentido inverso;WAGO;false
