root_device;signal;id;device;channel;description;controller;inverseLogic
NG-VENT-VF1-CA;directSpinInput;1;CGBT;M4DI3;NG-VENT-VF1-CA Estado giro sentido directo;WAGO;false
NG-VENT-VF1-CA;directSpinOutput;2;CGBT;M2DO5;NG-VENT-VF1-CA Control giro sentido directo;WAGO;false
NG-VENT-VF1-CA;inverseSpinInput;3;CGBT;M4DI4;NG-VENT-VF1-CA Estado giro sentido inverso;WAGO;false
NG-VENT-VF1-CA;inverseSpinOutput;4;CGBT;M2DO6;NG-VENT-VF1-CA Control giro sentido inverso;WAGO;false
NG-VENT-VF2-CA;directSpinInput;1;CGBT;M4DI7;NG-VENT-VF2-CA Estado giro sentido directo;WAGO;false
NG-VENT-VF2-CA;directSpinOutput;2;CGBT;M2DO7;NG-VENT-VF2-CA Control giro sentido directo;WAGO;false
NG-VENT-VF2-CA;inverseSpinInput;3;CGBT;M4DI8;NG-VENT-VF2-CA Estado giro sentido inverso;WAGO;false
NG-VENT-VF2-CA;inverseSpinOutput;4;CGBT;M2DO8;NG-VENT-VF2-CA Control giro sentido inverso;WAGO;false
NG-VENT-VF3-CA;directSpinInput;1;CGBT;M4DI11;NG-VENT-VF3-CA  Estado giro sentido directo;WAGO;false
NG-VENT-VF3-CA;directSpinOutput;2;CGBT;M2DO9;NG-VENT-VF3-CA  Control giro sentido directo;WAGO;false
NG-VENT-VF3-CA;inverseSpinInput;3;CGBT;M4DI12;NG-VENT-VF3-CA  Estado giro sentido inverso;WAGO;false
NG-VENT-VF3-CA;inverseSpinOutput;4;CGBT;M2DO10;NG-VENT-VF3-CA  Control giro sentido inverso;WAGO;false
NG-VENT-VF4-CA;directSpinInput;1;CGBT;M4DI15;NG-VENT-VF4-CA  Estado giro sentido directo;WAGO;false
NG-VENT-VF4-CA;directSpinOutput;2;CGBT;M2DO11;NG-VENT-VF4-CA  Control giro sentido directo;WAGO;false
NG-VENT-VF4-CA;inverseSpinInput;3;CGBT;M5DI0;NG-VENT-VF4-CA  Estado giro sentido inverso;WAGO;false
NG-VENT-VF4-CA;inverseSpinOutput;4;CGBT;M2DO12;NG-VENT-VF4-CA  Control giro sentido inverso;WAGO;false
NG-VENT-VF5-CA;directSpinInput;1;CGBT;M5DI3;NG-VENT-VF5-CA  Estado giro sentido directo;WAGO;false
NG-VENT-VF5-CA;directSpinOutput;2;CGBT;M2DO13;NG-VENT-VF5-CA  Control giro sentido directo;WAGO;false
NG-VENT-VF5-CA;inverseSpinInput;3;CGBT;M5DI4;NG-VENT-VF5-CA  Estado giro sentido inverso;WAGO;false
NG-VENT-VF5-CA;inverseSpinOutput;4;CGBT;M2DO14;NG-VENT-VF5-CA  Control giro sentido inverso;WAGO;false
NG-VENT-VF6-CA;directSpinInput;1;CGBT;M5DI7;NG-VENT-VF6-CA  Estado giro sentido directo;WAGO;false
NG-VENT-VF6-CA;directSpinOutput;2;CGBT;M2DO15;NG-VENT-VF6-CA  Control giro sentido directo;WAGO;false
NG-VENT-VF6-CA;inverseSpinInput;3;CGBT;M5DI8;NG-VENT-VF6-CA  Estado giro sentido inverso;WAGO;false
NG-VENT-VF6-CA;inverseSpinOutput;4;CGBT;M3DO0;NG-VENT-VF6-CA  Control giro sentido inverso;WAGO;false
NG-VENT-VF7-CA;directSpinInput;1;CGBT;M5DI11;NG-VENT-VF7-CA  Estado giro sentido directo;WAGO;false
NG-VENT-VF7-CA;directSpinOutput;2;CGBT;M3DO1;NG-VENT-VF7-CA  Control giro sentido directo;WAGO;false
NG-VENT-VF7-CA;inverseSpinInput;3;CGBT;M5DI12;NG-VENT-VF7-CA  Estado giro sentido inverso;WAGO;false
NG-VENT-VF7-CA;inverseSpinOutput;4;CGBT;M3DO2;NG-VENT-VF7-CA  Control giro sentido inverso;WAGO;false
NG-VENT-VF8-CA;directSpinInput;1;CGBT;M5DI15;NG-VENT-VF8-CA  Estado giro sentido directo;WAGO;false
NG-VENT-VF8-CA;directSpinOutput;2;CGBT;M3DO3;NG-VENT-VF8-CA  Control giro sentido directo;WAGO;false
NG-VENT-VF8-CA;inverseSpinInput;3;CGBT;M6DI0;NG-VENT-VF8-CA  Estado giro sentido inverso;WAGO;false
NG-VENT-VF8-CA;inverseSpinOutput;4;CGBT;M3DO4;NG-VENT-VF8-CA  Control giro sentido inverso;WAGO;false
