root_device;signal;id;device;channel;description;controller;inverseLogic
RV-BAR-1CA;barrierUpInput;1;CT_ITS;M1DI2;RV-BAR-1CA Entrada barrera arriba;WAGO;false
RV-BAR-1CA;barrierDownInput;2;CT_ITS;M1DI3;RV-BAR-1CA Entrada barrera abajo;WAGO;false
RV-BAR-1CA;barrierUpOutput;3;CT_ITS;M1DO6;RV-BAR-1CA Salida barrera arriba;WAGO;false
RV-BAR-1CA;barrierDownOutput;4;CT_ITS;M1DO8;RV-BAR-1CA Salida barrera abajo;WAGO;false
RV-BAR-1CA;barrierDownConfirmOutput;5;CT_ITS;M1DO10;RV-BAR-1CA Salida confirmacion barrera abajo;WAGO;false
RV-BAR-1CA;barrierResetOutput;6;CT_ITS;M1DO12;RV-BAR-1CA Salida reset barrera;WAGO;false
RV-BAR-2CA;barrierUpInput;1;CT_ITS;M1DI4;RV-BAR-2CA Entrada barrera arriba;WAGO;false
RV-BAR-2CA;barrierDownInput;2;CT_ITS;M1DI5;RV-BAR-2CA Entrada barrera abajo;WAGO;false
RV-BAR-2CA;barrierUpOutput;3;CT_ITS;M1DO7;RV-BAR-2CA Salida barrera arriba;WAGO;false
RV-BAR-2CA;barrierDownOutput;4;CT_ITS;M1DO9;RV-BAR-2CA Salida barrera abajo;WAGO;false
RV-BAR-2CA;barrierDownConfirmOutput;5;CT_ITS;M1DO11;RV-BAR-2CA Salida confirmacion barrera abajo;WAGO;false
RV-BAR-2CA;barrierResetOutput;6;CT_ITS;M1DO12;RV-BAR-2CA Salida reset barrera;WAGO;false
RV-BAR-1MA;barrierUpInput;1;Rack_Exterior;M1DI0;RV-BAR-1MA Entrada barrera arriba;WAGO;false
RV-BAR-1MA;barrierDownInput;2;Rack_Exterior;M1DI1;RV-BAR-1MA Entrada barrera abajo;WAGO;false
RV-BAR-1MA;barrierUpOutput;3;Rack_Exterior;M1DO0;RV-BAR-1MA Salida barrera arriba;WAGO;false
RV-BAR-1MA;barrierDownOutput;4;Rack_Exterior;M1DO2;RV-BAR-1MA Salida barrera abajo;WAGO;false
RV-BAR-1MA;barrierDownConfirmOutput;5;Rack_Exterior;M1DO4;RV-BAR-1MA Salida confirmacion barrera abajo;WAGO;false
RV-BAR-1MA;barrierResetOutput;6;Rack_Exterior;M1DO6;RV-BAR-1MA Salida reset barrera;WAGO;false
RV-BAR-2MA;barrierUpInput;1;Rack_Exterior;M1DI1;RV-BAR-2MA Entrada barrera arriba;WAGO;false
RV-BAR-2MA;barrierDownInput;2;Rack_Exterior;M1DI2;RV-BAR-2MA Entrada barrera abajo;WAGO;false
RV-BAR-2MA;barrierUpOutput;3;Rack_Exterior;M1DO1;RV-BAR-2MA Salida barrera arriba;WAGO;false
RV-BAR-2MA;barrierDownOutput;4;Rack_Exterior;M1DO3;RV-BAR-2MA Salida barrera abajo;WAGO;false
RV-BAR-2MA;barrierDownConfirmOutput;5;Rack_Exterior;M1DO5;RV-BAR-2MA Salida confirmacion barrera abajo;WAGO;false
RV-BAR-2MA;barrierResetOutput;6;Rack_Exterior;M1DO6;RV-BAR-2MA Salida reset barrera;WAGO;false
