name;daliGroup;levelDay;levelNight
RV-DALI-IZQ-2CA-G0;0;100.0;100.0
RV-DALI-IZQ-2CA-G1;1;100.0;0.0
RV-DALI-IZQ-1MA-G0;0;100.0;100.0
RV-DALI-IZQ-1MA-G1;1;100.0;0.0
RV-DALI-DER-1CA-G0;0;100.0;100.0
RV-DALI-DER-1CA-G1;1;100.0;0.0
RV-DALI-DER-2CA-G0;0;100.0;100.0
RV-DALI-DER-2CA-G1;1;100.0;0.0
RV-DALI-DER-2MA-G0;0;100.0;100.0
RV-DALI-DER-2MA-G1;1;100.0;0.0
RV-DALI-DER-1MA-G0;0;100.0;100.0
RV-DALI-DER-1MA-G1;1;100.0;0.0
RV-DALI-IZQ-1CA-G0;0;100.0;100.0
RV-DALI-IZQ-1CA-G1;1;100.0;0.0
RV-DALI-IZQ-2MA-G0;0;100.0;100.0
RV-DALI-IZQ-2MA-G1;1;100.0;0.0
