root_device;signal;id;device;channel;description;controller;inverseLogic
RV-VNT-VF1-CA;directSpinInput;1;CTGBT;M5DI15;RV-VNT-VF1-CA Estado giro sentido directo;WAGO;false
RV-VNT-VF1-CA;directSpinOutput;2;CTGBT;M2DO7;RV-VNT-VF1-CA Control giro sentido directo;WAGO;false
RV-VNT-VF1-CA;inverseSpinInput;3;CTGBT;M6DI0;RV-VNT-VF1-CA Estado giro sentido inverso;WAGO;false
RV-VNT-VF1-CA;inverseSpinOutput;4;CTGBT;M2DO8;RV-VNT-VF1-CA Control giro sentido inverso;WAGO;false
RV-VNT-VF2-CA;directSpinInput;1;CTGBT;M6DI3;RV-VNT-VF2-CA Estado giro sentido directo;WAGO;false
RV-VNT-VF2-CA;directSpinOutput;2;CTGBT;M2DO9;RV-VNT-VF2-CA Control giro sentido directo;WAGO;false
RV-VNT-VF2-CA;inverseSpinInput;3;CTGBT;M6DI4;RV-VNT-VF2-CA Estado giro sentido inverso;WAGO;false
RV-VNT-VF2-CA;inverseSpinOutput;4;CTGBT;M2DO10;RV-VNT-VF2-CA Control giro sentido inverso;WAGO;false
RV-VNT-VF3-CA;directSpinInput;1;CTGBT;M6DI7;RV-VNT-VF3-CA  Estado giro sentido directo;WAGO;false
RV-VNT-VF3-CA;directSpinOutput;2;CTGBT;M2DO11;RV-VNT-VF3-CA  Control giro sentido directo;WAGO;false
RV-VNT-VF3-CA;inverseSpinInput;3;CTGBT;M6DI8;RV-VNT-VF3-CA  Estado giro sentido inverso;WAGO;false
RV-VNT-VF3-CA;inverseSpinOutput;4;CTGBT;M2DO12;RV-VNT-VF3-CA  Control giro sentido inverso;WAGO;false
RV-VNT-VF4-CA;directSpinInput;1;CTGBT;M6DI11;RV-VNT-VF4-CA  Estado giro sentido directo;WAGO;false
RV-VNT-VF4-CA;directSpinOutput;2;CTGBT;M2DO13;RV-VNT-VF4-CA  Control giro sentido directo;WAGO;false
RV-VNT-VF4-CA;inverseSpinInput;3;CTGBT;M6DI12;RV-VNT-VF4-CA  Estado giro sentido inverso;WAGO;false
RV-VNT-VF4-CA;inverseSpinOutput;4;CTGBT;M2DO14;RV-VNT-VF4-CA  Control giro sentido inverso;WAGO;false
