name;device;channel;description;controller;xAddress;xStatusAddress;inverseLogic
STM2-CONT-A9-SC;CGBT;M1DO0;Encender/apagar circuito REFUERZO A9 - CSARED  K1;WAGO;18000;900;false
STM2-CONT-A11-SC;CGBT;M1DO1;Encender/apagar circuito REFUERZO A11 - CSARED  K2;WAGO;18001;901;false
STM2-CONT-A10-SC;CGBT;M1DO2;Encender/apagar circuito REFUERZO A10 - CSARED  K3;WAGO;18002;902;false
STM2-CONT-A12-SC;CGBT;M1DO3;Encender/apagar circuito REFUERZO A12 - CSARED  K4;WAGO;18003;903;false
STM2-CONT-A4-SM;CGBT;M1DO4;Encender/apagar circuito REFUERZO A4 - CSARED  K5;WAGO;18004;904;false
STM2-CONT-A6-SM;CGBT;M1DO5;Encender/apagar circuito REFUEZO A6 - CSARED  K6;WAGO;18005;905;false
STM2-CONT-A3-SM;CGBT;M1DO6;Encender/apagar circuito REFUEZO A3 - CSARED  K7;WAGO;18006;906;false
STM2-CONT-A5-SM;CGBT;M1DO7;Encender/apagar circuito REFUERZO A5 - CSARED  K8;WAGO;18007;907;false
STM2-CONT-AA7-SC;CGBT;M1DO11;Encender/apagar circuito PERMANENTE TSC AA7 - CSASAI K1;WAGO;18008;908;true
STM2-CONT-AA8-SC;CGBT;M1DO12;Encender/apagar circuito  PERMANENTE TSC AA8 - CSASAI K2;WAGO;18009;909;true
STM2-CONT-AA2-SM;CGBT;M1DO13;Encender/apagar circuito PERMANENTE TSM AA2 - CSASAI K3;WAGO;18010;910;true
STM2-CONT-AA1-SM;CGBT;M1DO14;Encender/apagar circuito PERMANENTE TSM AA1 - CSASAI K4;WAGO;18011;911;true
STM2-CONT-AE13-SM;CGBT;M1DO15;Encender/apagar circuito GUIADO TSM AE13 - CSASAI K5;WAGO;18012;912;true
STM2-CONT-AE14-SC;CGBT;M2DO0;Encender/apagar circuito GUIADO TSC AE14;WAGO;18013;913;true
STM2-CONT-AE15-SC;CGBT;M2DO1;Encender/apagar circuito GUIADO RVA TSC AE15;WAGO;18014;914;true
STM2-CONT-AE16-SM;CGBT;M2DO2;Encender/apagar circuito GUIADO RVA TSM AE16;WAGO;18015;915;true
STM2-CONT-A15-SC;CGBT;M2DO3;Encender/apagar circuito APROXIMACION EXISTENTE TSC A15;WAGO;18016;916;false
STM2-CONT-A16-SC;CGBT;M2DO4;Encender/apagar circuito APROXIMACION EXISTENTE TSC A16;WAGO;18017;917;false
STM2-CONT-A17-SM;CGBT;M2DO5;Encender/apagar circuito APROXIMACION EXISTENTE TSM A17;WAGO;18018;918;false
STM2-CONT-A18-SM;CGBT;M2DO6;Encender/apagar circuito APROXIMACION EXISTENTE TSC A18;WAGO;18019;919;false
STM2-CUAD-PRES-GAL-CA;ARM_GAL;M1DO4;STM2-CUAD-PRES-GAL-CA Encender/Apagar Señal Incendio Tubo Cadiz;WAGO;18020;920;false
STM2-CUAD-PRES-GAL-MA;ARM_GAL;M1DO5;STM2-CUAD-PRES-GAL-MA Encender/Apagar Señal Incendio Tubo Malaga;WAGO;18021;921;false
