root_device;signal;id;device;channel;description;controller;inverseLogic
STM2-VENT-VF1-MA;directSpinInput;1;CGBT;M6DI4;STM2-VENT-VF1-MA Estado giro sentido directo;WAGO;false
STM2-VENT-VF1-MA;directSpinOutput;2;CGBT;M3DO3;STM2-VENT-VF1-MA Control giro sentido directo;WAGO;false
STM2-VENT-VF1-MA;inverseSpinInput;3;CGBT;M6DI5;STM2-VENT-VF1-MA Estado giro sentido inverso;WAGO;false
STM2-VENT-VF1-MA;inverseSpinOutput;4;CGBT;M3DO4;STM2-VENT-VF1-MA Control giro sentido inverso;WAGO;false
STM2-VENT-VF2-MA;directSpinInput;1;CGBT;M6DI8;STM2-VENT-VF2-MA Estado giro sentido directo;WAGO;false
STM2-VENT-VF2-MA;directSpinOutput;2;CGBT;M3DO5;STM2-VENT-VF2-MA Control giro sentido directo;WAGO;false
STM2-VENT-VF2-MA;inverseSpinInput;3;CGBT;M6DI9;STM2-VENT-VF2-MA Estado giro sentido inverso;WAGO;false
STM2-VENT-VF2-MA;inverseSpinOutput;4;CGBT;M3DO6;STM2-VENT-VF2-MA Control giro sentido inverso;WAGO;false
STM2-VENT-VF3-MA;directSpinInput;1;CGBT;M6DI12;STM2-VENT-VF3-MA Estado giro sentido directo;WAGO;false
STM2-VENT-VF3-MA;directSpinOutput;2;CGBT;M3DO7;STM2-VENT-VF3-MA Control giro sentido directo;WAGO;false
STM2-VENT-VF3-MA;inverseSpinInput;3;CGBT;M6DI13;STM2-VENT-VF3-MA Estado giro sentido inverso;WAGO;false
STM2-VENT-VF3-MA;inverseSpinOutput;4;CGBT;M3DO8;STM2-VENT-VF3-MA Control giro sentido inverso;WAGO;false
STM2-VENT-VF4-MA;directSpinInput;1;CGBT;M7DI0;STM2-VENT-VF4-MA Estado giro sentido directo;WAGO;false
STM2-VENT-VF4-MA;directSpinOutput;2;CGBT;M3DO9;STM2-VENT-VF4-MA Control giro sentido directo;WAGO;false
STM2-VENT-VF4-MA;inverseSpinInput;3;CGBT;M7DI1;STM2-VENT-VF4-MA Estado giro sentido inverso;WAGO;false
STM2-VENT-VF4-MA;inverseSpinOutput;4;CGBT;M3DO10;STM2-VENT-VF4-MA Control giro sentido inverso;WAGO;false
STM2-VENT-VF5-MA;directSpinInput;1;CGBT;M7DI4;STM2-VENT-VF5-MA Estado giro sentido directo;WAGO;false
STM2-VENT-VF5-MA;directSpinOutput;2;CGBT;M3DO11;STM2-VENT-VF5-MA Control giro sentido directo;WAGO;false
STM2-VENT-VF5-MA;inverseSpinInput;3;CGBT;M7DI5;STM2-VENT-VF5-MA Estado giro sentido inverso;WAGO;false
STM2-VENT-VF5-MA;inverseSpinOutput;4;CGBT;M3DO12;STM2-VENT-VF5-MA Control giro sentido inverso;WAGO;false
STM2-VENT-VF6-MA;directSpinInput;1;CGBT;M7DI8;STM2-VENT-VF6-MA Estado giro sentido directo;WAGO;false
STM2-VENT-VF6-MA;directSpinOutput;2;CGBT;M3DO13;STM2-VENT-VF6-MA Control giro sentido directo;WAGO;false
STM2-VENT-VF6-MA;inverseSpinInput;3;CGBT;M7DI9;STM2-VENT-VF6-MA Estado giro sentido inverso;WAGO;false
STM2-VENT-VF6-MA;inverseSpinOutput;4;CGBT;M3DO14;STM2-VENT-VF6-MA Control giro sentido inverso;WAGO;false
