root_device;signal;id;device;channel;description;controller;inverseLogic;xAddress;xStatusAddress
Central de alarmas STMI Sentido CA;zonesAlarm;1;Siemens_OTS_CA;DI0;STMI-OTS CA Alarma Zona 1;OTS;false;1000;1200
Central de alarmas STMI Sentido CA;zonesAlarm;2;Siemens_OTS_CA;DI1;STMI-OTS CA Alarma Zona 2;OTS;false;1001;1201
Central de alarmas STMI Sentido CA;zonesAlarm;3;Siemens_OTS_CA;DI2;STMI-OTS CA Alarma Zona 3;OTS;false;1002;1202
Central de alarmas STMI Sentido CA;fiberFaultAlarm;1;Siemens_OTS_CA;DI2000;STMI-OTS CA Alarma fibra Zona 1;OTS;false;1003;1203
Central de alarmas STMI Sentido CA;fiberFaultAlarm;2;Siemens_OTS_CA;DI2001;STMI-OTS CA Alarma fibra Zona 2;OTS;false;1004;1204
Central de alarmas STMI Sentido CA;fiberFaultAlarm;3;Siemens_OTS_CA;DI2002;STMI-OTS CA Alarma fibra Zona 3;OTS;false;1005;1205
Central de alarmas STMI Sentido CA;averageTemperature;1;Siemens_OTS_CA;AI4000;STMI-OTS CA Temperatura media Zona 1;OTS;false;1006;1206
Central de alarmas STMI Sentido CA;averageTemperature;2;Siemens_OTS_CA;AI4002;STMI-OTS CA Temperatura media Zona 2;OTS;false;1008;1207
Central de alarmas STMI Sentido CA;averageTemperature;3;Siemens_OTS_CA;AI4004;STMI-OTS CA Temperatura media Zona 3;OTS;false;1010;1208
Central de alarmas STMI Sentido MA;zonesAlarm;1;Siemens_OTS_MA;DI0;STMI-OTS MA Alarma Zona 1;OTS;false;1012;1209
Central de alarmas STMI Sentido MA;zonesAlarm;2;Siemens_OTS_MA;DI1;STMI-OTS MA Alarma Zona 2;OTS;false;1013;1210
Central de alarmas STMI Sentido MA;zonesAlarm;3;Siemens_OTS_MA;DI2;STMI-OTS MA Alarma Zona 3;OTS;false;1014;1211
Central de alarmas STMI Sentido MA;fiberFaultAlarm;1;Siemens_OTS_MA;DI2000;STMI-OTS MA Alarma fibra Zona 1;OTS;false;1015;1212
Central de alarmas STMI Sentido MA;fiberFaultAlarm;2;Siemens_OTS_MA;DI2001;STMI-OTS MA Alarma fibra Zona 2;OTS;false;1016;1213
Central de alarmas STMI Sentido MA;fiberFaultAlarm;3;Siemens_OTS_MA;DI2002;STMI-OTS MA Alarma fibra Zona 3;OTS;false;1017;1214
Central de alarmas STMI Sentido MA;averageTemperature;1;Siemens_OTS_MA;AI4000;STMI-OTS MA Temperatura media Zona 1;OTS;false;1018;1215
Central de alarmas STMI Sentido MA;averageTemperature;2;Siemens_OTS_MA;AI4002;STMI-OTS MA Temperatura media Zona 2;OTS;false;1020;1216
Central de alarmas STMI Sentido MA;averageTemperature;3;Siemens_OTS_MA;AI4004;STMI-OTS MA Temperatura media Zona 3;OTS;false;1022;1217
