id_synoptic;id_subsistema;id_element_type;name;description;label;base_layer
1;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
1;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
1;3;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
1;4;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
1;5;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
1;6;NULL;SOS;SOS;LBL_SOS;NULL
1;7;NULL;CCTV;CCTV;LBL_CCTV;NULL
1;8;NULL;CT;CT;LBL_CT;NULL
1;9;NULL;DAI;DAI;LBL_DAI;NULL
1;10;NULL;METEO;METEO;LBL_METEO;NULL
1;11;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
2;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
3;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
4;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
5;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
6;1;NULL;CT;CT;LBL_CT;NULL
10;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
10;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
10;3;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
10;4;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
10;5;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
10;6;NULL;SOS;SOS;LBL_SOS;NULL
10;7;NULL;CCTV;CCTV;LBL_CCTV;NULL
10;8;NULL;CT;CT;LBL_CT;NULL
10;9;NULL;DAI;DAI;LBL_DAI;NULL
10;10;NULL;METEO;METEO;LBL_METEO;NULL
10;11;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
11;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
12;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
12;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
12;3;NULL;METEO;METEO;LBL_METEO;NULL
12;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
12;5;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
13;1;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
13;2;NULL;SOS;SOS;LBL_SOS;NULL
13;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
13;4;NULL;ERU;ERU;LBL_ERU;NULL
13;9;NULL;DAI;DAI;LBL_DAI;NULL
14;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
16;1;NULL;CT;CT;LBL_CT;NULL
17;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
17;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
17;3;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
17;5;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
17;6;NULL;SOS;SOS;LBL_SOS;NULL
17;7;NULL;CCTV;CCTV;LBL_CCTV;NULL
17;8;NULL;CT;CT;LBL_CT;NULL
17;10;NULL;METEO;METEO;LBL_METEO;NULL
17;11;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
18;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
19;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
20;1;NULL;CT;CT;LBL_CT;NULL
21;1;NULL;DET_LIN_INC;DET_LIN_INC;LBL_DET_LIN_INC;NULL
21;2;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
21;3;NULL;ERU;ERU;LBL_ERU;NULL
22;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
22;2;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
22;5;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
22;6;NULL;SOS;SOS;LBL_SOS;NULL
22;7;NULL;CCTV;CCTV;LBL_CCTV;NULL
22;8;NULL;CT;CT;LBL_CT;NULL
22;10;NULL;METEO;METEO;LBL_METEO;NULL
23;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
23;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
24;1;NULL;DET_LIN_INC;DET_LIN_INC;LBL_DET_LIN_INC;NULL
24;2;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
24;5;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
24;6;NULL;SOS;SOS;LBL_SOS;NULL
25;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
25;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
25;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
25;5;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
25;7;NULL;CCTV;CCTV;LBL_CCTV;NULL
26;1;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
26;2;NULL;SOS;SOS;LBL_SOS;NULL
26;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
26;4;NULL;ERU;ERU;LBL_ERU;NULL
26;5;NULL;DAI;DAI;LBL_DAI;NULL
27;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
27;2;NULL;SOS;SOS;LBL_SOS;NULL
27;3;NULL;CCTV;CCTV;LBL_CCTV;NULL
27;4;NULL;METEO;METEO;LBL_METEO;NULL
27;5;NULL;DET_LIN_INC;DET_LIN_INC;LBL_DET_LIN_INC;NULL
27;6;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
28;1;NULL;ELECTRICIDAD;ELE7CTRICIDAD;LBL_ELECTRICIDAD;NULL
29;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
30;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
31;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
32;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
33;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
33;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
33;3;NULL;METEO;METEO;LBL_METEO;NULL
33;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
33;5;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
34;1;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
34;2;NULL;SOS;SOS;LBL_SOS;NULL
34;3;NULL;COMUNICACIONES;COMUNICACIONES;LBL_COMUNICACIONES;NULL
34;4;NULL;ERU;ERU;LBL_ERU;NULL
34;5;NULL;DAI;DAI;LBL_DAI;NULL
35;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
35;2;NULL;CCTV;CCTV;LBL_CCTV;NULL
35;3;NULL;METEO;METEO;LBL_METEO;NULL
35;4;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
36;1;NULL;SOS;SOS;LBL_SOS;NULL
36;2;NULL;DET_LIN_INC;DET_LIN_INC;LBL_DET_LIN_INC;NULL
36;3;NULL;BOMBEO;BOMBEO;LBL_BOMBEO;NULL
36;4;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
37;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
37;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
37;3;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
37;4;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
37;5;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
37;6;NULL;SOS;SOS;LBL_SOS;NULL
37;7;NULL;CCTV;CCTV;LBL_CCTV;NULL
37;8;NULL;CT;CT;LBL_CT;NULL
37;9;NULL;METEO;METEO;LBL_METEO;NULL
38;1;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
38;2;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
38;3;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
38;4;NULL;MEGAFONIA;MEGAFONIA;LBL_MEGAFONIA;NULL
38;5;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
38;6;NULL;SOS;SOS;LBL_SOS;NULL
38;7;NULL;CCTV;CCTV;LBL_CCTV;NULL
38;8;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
38;9;NULL;METEO;METEO;LBL_METEO;NULL
38;10;NULL;CT;CT;LBL_CT;NULL
38;11;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
39;1;NULL;CONTROL DE ACCESSOS;CONTROL DE ACCESSOS;LBL_CTRL_ACCESOS;NULL
39;2;NULL;SOS;SOS;LBL_SOS;NULL
39;3;NULL;CCTV;CCTV;LBL_CCTV;NULL
39;4;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
39;5;NULL;CT;CT;LBL_CT;NULL
39;6;NULL;ILUMINACION;ILUMINACION;LBL_ILUMINACION;NULL
39;7;NULL;VENTILACION;VENTILACION;LBL_VENTILACION;NULL
39;8;NULL;INCENDIOS;INCENDIOS;LBL_INCENDIOS;NULL
39;9;NULL;DAT TRAFICO;DAT TRAFICO;LBL_DAT_TRAF;NULL
39;10;NULL;METEO;METEO;LBL_METEO;NULL
40;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
41;1;NULL;ELECTRICIDAD;ELECTRICIDAD;LBL_ELECTRICIDAD;NULL
