id_synoptic;num_subsistema;subsistema;;
1;1;VENTILACION;;
1;2;ILUMINACION;;
1;3;CONTROL DE ACCESSOS;;
1;4;MEGAFONIA;;
1;5;INCENDIOS;;
1;6;SOS;;
1;7;CCTV;;
1;8;CT;;
1;9;DAI;;
1;10;METEO;;
1;11;DAT TRAFICO;;
2;1;ELECTRICIDAD;;
3;1;ELECTRICIDAD;;
4;1;ELECTRICIDAD;;
5;1;ELECTRICIDAD;;
6;1;CT;;
10;1;VENTILACION;;
10;2;ILUMINACION;;
10;3;CONTROL DE ACCESSOS;;
10;4;MEGAFONIA;;
10;5;INCENDIOS;;
10;6;SOS;;
10;7;CCTV;;
10;8;CT;;
10;9;DAI;;
10;10;METEO;;
10;11;DAT TRAFICO;;
11;1;ELECTRICIDAD;;
12;1;CONTROL DE ACCESSOS;;
12;2;CCTV;;
12;3;METEO;;
12;4;DAT TRAFICO;;
12;5;VENTILACION;;
13;1;MEGAFONIA;;
13;2;SOS;;
13;3;COMUNICACIONES;;
13;4;ERU;;
13;9;DAI;;
14;1;ELECTRICIDAD;;
16;1;CT;;
17;1;VENTILACION;;
17;2;ILUMINACION;;
17;3;CONTROL DE ACCESSOS;;
17;5;INCENDIOS;;
17;6;SOS;;
17;7;CCTV;;
17;8;CT;;
17;10;METEO;;
17;11;DAT TRAFICO;;
18;1;ELECTRICIDAD;;
19;1;ELECTRICIDAD;;
20;1;CT;;
21;1;DET_LIN_INC;;
21;2;ELECTRICIDAD;;
21;3;ERU;;
22;1;VENTILACION;;
22;2;ELECTRICIDAD;;
22;5;INCENDIOS;;
22;6;SOS;;
22;7;CCTV;;
22;8;CT;;
22;10;METEO;;
23;1;ELECTRICIDAD;;
23;2;ILUMINACION;;
24;1;DET_LIN_INC;;
24;2;BOMBEO;;
24;5;INCENDIOS;;
24;6;SOS;;
25;1;VENTILACION;;
25;3;COMUNICACIONES;;
25;2;ILUMINACION;;
25;7;CCTV;;
25;5;INCENDIOS;;
26;1;MEGAFONIA;;
26;2;SOS;;
26;3;COMUNICACIONES;;
26;4;ERU;;
26;5;DAI;;
27;1;VENTILACION;;
27;2;SOS;;
27;3;CCTV;;
27;4;METEO;;
27;5;INCENDIOS;;
27;6;ELECTRICIDAD;;
28;1;ELECTRICIDAD;;
29;1;ELECTRICIDAD;;
30;1;ELECTRICIDAD;;
31;1;ELECTRICIDAD;;
32;1;ELECTRICIDAD;;
33;1;CONTROL DE ACCESSOS;;
33;2;CCTV;;
33;3;METEO;;
33;4;DAT TRAFICO;;
33;5;VENTILACION;;
34;1;MEGAFONIA;;
34;2;SOS;;
34;3;COMUNICACIONES;;
34;4;ERU;;
34;5;DAI;;
35;1;CONTROL DE ACCESSOS;;
35;2;CCTV;;
35;3;METEO;;
35;4;DAT TRAFICO;;
36;1;SOS;;
36;2;DET_LIN_INC;;
36;3;BOMBEO;;
36;4;INCENDIOS;;
37;1;VENTILACION;;
37;2;ILUMINACION;;
37;3;CONTROL DE ACCESSOS;;
37;4;ELECTRICIDAD;;
37;5;INCENDIOS;;
37;6;SOS;;
37;7;CCTV;;
37;8;CT;;
37;9;METEO;;
38;1;VENTILACION;;
38;2;ILUMINACION;;
38;3;CONTROL DE ACCESSOS;;
38;4;MEGAFONIA;;
38;5;INCENDIOS;;
38;6;SOS;;
38;7;CCTV;;
38;8;DAT TRAFICO;;
38;9;METEO;;
38;10;CT;;
38;11;ELECTRICIDAD;;
39;1;CONTROL DE ACCESSOS;;
39;2;SOS;;
39;3;CCTV;;
39;4;ELECTRICIDAD;;
39;5;CT;;
39;6;ILUMINACION;;
39;7;VENTILACION;;
39;8;INCENDIOS;;
39;9;DAT TRAFICO;;
39;10;METEO;;
40;1;ELECTRICIDAD;;
41;1;ELECTRICIDAD;;
42;1;ELECTRICIDAD;;
43;1;ELECTRICIDAD;;
44;1;ELECTRICIDAD;;
45;1;DET_LIN_INC;;
45;2;INCENDIOS;;
46;1;ELECTRICIDAD;;
46;2;CT;;
46;3;SOS;;
46;4;BOMBEO;;
47;1;CCTV;;
47;2;SOS;;
47;3;CONTROL DE ACCESSOS;;
47;4;VENTILACION;;
47;5;ILUMINACION;;
47;6;METEO;;
47;7;DAT TRAFICO;;
47;8;ELECTRICIDAD;;
47;9;CT;;
47;10;INCENDIOS;;
48;1;VENTILACION;;
48;2;SOS;;
48;3;CONTROL DE ACCESSOS;;
48;4;CCTV;;
48;5;ILUMINACION;;
48;6;METEO;;
48;7;DAT TRAFICO;;
48;8;INCENDIOS;;
48;9;CT;;
48;10;ELECTRICIDAD;;
49;1;ELECTRICIDAD;;
50;1;ELECTRICIDAD;;
51;1;ELECTRICIDAD;;
52;1;ELECTRICIDAD;;
53;1;ELECTRICIDAD;;
54;1;ELECTRICIDAD;;
55;1;CONTROL DE ACCESSOS;;
55;2;CCTV;;
55;3;METEO;;
55;4;DAT TRAFICO;;
55;5;VENTILACION;;
56;1;CONTROL DE ACCESSOS;;
56;2;CCTV;;
56;3;METEO;;
56;4;DAT TRAFICO;;
57;1;VENTILACION;10;METEO
57;2;SOS;;
57;3;CCTV;;
57;4;METEO;;
57;5;INCENDIOS;;
57;6;ELECTRICIDAD;;
57;7;ILUMINACION;;
57;8;DAT TRAFICO;;
58;1;ELECTRICIDAD;;
58;2;CT;;
58;3;SOS;;
58;4;BOMBEO;;
59;1;ELECTRICIDAD;;
60;1;ELECTRICIDAD;;
61;1;ELECTRICIDAD;;
62;1;ELECTRICIDAD;;
63;1;ELECTRICIDAD;;
64;1;ELECTRICIDAD;;
65;1;ELECTRICIDAD;;
66;1;ELECTRICIDAD;;
67;1;ELECTRICIDAD;;
68;1;ELECTRICIDAD;;
69;1;ELECTRICIDAD;;
70;1;ELECTRICIDAD;;
71;1;ELECTRICIDAD;;
72;1;ELECTRICIDAD;;
73;1;ELECTRICIDAD;;
74;1;ELECTRICIDAD;;
75;1;ELECTRICIDAD;;
76;1;ELECTRICIDAD;;
77;1;SOS;;
77;2;CCTV;;
77;3;DAT TRAFICO;;
77;4;CONTROL DE ACCESSOS;;
77;5;ILUMINACION;;
77;6;INCENDIOS;;
77;7;CT;;
78;1;ELECTRICIDAD;;
79;1;ELECTRICIDAD;;
80;1;ELECTRICIDAD;;
81;1;ELECTRICIDAD;;
81;2;ILUMINACION;;
82;1;CONTROL DE ACCESSOS;;
82;2;SOS;;
82;3;CCTV;;
82;4;VENTILACION;;
82;5;ILUMINACION;;
82;6;METEO;;
82;7;INCENDIOS;;
82;8;CT;;
82;9;ELECTRICIDAD;;
83;1;ELECTRICIDAD;;
83;2;ILUMINACION;;
84;1;ELECTRICIDAD;;
85;1;CONTROL DE ACCESSOS;;
85;2;CCTV;;
85;3;METEO;;
85;4;DAT TRAFICO;;
85;5;VENTILACION;;
86;1;CONTROL DE ACCESSOS;;
86;2;CCTV;;
86;3;METEO;;
86;4;DAT TRAFICO;;
87;1;ELECTRICIDAD;;
88;1;ELECTRICIDAD;;
88;2;ILUMINACION;;
89;1;ELECTRICIDAD;;
