id;x;y;name;description;label;icon;base_layer
1;1;1;tunel;tunel;LBL_TUNNEL;NULL;Ausol_RV_General.svg
2;1;1;uf_csa;uf_csa;LBL_UF_CSA;NULL;Ausol_RV_UF_CSA.svg
3;1;1;uf_csb;uf_csb;LBL_UF_CSB;NULL;Ausol_RV_UF_CSB.svg
4;1;1;uf_csv;uf_csv;LBL_UF_CSV;NULL;Ausol_RV_UF_CSV.svg
5;1;1;uf_cgbt;uf_cgbt;LBL_UF_CGBT;NULL;Ausol_RV_UF_CGBT.svg
6;1;1;ct_plano;ct_plano;LBL_CT_PLANO;NULL;Ausol_RV_CT_Plano.svg
10;1;1;tunel_montemayor;tunel_montemayor;LBL_TUNNEL_MONTEMAYOR;NULL;Ausol_MM_General.svg
11;1;1;montemayor_uf_csa;montemayor_uf_csa;LBL_MM_UF_CSA;NULL;Ausol_MM_UF_CSA.svg
12;1;1;tunel_traffic_control;tunel_traffic_control;LBL_RV_TRAFFIC_CONTROL;NULL;Ausol_RV_Tunel_Traffic_Control.svg
13;1;1;tunel_comm_users;tunel_comm_users;LBL_RV_COMM_USERS;NULL;Ausol_RV_Tunel_Comm_Users.svg
14;1;1;mm_uf_cgbt;mm_uf_cgbt;LBL_UF_CGBT;NULL;Ausol_MM_UF_CGBT.svg
16;1;1;mm_ct_plano;mm_ct_plano;LBL_CT_PLANO;NULL;Ausol_MM_CT_Plano.svg
17;1;1;stmi_tunel;stmi_tunel;LBL_STMI_TUNNEL;NULL;Ausol_STMI_General.svg
18;1;1;stmi_uf_csa;stmi_uf_csa;LBL_UF_CSA;NULL;Ausol_STMI_UF_CSA.svg
19;1;1;stmi_uf_cgbt;stmi_uf_cgbt;LBL_UF_CGBT;NULL;Ausol_STMI_UF_CGBT.svg
20;1;1;stmi_ct_plano;stmi_ct_plano;LBL_CT_PLANO;NULL;Ausol_STMI_CT_Plano.svg
21;1;1;stm_ct_its;stm_ct_its;LBL_CT_ITS;NULL;Ausol_STMI_CT_ITS.svg
22;1;1;tunel_vent;tunel_vent;LBL_RV_TUNNEL_VENT;NULL;Ausol_RV_Ventilation.svg
23;1;1;stm_illumination;stm_illumination;LBL_STMI_ILLUMINATION;NULL;Ausol_STMI_Ilumination.svg
24;1;1;rv_pci;rv_pci;LBL_RV_PCI;NULL;Ausol_RV_PCI.svg
25;1;1;mm_galeria;mm_galeria;LBL_MM_GALERIA;NULL;Ausol_MM_Galeria.svg
26;1;1;mm_comm_users;mm_comm_users;LBL_MM_COMM_USERS;NULL;Ausol_MM_Tunel_Comm_Users.svg
27;1;1;mm_vent;mm_vent;LBL_MM_VENT;NULL;Ausol_MM_Ventilation.svg
28;1;1;mm_uf_csb_its_1;mm_uf_csb_its_1;LBL_MM_UF_CSB_ITS_1;NULL;Ausol_MM_UF_CSB_ITS_1.svg
29;1;1;mm_uf_csv;mm_uf_csv;LBL_UF_CSV;NULL;Ausol_MM_UF_CSV.svg
30;1;1;stmi_uf_csb;stmi_uf_csb;LBL_UF_CSB;NULL;Ausol_STMI_UF_CSB.svg
31;1;1;mm_uf_csb_its_2;mm_uf_csb_its_2;LBL_MM_UF_CSB_ITS_2;NULL;Ausol_MM_UF_CSB_ITS_2.svg
32;1;1;mm_uf_csg;mm_uf_csg;LBL_MM_UF_CSG;NULL;Ausol_MM_UF_CSG.svg
33;1;1;tunel_MM_traffic_control;tunel_MM_traffic_control;LBL_MM_TRAFFIC_CONTROL;NULL;Ausol_MM_Tunel_Traffic_Control.svg
34;1;1;stmi_comm_users;stmi_comm_users;LBL_STMI_COMM_USERS;NULL;Ausol_STMI_Tunel_Comm_Users.svg
35;1;1;tunel_STMI_traffic_control;tunel_STMI_traffic_control;LBL_STMI_TRAFFIC_CONTROL;NULL;Ausol_STMI_Tunel_Traffic_Control.svg
36;1;1;mm_pci;mm_pci;LBL_MM_PCI;NULL;Ausol_MM_PCI.svg
37;1;1;tunel_casares;tunel_casares;LBL_TUNEL_CS;NULL;Ausol_CAS_General.svg
38;1;1;tunel_corominas;tunel_corominas;LBL_TUNEL_COR;NULL;Ausol_COR_General.svg
39;1;1;tunel_laquinta;tunel_laquinta;LBL_TUNEL_LQ;NULL;Ausol_LQ_General.svg
40;1;1;lq_uf_cgbt;lq_uf_cgbt;LBL_LQ_UF_CGBT;NULL;Ausol_LQ_UF_CGBT.svg
41;1;1;lq_uf_csa;lq_uf_csa;LBL_LQ_UF_CSA;NULL;Ausol_LQ_UF_CSA.svg
42;1;1;lq_uf_csb;lq_uf_csb;LBL_LQ_UF_CSB;NULL;Ausol_LQ_UF_CSB.svg
43;1;1;lq_uf_csv_ca;lq_uf_csv_ca;LBL_LQ_UF_CSV_CA;NULL;Ausol_LQ_UF_CSV_CA.svg
44;1;1;lq_uf_csv_ma;lq_uf_csv_ma;LBL_LQ_UF_CSV_MA;NULL;Ausol_LQ_UF_CSV_MA.svg
45;1;1;stmi_pci;stmi_pci;LBL_STMI_PCI;NULL;Ausol_STMI_PCI.svg
46;1;1;rv_energia;rv_energia;LBL_RV_ENERGIA;NULL;Ausol_RV_Energia.svg
47;1;1;tunel_calahonda;tunel_calahonda;LBL_CH_GENERAL;NULL;Ausol_CH_General.svg
48;1;1;tunel_nagueles;tunel_nagueles;LBL_NG_GENERAL;NULL;Ausol_NG_General.svg
49;1;1;ch_uf_csa;ch_uf_csa;LBL_CH_UF_CSA;NULL;Ausol_CH_UF_CSA.svg
50;1;1;ch_uf_cgbt;ch_uf_cgbt;LBL_CH_UF_CGBT;NULL;Ausol_CH_UF_CGBT.svg
51;1;1;ch_uf_csb1;ch_uf_csb1;LBL_CH_UF_CSB1;NULL;Ausol_CH_UF_CSB_1.svg
52;1;1;ch_uf_csb2;ch_uf_csb2;LBL_CH_UF_CSB2;NULL;Ausol_CH_UF_CSB_2.svg
53;1;1;ch_uf_csv;ch_uf_csv;LBL_CH_UF_CSV;NULL;Ausol_CH_UF_CSV.svg
54;1;1;ch_uf_csg;ch_uf_csg;LBL_CH_UF_CSG;NULL;Ausol_CH_UF_CSG.svg
55;1;1;tunel_lq_traffic_control;tunel_lq_traffic_control;LBL_LQ_TRAFFIC_CONTROL;NULL;Ausol_LQ_Tunel_Traffic_Control.svg
56;1;1;tunel_ch_traffic_control;tunel_ch_traffic_control;LBL_CH_TRAFFIC_CONTROL;NULL;Ausol_CH_Tunel_Traffic_Control.svg
57;1;1;ch_vent;ch_vent;LBL_CH_VENT;NULL;Ausol_CH_Ventilation.svg
58;1;1;stmi_energia;stmi_energia;LBL_STMI_ENERGIA;NULL;Ausol_STMI_Energia.svg
59;1;1;cas_uf_csa;cas_uf_csa;LBL_CAS_UF_CSA;NULL;Ausol_CAS_UF_CSA.svg
60;1;1;cas_uf_csa_sai;cas_uf_csa_sai;LBL_CAS_UF_CSA_SAI;NULL;Ausol_CAS_UF_CSA_SAI.svg
61;1;1;cas_uf_cgbt_a;cas_uf_cgbt_a;LBL_CAS_UF_CGBT_A;NULL;Ausol_CAS_UF_CGBT_A.svg
62;1;1;cas_uf_cgbt_b;cas_uf_cgbt_b;LBL_CAS_UF_CGBT_B;NULL;Ausol_CAS_UF_CGBT_B.svg
63;1;1;cas_uf_csb_its_a;cas_uf_csb_its_a;LBL_CAS_UF_CSB_ITS_A;NULL;Ausol_CAS_UF_CSB_ITS_A.svg
64;1;1;cas_uf_csb_its_b;cas_uf_csb_its_b;LBL_CAS_UF_CSB_ITS_B;NULL;Ausol_CAS_UF_CSB_ITS_B.svg
65;1;1;cas_uf_csv;cas_uf_csv;LBL_CAS_UF_CSV;NULL;Ausol_CAS_UF_CSV.svg
66;1;1;cas_uf_galeria;cas_uf_galeria;LBL_CAS_UF_GALERIA;NULL;Ausol_CAS_UF_GALERIA.svg
67;1;1;cor_uf_csa_a;cor_uf_csa_a;LBL_COR_UF_CSA_A;NULL;Ausol_COR_UF_CSA_A.svg
68;1;1;cor_uf_csa_b;cor_uf_csa_b;LBL_COR_UF_CSA_B;NULL;Ausol_COR_UF_CSA_B.svg
69;1;1;cor_uf_cgbt_a;cor_uf_cgbt_a;LBL_COR_UF_CGBT_A;NULL;Ausol_COR_UF_CGBT_A.svg
70;1;1;cor_uf_cgbt_b;cor_uf_cgbt_b;LBL_COR_UF_CGBT_B;NULL;Ausol_COR_UF_CGBT_B.svg
71;1;1;cor_uf_csb_its_a;cor_uf_csb_its_a;LBL_COR_UF_CSB_ITS_A;NULL;Ausol_COR_UF_CSB_ITS_A.svg
72;1;1;cor_uf_csb_its_b;cor_uf_csb_its_b;LBL_COR_UF_CSB_ITS_B;NULL;Ausol_COR_UF_CSB_ITS_B.svg
73;1;1;cor_uf_galeria_1;cor_uf_galeria_1;LBL_COR_UF_GALERIA_1;NULL;Ausol_COR_UF_GALERIA_1.svg
74;1;1;cor_uf_galeria_2;cor_uf_galeria_2;LBL_COR_UF_GALERIA_2;NULL;Ausol_COR_UF_GALERIA_2.svg
75;1;1;cor_uf_galeria_3;cor_uf_galeria_3;LBL_COR_UF_GALERIA_3;NULL;Ausol_COR_UF_GALERIA_3.svg
76;1;1;cor_uf_csv;cor_uf_csv;LBL_COR_UF_CSV;NULL;Ausol_COR_UF_CSV.svg
77;1;1;tunel_estepona;tunel_estepona;LBL_EST_GENERAL;NULL;Ausol_EST_General.svg
78;1;1;est_uf_cgbt;est_uf_cgbt;LBL_EST_UF_CGBT;NULL;Ausol_EST_UF_CGBT.svg
79;1;1;est_uf_csa;est_uf_csa;LBL_EST_UF_CSA;NULL;Ausol_EST_UF_CSA.svg
80;1;1;est_uf_csb;est_uf_csb;LBL_EST_UF_CSB;NULL;Ausol_EST_UF_CSB.svg
81;1;1;rv_illumination;rv_illumination;LBL_RV_ILLUMINATION;NULL;Ausol_RV_Ilumination.svg
82;1;1;stm2_tunel;stm2_tunel;LBL_STM2_TUNEL;NULL;Ausol_STM2_General.svg
83;1;1;mm_illumination;mm_illumination;LBL_MM_ILLUMINATION;NULL;Ausol_MM_Ilumination.svg
84;1;1;stmii_uf_csa;stmii_uf_csa;LBL_STMII_UF_CSA;NULL;Ausol_STMII_UF_CSA.svg
85;1;1;tunel_cor_traffic_control;tunel_cor_traffic_control;LBL_COR_TRAFFIC_CONTROL;NULL;Ausol_COR_Tunel_Traffic_Control.svg
86;1;1;tunel_cas_traffic_control;tunel_cas_traffic_control;LBL_CAS_TRAFFIC_CONTROL;NULL;Ausol_CAS_Tunel_Traffic_Control.svg
87;1;1;stmii_uf_cgbt;stmii_uf_cgbt;LBL_STMII_UF_CGBT;NULL;Ausol_STMII_UF_CGBT.svg
88;1;1;lq_illumination;lq_illumination;LBL_LQ_ILLUMINATION;NULL;Ausol_LQ_Ilumination.svg
89;1;1;stmii_uf_csv;stmii_uf_csv;LBL_STMII_UF_CSV;NULL;Ausol_STMII_UF_CSV.svg
90;1;1;mm_energia;mm_energia;LBL_MM_ENERGIA;NULL;Ausol_MM_Energia.svg
91;1;1;cas_ct_plano;cas_ct_plano;LBL_CAS_CT_PLANO;NULL;Ausol_CAS_CT_Plano.svg
92;1;1;ch_ct_plano;ch_ct_plano;LBL_CH_CT_PLANO;NULL;Ausol_CH_CT_Plano.svg
93;1;1;cor_ct_plano;cor_ct_plano;LBL_COR_CT_PLANO;NULL;Ausol_COR_CT_Plano.svg
94;1;1;lq_ct_plano;lq_ct_plano;LBL_LQ_CT_PLANO;NULL;Ausol_LQ_CT_Plano.svg
95;1;1;est_ct_plano;est_ct_plano;LBL_EST_CT_PLANO;NULL;Ausol_EST_CT_Plano.svg
96;1;1;stm2_ct_plano;stm2_ct_plano;LBL_STM2_CT_PLANO;NULL;Ausol_STM2_CT_Plano.svg
97;1;1;lq_energia;lq_energia;LBL_LQ_ENERGIA;NULL;Ausol_LQ_Energia.svg
98;1;1;lq_vent;lq_vent;LBL_LQ_VENT;NULL;Ausol_LQ_Ventilation.svg
99;1;1;cor_comm_users;cor_comm_users;LBL_COR_COMM_USERS;NULL;Ausol_COR_Tunel_Comm_Users.svg
100;1;1;stm2_vent;stm2_vent;LBL_STM2_VENT;NULL;Ausol_STM2_Ventilation.svg
101;1;1;lq_comm_users;lq_comm_users;LBL_LQ_COMM_USERS;NULL;Ausol_LQ_Tunel_Comm_Users.svg
102;1;1;ch_comm_users;ch_comm_users;LBL_CH_COMM_USERS;NULL;Ausol_CH_Tunel_Comm_Users.svg
103;1;1;ch_illumination;ch_illumination;LBL_CH_ILLUMINATION;NULL;Ausol_CH_Ilumination.svg
104;1;1;cas_vent;cas_vent;LBL_CAS_VENT;NULL;Ausol_CAS_Ventilation.svg
105;1;1;cor_vent;cor_vent;LBL_COR_VENT;NULL;Ausol_COR_Ventilation.svg
106;1;1;tunel_est_traffic_control;tunel_est_traffic_control;LBL_EST_TRAFFIC_CONTROL;NULL;Ausol_EST_Tunel_Traffic_Control.svg
107;1;1;tunel_stm2_traffic_control;tunel_stm2_traffic_control;LBL_STM2_TRAFFIC_CONTROL;NULL;Ausol_STM2_Tunel_Traffic_Control.svg
108;1;1;cas_energia;cas_energia;LBL_CAS_ENERGIA;NULL;Ausol_CAS_Energia.svg
109;1;1;ng_uf_csv;ng_uf_csv;LBL_NG_UF_CSV;NULL;Ausol_NG_UF_CSV.svg
110;1;1;ch_energia;ch_energia;LBL_CH_ENERGIA;NULL;Ausol_CH_Energia.svg
111;1;1;stm2_comm_users;stm2_comm_users;LBL_STM2_COMM_USERS;NULL;Ausol_STM2_Tunel_Comm_Users.svg
112;1;1;cas_comm_users;cas_comm_users;LBL_CAS_COMM_USERS;NULL;Ausol_CAS_Tunel_Comm_Users.svg
113;1;1;stm2_energia;stm2_energia;LBL_STM2_ENERGIA;NULL;Ausol_STM2_Energia.svg
114;1;1;cor_energia;cor_energia;LBL_COR_ENERGIA;NULL;Ausol_COR_Energia.svg
115;1;1;est_energia;est_energia;LBL_EST_ENERGIA;NULL;Ausol_EST_Energia.svg
116;1;1;cas_illumination;cas_illumination;LBL_CAS_ILLUMINATION;NULL;Ausol_CAS_Ilumination.svg
