subtype;element_type;subsistema
4;1;CONTROL AMBIENTAL
3;2;CAMARAS
4;2;CAMARAS
1;4;DAT TRAFICO
1;8;CONTROL DE ACCESOS
2;9;CONTROL AMBIENTAL
NULL;10;TARIFICADOR
2;11;CITOFONIA
3;11;CITOFONIA
NULL;12;CONTROL AMBIENTAL
NULL;13;CONTROL DE ACCESOS
NULL;14;CONTROL AMBIENTAL
NULL;15;DETECCION LINEAL DE INCENDIOS
NULL;16;MEGAFONIA
NULL;17;CONTROL DE ACCESOS
NULL;19;CONTROL AMBIENTAL
NULL;20;CONTROL AMBIENTAL
NULL;21;CONTROL AMBIENTAL
NULL;22;BOMBAS PCI
2;24;CONTROL DE INCENDIOS
1;24;CONTROL DE INCENDIOS
NULL;25;ARMARIOS_ELEC
1;27;ELECTRICIDAD
NULL;29;DETECCION LINEAL DE INCENDIOS
NULL;30;RADIO
1;32;PRESURIZACION
NULL;33;ELECTRICIDAD
NULL;35;SENTINAS
NULL;52;ELECTRICIDAD
2;53;CONTROL DE ACCESOS
1;55;CT
NULL;57;ELECTRICIDAD
NULL;65;ELECTRICIDAD
2;66;CONTROL AMBIENTAL
9;71;CONTROL DE ACCESOS
11;71;SEÑALIZACION
12;71;SEÑALIZACION
15;71;CONTROL DE ACCESOS
16;71;SEÑALIZACION
19;71;CONTROL DE ACCESOS
21;71;SEÑALIZACION
NULL;89;PRESURIZACION
NULL;56;ELECTRICIDAD
NULL;58;DETECCION LINEAL DE INCENDIOS
NULL;59;DETECCION LINEAL DE INCENDIOS
NULL;60;DETECCION LINEAL DE INCENDIOS
NULL;61;DETECCION LINEAL DE INCENDIOS
2;70;ELECTRICIDAD
NULL;75;ELECTRICIDAD
NULL;2000;ILUMINACION
NULL;84;ELECTRICIDAD
NULL;86;BOMBAS PCI
NULL;87;BOMBAS PCI
NULL;88;BOMBAS PCI
NULL;93;ELECTRICIDAD
NULL;95;SERVIDOR DE SINCRONISMO
