element_type;element_subtype;alias;svg_file;js_custom_type_render;keepRatio
8;;BARRERA;08_barrier.svg;barrier.js;true
13;;SEM_3GRUPOS;13_sem_3_grupos.svg;trafficLightPLC.js;true
22;;VALVULA;22_valvula_mariposa.svg;valve.js;true
27;;PLC;27_plc.svg;;true
33;;TRAFO;33_trafo.svg;;true
53;;SEM_2GRUPOS;53_sem_2_grupos.svg;redTrafficLight.js;true
56;;UNIFILAR;56_unifilar.svg;;true
57;;INTERRUPTOR;92_electrical_protection.svg;;true
58;;PULS;58_pulsador.svg;;true
59;;DET_HUM;59_smoke_detector.svg;;true
60;;SIRENA;60_sirena.svg;;true
61;;FIRE_DET_CT;61_fire_det_ct.svg;;true
65;;SAI;65_sai.svg;;true
70;;CVM;70_analizador_red.svg;;true
71;19;VMS;71_vms_dgt_gr_txt.svg;vms.js;true
71;21;VMS;71_vms_nzta_txt_type_b.svg;vms.js;true
75;;GE;75_ge.svg;;true
86;;BOMBA;86_diesel_pump.svg;pump.js;true
87;;TANK;87_tank.svg;tank.js;true
88;;SENSOR;88_leak_water_sensor.svg;;true
