alias;parent_alias;module_id;layer
TREE_CABINETS;;;
TREE_EC;TREE_CABINETS;901;Bratislava_EC.svg
TREE_EC_SCN;TREE_CABINETS;902;Bratislava_EC_SCN.svg
TREE_EC_ATC;TREE_CABINETS;903;Bratislava_EC_ATC.svg
TREE_EC_NRL;TREE_CABINETS;904;Bratislava_EC_NRL.svg
TREE_EC_NRS;TREE_CABINETS;905;Bratislava_EC_NRS.svg
TREE_EC_TFA3D;TREE_CABINETS;906;Bratislava_EC_TFA_3D.svg
TREE_EC_TFALOOPS;TREE_CABINETS;907;Bratislava_EC_TFA_Loops.svg
TREE_EC_TOLL;TREE_CABINETS;908;Bratislava_EC_TOLL.svg
TREE_EC_TU;TREE_CABINETS;909;Bratislava_EC_TU.svg
TREE_EC_DAI;TREE_CABINETS;910;Bratislava_EC_DAI.svg
TREE_ITS;;;
TREE_CAM;TREE_ITS;911;Bratislava_CCTV.svg
TREE_WS;TREE_ITS;912;Bratislava_Meteo.svg
TREE_DET_TRAF;;;
TREE_ATCS;TREE_DET_TRAF;913;Bratislava_ETD_ATC.svg
TREE_TFAS;TREE_DET_TRAF;914;Bratislava_ETD_TFA.svg
TREE_TFAS_3D;TREE_DET_TRAF;915;Bratislava_ETD_TFA3D.svg
TREE_SECTIONS;TREE_DET_TRAF;916;Bratislava_ATC_SECTIONS.svg
TREE_RTMS;TREE_DET_TRAF;917;Bratislava_RTMS.svg
TREE_VMS;;;
TREE_S1F2_0-6_L;TREE_VMS;919;Bratislava_VMS_S1F2_0-6_L.svg
TREE_S1F2_0-6_P;TREE_VMS;920;Bratislava_VMS_S1F2_0-6_P.svg
TREE_S1F2_6-11_L;TREE_VMS;921;Bratislava_VMS_S1F2_6-11_L.svg
TREE_S1F2_6-11_P;TREE_VMS;922;Bratislava_VMS_S1F2_6-11_P.svg
TREE_S1F2_11-24_L;TREE_VMS;923;Bratislava_VMS_S1F2_11-24_L.svg
TREE_S1F2_11-24_P;TREE_VMS;924;Bratislava_VMS_S1F2_11-24_P.svg
TREE_S2_L;TREE_VMS;925;Bratislava_VMS_S2_L.svg
TREE_S2_P;TREE_VMS;926;Bratislava_VMS_S2_P.svg
TREE_S3_L;TREE_VMS;927;Bratislava_VMS_S3_L.svg
TREE_S3_P;TREE_VMS;928;Bratislava_VMS_S3_P.svg
TREE_S4-S5_L;TREE_VMS;929;Bratislava_VMS_S4S5_L.svg
TREE_S4-S5_P;TREE_VMS;930;Bratislava_VMS_S4S5_P.svg
TREE_D4-R7;TREE_VMS;933;Bratislava_VMS_INCIDENT.svg
TREE_AS_PARENT;;;
TREE_AS;TREE_AS_PARENT;931;Bratislava_AS_Rovinka.svg
TREE_BRIGE_PARENT;;;
TREE_BRIGE;TREE_BRIGE_PARENT;932;GALERIAS_PUENTE.svg
