synoptic_alias;alias;parent_alias;id_element_type;id_element_subtype;module_action_id
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_VENTILACION;;;;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;;;;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_SOS;;;;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_CCTV;;;;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_VENTILADORES;SYNOPTIC_LAYERS_VENTILACION;9;1;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_PANELES_CLV;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;71;11;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_PANELES_AF;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;71;12;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_PANELES_GT;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;71;18;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_SEMAFOROS;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;13;;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_POSTES_SOS;SYNOPTIC_LAYERS_SOS;11;;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_CAMARAS_DOMO;SYNOPTIC_LAYERS_CCTV;2;1;
SELECTOR_TREE_NODES_SINOPTICO_DESPEÑAPERROS_TUNNEL;SYNOPTIC_LAYERS_CAMARAS_DAI;SYNOPTIC_LAYERS_CCTV;2;2;
