alias;parent_alias;module_id;layer
SELECTOR_TREE_NODES_SINOPTICOS;;;
SELECTOR_TREE_NODES_SINOPTICOS_CT;SELECTOR_TREE_NODES_SINOPTICOS;901;Ausol_LQ_CT_Plano.svg
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL;SELECTOR_TREE_NODES_SINOPTICOS;902;Ausol_LQ_General.svg
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL;SELECTOR_TREE_NODES_SINOPTICOS;903;Ausol_LQ_Ilumination.svg
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL;SELECTOR_TREE_NODES_SINOPTICOS;904;Ausol_LQ_Energia.svg
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL;SELECTOR_TREE_NODES_SINOPTICOS;905;Ausol_LQ_Ventilation.svg
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL;SELECTOR_TREE_NODES_SINOPTICOS;906;Ausol_LQ_Tunel_Comm_Users.svg
SELECTOR_TREE_NODES_SINOPTICOS_TUNEL;SELECTOR_TREE_NODES_SINOPTICOS;907;Ausol_LQ_PCI.svg
SELECTOR_TREE_NODES_SINOPTICOS_UF;SELECTOR_TREE_NODES_SINOPTICOS;908;Ausol_LQ_UF_CSG.svg
SELECTOR_TREE_NODES_SINOPTICOS_UF;SELECTOR_TREE_NODES_SINOPTICOS;909;Ausol_LQ_UF_CGBT.svg
SELECTOR_TREE_NODES_SINOPTICOS_UF;SELECTOR_TREE_NODES_SINOPTICOS;910;Ausol_LQ_UF_CSA.svg
SELECTOR_TREE_NODES_SINOPTICOS_UF;SELECTOR_TREE_NODES_SINOPTICOS;911;Ausol_LQ_UF_CSB.svg
SELECTOR_TREE_NODES_SINOPTICOS_UF;SELECTOR_TREE_NODES_SINOPTICOS;912;Ausol_LQ_UF_CSV_CA.svg
SELECTOR_TREE_NODES_SINOPTICOS_UF;SELECTOR_TREE_NODES_SINOPTICOS;913;Ausol_LQ_UF_CSV_MA.svg
