synoptic_alias;alias;parent_alias;id_element_type;id_element_subtype;module_action_id
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;;;;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_DOMO_CAMERAS;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;2;1;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_DAI_CAMERAS;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;2;2;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_SEMAFOROS;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;13;;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_PANELES_AF;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;71;12;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_AMBIENTALES;;;;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_ANEMOMETER;SYNOPTIC_LAYERS_AMBIENTALES;18;;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_NO;SYNOPTIC_LAYERS_AMBIENTALES;20;;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_CO;SYNOPTIC_LAYERS_AMBIENTALES;19;;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_OPAC;SYNOPTIC_LAYERS_AMBIENTALES;21;;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_SEM_2_GRUPOS;SYNOPTIC_LAYERS_CONTROL_DE_ACCESSOS;53;2;
SELECTOR_TREE_NODES_SINOPTICO_LA_CERRADURA_TUNNEL;SYNOPTIC_LAYERS_SOS;;11;;
