item;element_subtype;alias;sessionuid;description;road;stretchs;pk;sentido
1;2;RV-BAR-1CA;RV-BAR-1CA;RV-BAR-1CA;AP7 - AUSOL I;RV-TUNEL;177+294;CA
2;2;RV-BAR-2CA;RV-BAR-2CA;RV-BAR-2CA;AP7 - AUSOL I;RV-TUNEL;177+294;CA
3;2;RV-BAR-1MA;RV-BAR-1MA;RV-BAR-1MA;AP7 - AUSOL I;RV-TUNEL;177+006;MA
4;2;RV-BAR-2MA;RV-BAR-2MA;RV-BAR-2MA;AP7 - AUSOL I;RV-TUNEL;177+006;MA
5;2;MM-BAR-1CA;MM-BAR-1CA;MM-BAR-1CA;AP7 - AUSOL I;MM-TUNEL;166+727;CA
6;2;MM-BAR-2CA;MM-BAR-2CA;MM-BAR-2CA;AP7 - AUSOL I;MM-TUNEL;166+727;CA
7;2;MM-BAR-1MA;MM-BAR-1MA;MM-BAR-1MA;AP7 - AUSOL I;MM-TUNEL;166+100;MA
8;2;MM-BAR-2MA;MM-BAR-2MA;MM-BAR-2MA;AP7 - AUSOL I;MM-TUNEL;166+100;MA
9;2;STMI-BAR-1MA;STMI-BAR-1MA;STMI-BAR-1MA;AP7 - AUSOL I;STMI-TUNEL;195+549;MA
10;2;STMI-BAR-2MA;STMI-BAR-2MA;STMI-BAR-2MA;AP7 - AUSOL I;STMI-TUNEL;195+549;MA
11;2;STMI-BAR-1CA;STMI-BAR-1CA;STMI-BAR-1CA;AP7 - AUSOL I;STMI-TUNEL;195+689;CA
12;2;STMI-BAR-2CA;STMI-BAR-2CA;STMI-BAR-2CA;AP7 - AUSOL I;STMI-TUNEL;195+689;CA
13;2;CH-BAR-1MA;CH-BAR-1MA;CH-BAR-1MA;AP7 - AUSOL I;CH-TUNEL;199+812;MA
14;2;CH-BAR-2MA;CH-BAR-2MA;CH-BAR-2MA;AP7 - AUSOL I;CH-TUNEL;199+812;MA
15;2;CH-BAR-1CA;CH-BAR-1CA;CH-BAR-1CA;AP7 - AUSOL I;CH-TUNEL;199+201;CA
16;2;CH-BAR-2CA;CH-BAR-2CA;CH-BAR-2CA;AP7 - AUSOL I;CH-TUNEL;199+201;CA
17;2;LQ-BAR-1CA;LQ-BAR-1CA;LQ-BAR-1CA;AP7 - AUSOL I;LQ-TUNEL;173+503;CA
18;2;LQ-BAR-2CA;LQ-BAR-2CA;LQ-BAR-2CA;AP7 - AUSOL I;LQ-TUNEL;173+503;CA
19;2;LQ-BAR-1MA;LQ-BAR-1MA;LQ-BAR-1MA;AP7 - AUSOL I;LQ-TUNEL;172+646;CA
20;2;LQ-BAR-2MA;LQ-BAR-2MA;LQ-BAR-2MA;AP7 - AUSOL I;LQ-TUNEL;172+646;CA
21;2;COR-BAR-1CA;COR-BAR-1CA;COR-BAR-1CA;AP7 - AUSOL II;COR-TUNEL;199+793;CA
22;2;COR-BAR-2CA;COR-BAR-2CA;COR-BAR-2CA;AP7 - AUSOL II;COR-TUNEL;199+793;CA
23;2;COR-BAR-1MA;COR-BAR-1MA;COR-BAR-1MA;AP7 - AUSOL II;COR-TUNEL;199+223;MA
24;2;COR-BAR-2MA;COR-BAR-2MA;COR-BAR-2MA;AP7 - AUSOL II;COR-TUNEL;199+223;MA
25;2;EST-BAR-1CA;EST-BAR-1CA;EST-BAR-1CA;AP7 - AUSOL II;EST-TUNEL;153+770;CA
26;2;EST-BAR-2CA;EST-BAR-2CA;EST-BAR-2CA;AP7 - AUSOL II;EST-TUNEL;153+770;CA
27;2;EST-BAR-1MA;EST-BAR-1MA;EST-BAR-1MA;AP7 - AUSOL II;EST-TUNEL;153+590;MA
28;2;EST-BAR-2MA;EST-BAR-2MA;EST-BAR-2MA;AP7 - AUSOL II;EST-TUNEL;153+590;MA
29;2;NG-BAR-1CA;NG-BAR-1CA;NG-BAR-1CA;AP7 - AUSOL I;NG-TUNEL;180+203;CA
30;2;NG-BAR-2CA;NG-BAR-2CA;NG-BAR-2CA;AP7 - AUSOL I;NG-TUNEL;180+203;CA
31;2;NG-BAR-1MA;NG-BAR-1MA;NG-BAR-1MA;AP7 - AUSOL I;NG-TUNEL;179+510;MA
32;2;NG-BAR-2MA;NG-BAR-2MA;NG-BAR-2MA;AP7 - AUSOL I;NG-TUNEL;179+510;MA
33;2;STM2-BAR-1MA;STM2-BAR-1MA;STM2-BAR-1MA;AP7 - AUSOL II;STMII-TUNEL;150+218;MA
34;2;STM2-BAR-2MA;STM2-BAR-2MA;STM2-BAR-2MA;AP7 - AUSOL II;STMII-TUNEL;150+218;MA
35;2;STM2-BAR-1CA;STM2-BAR-1CA;STM2-BAR-1CA;AP7 - AUSOL II;STMII-TUNEL;150+813;CA
36;2;STM2-BAR-2CA;STM2-BAR-2CA;STM2-BAR-2CA;AP7 - AUSOL II;STMII-TUNEL;150+813;CA
37;2;CAS-BAR-1MA;CAS-BAR-1MA;CAS-BAR-1MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
38;2;CAS-BAR-2MA;CAS-BAR-2MA;CAS-BAR-2MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
39;2;CAS-BAR-1CA;CAS-BAR-1CA;CAS-BAR-1CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
40;2;CAS-BAR-2CA;CAS-BAR-2CA;CAS-BAR-2CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
