item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_alarm;on_change_state;on_change_measure
1;1;RV-VENT-VF1-CA;RV-VENT-VF1-CA;RV-VENT-VF1-CA;AP7 - AUSOL I;RV-TUNEL;177+257;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
2;1;RV-VENT-VF2-CA;RV-VENT-VF2-CA;RV-VENT-VF2-CA;AP7 - AUSOL I;RV-TUNEL;177+257;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
3;1;RV-VENT-VF3-CA;RV-VENT-VF3-CA;RV-VENT-VF3-CA;AP7 - AUSOL I;RV-TUNEL;177+257;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
4;1;RV-VENT-VF4-CA;RV-VENT-VF4-CA;RV-VENT-VF4-CA;AP7 - AUSOL I;RV-TUNEL;177+157;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
5;1;RV-VENT-VF1-MA;RV-VENT-VF1-MA;RV-VENT-VF1-MA;AP7 - AUSOL I;RV-TUNEL;177+035;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
6;1;RV-VENT-VF2-MA;RV-VENT-VF2-MA;RV-VENT-VF2-MA;AP7 - AUSOL I;RV-TUNEL;177+035;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
7;1;RV-VENT-VF3-MA;RV-VENT-VF3-MA;RV-VENT-VF3-MA;AP7 - AUSOL I;RV-TUNEL;177+135;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
8;1;RV-VENT-VF4-MA;RV-VENT-VF4-MA;RV-VENT-VF4-MA;AP7 - AUSOL I;RV-TUNEL;177+235;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
9;1;RV-VENT-VF5-MA;RV-VENT-VF5-MA;RV-VENT-VF5-MA;AP7 - AUSOL I;RV-TUNEL;177+235;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
10;1;RV-VENT-VF6-MA;RV-VENT-VF6-MA;RV-VENT-VF6-MA;AP7 - AUSOL I;RV-TUNEL;177+235;MA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
11;1;MM-VENT-VF1-CA;MM-VENT-VF1-CA;MM-VENT-VF1-CA;AP7 - AUSOL I;MM-TUNEL;166+677;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
12;1;MM-VENT-VF2-CA;MM-VENT-VF2-CA;MM-VENT-VF2-CA;AP7 - AUSOL I;MM-TUNEL;166+677;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
13;1;MM-VENT-VF3-CA;MM-VENT-VF3-CA;MM-VENT-VF3-CA;AP7 - AUSOL I;MM-TUNEL;166+307;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
14;1;MM-VENT-VF4-CA;MM-VENT-VF4-CA;MM-VENT-VF4-CA;AP7 - AUSOL I;MM-TUNEL;166+307;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
15;1;MM-VENT-VF5-CA;MM-VENT-VF5-CA;MM-VENT-VF5-CA;AP7 - AUSOL I;MM-TUNEL;166+307;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
16;1;MM-VENT-VF6-CA;MM-VENT-VF6-CA;MM-VENT-VF6-CA;AP7 - AUSOL I;MM-TUNEL;166+207;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
17;1;MM-VENT-VF7-CA;MM-VENT-VF7-CA;MM-VENT-VF7-CA;AP7 - AUSOL I;MM-TUNEL;166+207;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
18;1;MM-VENT-VF8-CA;MM-VENT-VF8-CA;MM-VENT-VF8-CA;AP7 - AUSOL I;MM-TUNEL;166+207;CA;SendAlarmsToVentilation.groovy;SendFanStateToVentilation.groovy;SendValuesToVentilation.groovy
