item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure
1;RV-CO-1CA;RV-CO-1CA;RV-CO-1CA;AP7 - AUSOL I;RV-TUNEL;177+137;CA;SendValuesToVentilation.groovy
2;RV-CO-1MA;RV-CO-1MA;RV-CO-1MA;AP7 - AUSOL I;RV-TUNEL;177+145;MA;SendValuesToVentilation.groovy
3;MM-CO-1CA;MM-CO-1CA;MM-CO-1CA;AP7 - AUSOL I;MM-TUNEL;166+587;CA;SendValuesToVentilation.groovy
4;MM-CO-2CA;MM-CO-2CA;MM-CO-2CA;AP7 - AUSOL I;MM-TUNEL;166+387;CA;SendValuesToVentilation.groovy
5;MM-CO-3CA;MM-CO-3CA;MM-CO-3CA;AP7 - AUSOL I;MM-TUNEL;166+217;CA;SendValuesToVentilation.groovy
6;MM-CO-1MA;MM-CO-1MA;MM-CO-1MA;AP7 - AUSOL I;MM-TUNEL;166+023;MA;SendValuesToVentilation.groovy
7;MM-CO-2MA;MM-CO-2MA;MM-CO-2MA;AP7 - AUSOL I;MM-TUNEL;166+043;MA;SendValuesToVentilation.groovy
8;MM-CO-3MA;MM-CO-3MA;MM-CO-3MA;AP7 - AUSOL I;MM-TUNEL;166+006;MA;SendValuesToVentilation.groovy
9;LQ-CO-1CA;LQ-CO-1CA;LQ-CO-1CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy
10;LQ-CO-2CA;LQ-CO-2CA;LQ-CO-2CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy
11;LQ-CO-3CA;LQ-CO-3CA;LQ-CO-3CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy
12;LQ-CO-4CA;LQ-CO-4CA;LQ-CO-4CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy
13;LQ-CO-5CA;LQ-CO-5CA;LQ-CO-5CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy
14;LQ-CO-1MA;LQ-CO-1MA;LQ-CO-1MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy
15;LQ-CO-2MA;LQ-CO-2MA;LQ-CO-2MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy
16;LQ-CO-3MA;LQ-CO-3MA;LQ-CO-3MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy
17;LQ-CO-4MA;LQ-CO-4MA;LQ-CO-4MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy
18;CH-CO-1MA;CH-CO-1MA;CH-CO-1MA;AP7 - AUSOL I;CH-TUNEL;13+825;MA;SendValuesToVentilation.groovy
19;CH-CO-2MA;CH-CO-2MA;CH-CO-2MA;AP7 - AUSOL I;CH-TUNEL;13+825;MA;SendValuesToVentilation.groovy
