item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure
1;RV-NO-1CA;RV-NO-1CA;RV-NO-1CA;AP7 - AUSOL I;RV-TUNEL;177+137;CA;SendValuesToVentilation.groovy
2;RV-NO-1MA;RV-NO-1MA;RV-NO-1MA;AP7 - AUSOL I;RV-TUNEL;177+145;MA;SendValuesToVentilation.groovy
3;MM-NO-1CA;MM-NO-1CA;MM-NO-1CA;AP7 - AUSOL I;MM-TUNEL;166+587;CA;SendValuesToVentilation.groovy
4;MM-NO-2CA;MM-NO-2CA;MM-NO-2CA;AP7 - AUSOL I;MM-TUNEL;166+387;CA;SendValuesToVentilation.groovy
5;MM-NO-3CA;MM-NO-3CA;MM-NO-3CA;AP7 - AUSOL I;MM-TUNEL;166+217;CA;SendValuesToVentilation.groovy
6;MM-NO-1MA;MM-NO-1MA;MM-NO-1MA;AP7 - AUSOL I;MM-TUNEL;166+023;MA;SendValuesToVentilation.groovy
7;MM-NO-2MA;MM-NO-2MA;MM-NO-2MA;AP7 - AUSOL I;MM-TUNEL;166+043;MA;SendValuesToVentilation.groovy
8;MM-NO-3MA;MM-NO-3MA;MM-NO-3MA;AP7 - AUSOL I;MM-TUNEL;166+006;MA;SendValuesToVentilation.groovy
9;LQ-NO-1CA;LQ-NO-1CA;LQ-NO-1CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy
10;LQ-NO-2CA;LQ-NO-2CA;LQ-NO-2CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy
11;LQ-NO-3CA;LQ-NO-3CA;LQ-NO-3CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy
12;LQ-NO-4CA;LQ-NO-4CA;LQ-NO-4CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy
13;LQ-NO-5CA;LQ-NO-5CA;LQ-NO-5CA;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;SendValuesToVentilation.groovy
14;LQ-NO-1MA;LQ-NO-1MA;LQ-NO-1MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy
15;LQ-NO-2MA;LQ-NO-2MA;LQ-NO-2MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy
16;LQ-NO-3MA;LQ-NO-3MA;LQ-NO-3MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy
17;LQ-NO-4MA;LQ-NO-4MA;LQ-NO-4MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToVentilation.groovy
18;CH-NO-1MA;CH-NO-1MA;CH-NO-1MA;AP7 - AUSOL I;CH-TUNEL;13+815;MA;SendValuesToVentilation.groovy
19;CH-NO-2MA;CH-NO-2MA;CH-NO-2MA;AP7 - AUSOL I;CH-TUNEL;13+815;MA;SendValuesToVentilation.groovy
20;CH-NO-3MA;CH-NO-3MA;CH-NO-3MA;AP7 - AUSOL I;CH-TUNEL;13+815;MA;SendValuesToVentilation.groovy
21;CH-NO-1CA;CH-NO-1CA;CH-NO-1CA;AP7 - AUSOL I;CH-TUNEL;14+395;CA;SendValuesToVentilation.groovy
22;CH-NO-2CA;CH-NO-2CA;CH-NO-2CA;AP7 - AUSOL I;CH-TUNEL;14+395;CA;SendValuesToVentilation.groovy
23;CH-NO-3CA;CH-NO-3CA;CH-NO-3CA;AP7 - AUSOL I;CH-TUNEL;14+395;CA;SendValuesToVentilation.groovy
24;CAS-NO-1MA;CAS-NO-1MA;CAS-NO-1MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToVentilation.groovy
25;CAS-NO-2MA;CAS-NO-2MA;CAS-NO-2MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToVentilation.groovy
26;CAS-NO-3MA;CAS-NO-3MA;CAS-NO-3MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToVentilation.groovy
27;CAS-NO-4MA;CAS-NO-4MA;CAS-NO-4MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToVentilation.groovy
28;CAS-NO-5MA;CAS-NO-5MA;CAS-NO-5MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToVentilation.groovy
29;CAS-NO-1CA;CAS-NO-1CA;CAS-NO-1CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToVentilation.groovy
30;CAS-NO-2CA;CAS-NO-2CA;CAS-NO-2CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToVentilation.groovy
31;CAS-NO-3CA;CAS-NO-3CA;CAS-NO-3CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToVentilation.groovy
32;CAS-NO-4CA;CAS-NO-4CA;CAS-NO-4CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToVentilation.groovy
33;CAS-NO-5CA;CAS-NO-5CA;CAS-NO-5CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToVentilation.groovy
34;COR-NO-1CA;COR-NO-1CA;COR-NO-1CA;AP7 - AUSOL I;COR-TUNEL;199+593;CA;SendValuesToVentilation.groovy
35;COR-NO-2CA;COR-NO-2CA;COR-NO-2CA;AP7 - AUSOL I;COR-TUNEL;199+593;CA;SendValuesToVentilation.groovy
36;COR-NO-3CA;COR-NO-3CA;COR-NO-3CA;AP7 - AUSOL I;COR-TUNEL;199+393;CA;SendValuesToVentilation.groovy
37;COR-NO-4CA;COR-NO-4CA;COR-NO-4CA;AP7 - AUSOL I;COR-TUNEL;199+393;CA;SendValuesToVentilation.groovy
38;COR-NO-1MA;COR-NO-1MA;COR-NO-1MA;AP7 - AUSOL I;COR-TUNEL;199+223;MA;SendValuesToVentilation.groovy
39;COR-NO-2MA;COR-NO-2MA;COR-NO-2MA;AP7 - AUSOL I;COR-TUNEL;199+223;MA;SendValuesToVentilation.groovy
40;COR-NO-3MA;COR-NO-3MA;COR-NO-3MA;AP7 - AUSOL I;COR-TUNEL;199+463;MA;SendValuesToVentilation.groovy
41;COR-NO-4MA;COR-NO-4MA;COR-NO-4MA;AP7 - AUSOL I;COR-TUNEL;199+463;MA;SendValuesToVentilation.groovy
42;STM2-NO-1CA;STM2-NO-1CA;STM2-NO-1CA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;SendValuesToVentilation.groovy
43;STM2-NO-2CA;STM2-NO-2CA;STM2-NO-2CA;AP7 - AUSOL II;STMII-TUNEL;150+497;CA;SendValuesToVentilation.groovy
44;STM2-NO-3CA;STM2-NO-3CA;STM2-NO-3CA;AP7 - AUSOL II;STMII-TUNEL;150+245;CA;SendValuesToVentilation.groovy
45;STM2-NO-1MA;STM2-NO-1MA;STM2-NO-1MA;AP7 - AUSOL II;STMII-TUNEL;150+243;MA;SendValuesToVentilation.groovy
46;STM2-NO-2MA;STM2-NO-2MA;STM2-NO-2MA;AP7 - AUSOL II;STMII-TUNEL;150+373;MA;SendValuesToVentilation.groovy
47;STM2-NO-3MA;STM2-NO-3MA;STM2-NO-3MA;AP7 - AUSOL II;STMII-TUNEL;150+796;MA;SendValuesToVentilation.groovy
48;NG-NO-1CA;NG-NO-1CA;NG-NO-1CA;AP7 - AUSOL I;NG-TUNEL;177+712;CA;SendValuesToVentilation.groovy
49;NG-NO-2CA;NG-NO-2CA;NG-NO-2CA;AP7 - AUSOL I;NG-TUNEL;177+612;CA;SendValuesToVentilation.groovy
50;NG-NO-3CA;NG-NO-3CA;NG-NO-3CA;AP7 - AUSOL I;NG-TUNEL;177+412;CA;SendValuesToVentilation.groovy
51;NG-NO-1MA;NG-NO-1MA;NG-NO-1MA;AP7 - AUSOL I;NG-TUNEL;177+175;MA;SendValuesToVentilation.groovy
52;NG-NO-2MA;NG-NO-2MA;NG-NO-2MA;AP7 - AUSOL I;NG-TUNEL;177+585;MA;SendValuesToVentilation.groovy
53;NG-NO-3MA;NG-NO-3MA;NG-NO-3MA;AP7 - AUSOL I;NG-TUNEL;177+685;MA;SendValuesToVentilation.groovy
