item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
1;2;RV-PLCSI-1CA;RV-PLCSI-1CA;RV-PLCSI-1CA;AP7 - AUSOL I;RV-TUNEL;177+102;CA
2;2;RV-PLCSI-1MA;RV-PLCSI-1MA;RV-PLCSI-1MA;AP7 - AUSOL I;RV-TUNEL;177+12;MA
3;2;RV-PLCL-1;RV-PLCL-1;RV-PLCL-1;AP7 - AUSOL I;RV-TUNEL;177+307;CA
4;2;RV-PLCE-1CA;RV-PLCE-1CA;RV-PLCE-1CA;AP7 - AUSOL I;RV-TUNEL;176+995;MA
5;2;RV-PLC-CGBT;RV-PLC-CGBT;RV-PLC-CGBT;AP7 - AUSOL I;RV-TUNEL;176+995;MA
6;2;MM-PLCL-1;MM-PLCL-1;MM-PLCL-1;AP7 - AUSOL I;MM-TUNEL;165+612;CA
7;2;MM-PLC-CGBT;MM-PLC-CGBT;MM-PLC-CGBT;AP7 - AUSOL I;MM-TUNEL;165+612;CA
8;2;MM-PLCSI-1CA;MM-PLCSI-1CA;MM-PLCSI-1CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
9;2;MM-PLCSI-2CA;MM-PLCSI-2CA;MM-PLCSI-2CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
10;2;MM-PLCSI-3CA;MM-PLCSI-3CA;MM-PLCSI-3CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
11;2;MM-PLCG-CA;MM-PLCG-CA;MM-PLCG-CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
12;2;MM-PLCE-CA;MM-PLCE-CA;MM-PLCE-CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
13;2;MM-PLCSI-1MA;MM-PLCSI-1MA;MM-PLCSI-1MA;AP7 - AUSOL I;MM-TUNEL;167+313;MA
14;2;MM-PLCSI-2MA;MM-PLCSI-2MA;MM-PLCSI-2MA;AP7 - AUSOL I;MM-TUNEL;167+313;MA
15;2;MM-PLCSI-3MA;MM-PLCSI-3MA;MM-PLCSI-3MA;AP7 - AUSOL I;MM-TUNEL;167+313;MA
16;2;STMI-PLCSI-1CA;STMI-PLCSI-1CA;STMI-PLCSI-1CA;AP7 - AUSOL I;STMI-TUNEL;195+625;CA
17;2;STMI-PLCSI-1MA;STMI-PLCSI-1MA;STMI-PLCSI-1MA;AP7 - AUSOL I;STMI-TUNEL;195+625;MA
18;2;STMI-PLCE-1CA;STMI-PLCE-1CA;STMI-PLCE-1CA;AP7 - AUSOL I;STMI-TUNEL;195+545;CA
19;2;STMI-PLCL-1;STMI-PLCL-1;STMI-PLCL-1;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
20;2;STMI-PLC-CGBT;STMI-PLC-CGBT;STMI-PLC-CGBT;AP7 - AUSOL I;STMI-TUNEL;195+719;CA
21;2;COR-PLCL-BC;COR-PLCL-BC;COR-PLCL-BC;AP7 - AUSOL II;COR-TUNEL;152+000;CA
22;2;COR-PLC-CGBT-BC;COR-PLC-CGBT-BC;COR-PLC-CGBT-BC;AP7 - AUSOL II;COR-TUNEL;152+000;CA
23;2;COR-PLCL-BM;COR-PLCL-BM;COR-PLCL-BM;AP7 - AUSOL II;COR-TUNEL;151+225;MA
24;2;COR-PLC-CGBT-BM;COR-PLC-CGBT-BM;COR-PLC-CGBT-BM;AP7 - AUSOL II;COR-TUNEL;151+225;MA
25;2;COR-PLCSI-1CA;COR-PLCSI-1CA;COR-PLCSI-1CA;AP7 - AUSOL II;COR-TUNEL;152+000;CA
26;2;COR-PLCSI-2CA;COR-PLCSI-2CA;COR-PLCSI-2CA;AP7 - AUSOL II;COR-TUNEL;151+842;CA
27;2;COR-PLCSI-3CA;COR-PLCSI-3CA;COR-PLCSI-3CA;AP7 - AUSOL II;COR-TUNEL;151+764;CA
28;2;COR-PLCSI-4CA;COR-PLCSI-4CA;COR-PLCSI-4CA;AP7 - AUSOL II;COR-TUNEL;151+686;CA
29;2;COR-PLCG1-CA;COR-PLCG1-CA;COR-PLCG1-CA;AP7 - AUSOL II;COR-TUNEL;152+000;CA
30;2;COR-PLCG2-MA;COR-PLCG2-MA;COR-PLCG2-MA;AP7 - AUSOL II;COR-TUNEL;152+000;CA
31;2;COR-PLCG3-CA;COR-PLCG3-CA;COR-PLCG3-CA;AP7 - AUSOL II;COR-TUNEL;152+000;CA
32;2;COR-PLCSI-1MA;COR-PLCSI-1MA;COR-PLCSI-1MA;AP7 - AUSOL II;COR-TUNEL;151+225;MA
33;2;COR-PLCSI-2MA;COR-PLCSI-2MA;COR-PLCSI-2MA;AP7 - AUSOL II;COR-TUNEL;151+225;MA
34;2;COR-PLCSI-3MA;COR-PLCSI-3MA;COR-PLCSI-3MA;AP7 - AUSOL II;COR-TUNEL;151+305;MA
