item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-DAI;RV-DAI;RV-DAI;AP7 - AUSOL I;RV-TUNEL;177+317;CA
2;MM-DAI;MM-DAI;MM-DAI;AP7 - AUSOL I;MM-TUNEL;177+317;CA
3;STMI-DAI-1CA;STMI-DAI-1CA;STMI-DAI-1CA;AP7 - AUSOL I;MM-TUNEL;195+719;CA
4;CAS-DAI-1CA;CAS-DAI-1CA;CAS-DAI-1CA;AP7 - AUSOL I;CAS-TUNEL;195+719;CA
5;CH-DAI;CH-DAI;CH-DAI;AP7 - AUSOL I;CH-TUNEL;199+793;CA
6;COR-DAI;COR-DAI;COR-DAI;AP7 - AUSOL II;COR-TUNEL;152+000;CA
7;EST-DAI;EST-DAI;EST-DAI;AP7 - AUSOL II;EST-TUNEL;177+229;CA
8;LQ-DAI;LQ-DAI;LQ-DAI;AP7 - AUSOL I;LQ-TUNEL;173+626;CA
9;NG-DAI-1;NG-DAI-1;NG-DAI-1;AP7 - AUSOL I;NG-TUNEL;177+712;CA
10;STM2-DAI-1;STM2-DAI-1;STM2-DAI-1;AP7 - AUSOL II;STMII-TUNEL;150+787;CA
