item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
1;1;RV-SMF-AA-1CA;RV-SMF-AA-1CA;RV-SMF-AA-1CA;AP7 - AUSOL I;RV-TUNEL;177+980;CA
2;1;RV-SMF-AA-1MA;RV-SMF-AA-1MA;RV-SMF-AA-1MA;AP7 - AUSOL I;RV-TUNEL;176+641;MA
3;2;RV-SMF-RR-1CA;RV-SMF-RR-1CA;RV-SMF-RR-1CA;AP7 - AUSOL I;RV-TUNEL;177+315;CA
4;2;RV-SMF-RR-1MA;RV-SMF-RR-1MA;RV-SMF-RR-1MA;AP7 - AUSOL I;RV-TUNEL;176+979;MA
5;1;MM-SMF-AA-1CA;MM-SMF-AA-1CA;MM-SMF-AA-1CA;AP7 - AUSOL I;MM-TUNEL;165+612;CA
6;1;MM-SMF-AA-1MA;MM-SMF-AA-1MA;MM-SMF-AA-1MA;AP7 - AUSOL I;MM-TUNEL;167+313;MA
7;2;MM-SMF-RR-1CA;MM-SMF-RR-1CA;MM-SMF-RR-1CA;AP7 - AUSOL I;MM-TUNEL;166+105;CA
8;2;MM-SMF-RR-1MA;MM-SMF-RR-1MA;MM-SMF-RR-1MA;AP7 - AUSOL I;MM-TUNEL;166+717;MA
9;1;LQ-SMF-AA-1MA;LQ-SMF-AA-1MA;LQ-SMF-AA-1MA;AP7 - AUSOL I;LQ-TUNEL;172+655;MA
10;1;LQ-SMF-AA-2MA;LQ-SMF-AA-2MA;LQ-SMF-AA-2MA;AP7 - AUSOL I;LQ-TUNEL;172+655;MA
11;1;LQ-SMF-AA-1CA;LQ-SMF-AA-1CA;LQ-SMF-AA-1CA;AP7 - AUSOL I;LQ-TUNEL;173+490;CA
12;2;LQ-SMF-RR-1MA;LQ-SMF-RR-1MA;LQ-SMF-RR-1MA;AP7 - AUSOL I;LQ-TUNEL;172+655;MA
13;2;LQ-SMF-RR-1CA;LQ-SMF-RR-1CA;LQ-SMF-RR-1CA;AP7 - AUSOL I;LQ-TUNEL;173+490;CA
14;1;CH-SMF-AA-1MA;CH-SMF-AA-1MA;CH-SMF-AA-1MA;AP7 - AUSOL I;CH-TUNEL;199+223;MA
16;1;CH-SMF-AA-1CA;CH-SMF-AA-1CA;CH-SMF-AA-1CA;AP7 - AUSOL I;CH-TUNEL;199+793;CA
17;2;CH-SMF-RR-1MA;CH-SMF-RR-1MA;CH-SMF-RR-1MA;AP7 - AUSOL I;CH-TUNEL;199+223;MA
18;2;CH-SMF-RR-1CA;CH-SMF-RR-1CA;CH-SMF-RR-1CA;AP7 - AUSOL I;CH-TUNEL;199+793;CA
19;1;CAS-SMF-AA-CA;CAS-SMF-AA-CA;CAS-SMF-AA-CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA
20;1;CAS-SMF-AA-MA;CAS-SMF-AA-MA;CAS-SMF-AA-MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA
21;1;COR-SMF-AA-1CA;COR-SMF-AA-1CA;COR-SMF-AA-1CA;AP7 - AUSOL II;COR-TUNEL;151+355;CA
22;1;COR-SMF-AA-1MA;COR-SMF-AA-1MA;COR-SMF-AA-1MA;AP7 - AUSOL II;COR-TUNEL;151+953;MA
23;1;STM2-SMF-AA-1MA;STM2-SMF-AA-1MA;STM2-SMF-AA-1MA;AP7 - AUSOL II;STMII-TUNEL;150+243;MA
24;1;STM2-SMF-AA-1CA;STM2-SMF-AA-1CA;STM2-SMF-AA-1CA;AP7 - AUSOL II;STMII-TUNEL;150+787;CA
25;1;NG-SMF-AA-1MA;NG-SMF-AA-1MA;NG-SMF-AA-1MA;AP7 - AUSOL I;NG-TUNEL;177+175;MA
26;1;NG-SMF-AA-1CA;NG-SMF-AA-1CA;NG-SMF-AA-1CA;AP7 - AUSOL I;NG-TUNEL;177+712;CA
