item;alias;description;sessionuid;road;stretchs;pk;sentido
1;RV-MAG-ITS2;I.MAG.IV 40A;RV-MAG-ITS2;AP7 - AUSOL I;RV-TUNEL;177+317;CA
2;RV-MAGDIF-BF27-PMV;I.MAG.IV 16A, Curvas B, I.DIF.IV 25A, 30 mA;RV-MAGDIF-BF27-PMV;AP7 - AUSOL I;RV-TUNEL;177+317;CA
3;RV-MAGDIF-BF28;I.MAG.IV 16A, Curvas B,C, I.DIF.IV 25A, 30 mA;RV-MAGDIF-BF28;AP7 - AUSOL I;RV-TUNEL;177+317;CA
4;RV-MAGDIF-BF30-BARR;I.MAG.II 16A, Curvas B, I.DIF.II 25A, 30 mA;RV-MAGDIF-BF30-BARR;AP7 - AUSOL I;RV-TUNEL;177+317;CA
5;RV-MAGDIF-BF31-SEM;I.MAG.II 16A, Curvas B, I.DIF.II 25A, 30 mA;RV-MAGDIF-BF31-SEM;AP7 - AUSOL I;RV-TUNEL;177+317;CA
6;RV-MAGDIF-BF32-SOS;I.MAG.II 16A, Curvas B, I.DIF.II 25A, 30 mA;RV-MAGDIF-BF32-SOS;AP7 - AUSOL I;RV-TUNEL;177+317;CA
7;RV-MAGDIF-A3;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A3;AP7 - AUSOL I;RV-TUNEL;177+317;CA
8;RV-MAGDIF-A4;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A4;AP7 - AUSOL I;RV-TUNEL;177+317;CA
9;RV-MAGDIF-A5;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A5;AP7 - AUSOL I;RV-TUNEL;177+317;CA
10;RV-MAGDIF-A6;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A6;AP7 - AUSOL I;RV-TUNEL;177+317;CA
11;RV-MAGDIF-A10;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A10;AP7 - AUSOL I;RV-TUNEL;177+317;CA
12;RV-MAGDIF-A11;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A11;AP7 - AUSOL I;RV-TUNEL;177+317;CA
13;RV-MAGDIF-A12;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A12;AP7 - AUSOL I;RV-TUNEL;177+317;CA
14;RV-MAGDIF-A13;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A13;AP7 - AUSOL I;RV-TUNEL;177+317;CA
15;RV-MAGDIF-A15-SC;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A15-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA
16;RV-MAGDIF-A17-SM;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A17-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA
17;RV-MAGDIF-A16-SC;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A16-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA
18;RV-MAGDIF-A18-SM;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-A18-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA
19;RV-MAGDIF-AA1-SM;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-AA1-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA
20;RV-MAGDIF-AA2-SM;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-AA2-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA
21;RV-MAGDIF-AA8-SC;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-AA8-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA
22;RV-MAGDIF-AA9-SC;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-AA9-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA
23;RV-MAGDIF-AE7-SM;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-AE7-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA
24;RV-MAGDIF-AE14-SC;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-AE14-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA
25;RV-MAGDIF-AE15-SC;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-AE15-SC;AP7 - AUSOL I;RV-TUNEL;177+317;CA
26;RV-MAGDIF-AE16-SM;I.MAG.IV 16 A, Curvas B,C,D;RV-MAGDIF-AE16-SM;AP7 - AUSOL I;RV-TUNEL;177+317;CA
29;RV-MAGDIF-BF10;I.MAG.II 16A, Curvas B, I.DIF.II 25A, 30 mA, AC;RV-MAGDIF-BF10;AP7 - AUSOL I;RV-TUNEL;177+317;CA
30;RV-MAGDIF-BF11;I.MAG.II 16A, Curvas B, I.DIF.II 25A, 300 mA, AC;RV-MAGDIF-BF11;AP7 - AUSOL I;RV-TUNEL;177+317;CA
32;RV-MAGDIF-BF13;I.MAG.II 16A, Curvas B, I.DIF.II 25A, 300 mA, AC;RV-MAGDIF-BF13;AP7 - AUSOL I;RV-TUNEL;177+317;CA
33;RV-MAGDIF-BF14;I.MAG.II 16A, Curvas B, I.DIF.II 25A, 300 mA, AC;RV-MAGDIF-BF14;AP7 - AUSOL I;RV-TUNEL;177+317;CA
34;RV-MAGDIF-BF15;I.MAG.II 16A, Curvas B, I.DIF.II 25A, 300 mA, AC;RV-MAGDIF-BF15;AP7 - AUSOL I;RV-TUNEL;177+317;CA
35;RV-MAGDIF-BF19;I.MAG.II 16A, Curvas B,C, I.DIF.II 25A, 300 mA, AC;RV-MAGDIF-BF19;AP7 - AUSOL I;RV-TUNEL;177+317;CA
36;RV-MAGDIF-BF20;I.MAG.II 16A, Curvas B, I.DIF.II 25A, 300 mA, AC;RV-MAGDIF-BF20;AP7 - AUSOL I;RV-TUNEL;177+317;CA
37;RV-MAGDIF-BF21;I.MAG.II 16A, Curvas B,C, I.DIF.II 25A, 30 mA, AC;RV-MAGDIF-BF21;AP7 - AUSOL I;RV-TUNEL;177+317;CA
38;RV-MAGDIF-BF22;I.MAG.II 16A, Curvas B,C, I.DIF.II 25A, 30 mA, AC;RV-MAGDIF-BF22;AP7 - AUSOL I;RV-TUNEL;177+317;CA
39;RV-MAGDIF-BF23;I.MAG.II 16A, Curvas B, I.DIF.II 25A, 30 mA, AC;RV-MAGDIF-BF23;AP7 - AUSOL I;RV-TUNEL;177+317;CA
40;RV-MAGDIF-BF26;I.MAG.IV 16A, Curvas B,C, I.DIF.IV 25A, 30 mA;RV-MAGDIF-BF26;AP7 - AUSOL I;RV-TUNEL;177+317;CA
41;RV-MAG-ITS1;I.MAG.IV 40A;RV-MAG-ITS1;AP7 - AUSOL I;RV-TUNEL;177+317;CA
42;RV-VENT-INT-VF1-CA;I.Autom.III, In=100 A, Ireg=86 A, Rele y transf. Dif:200 mA,AC, Curvas B;RV-VENT-INT-VF1-CA;AP7 - AUSOL I;RV-TUNEL;177+317;CA
43;RV-VENT-INT-VF2-CA;I.Autom.III, In=100 A, Ireg=86 A, Rele y transf. Dif:200 mA,AC, Curvas B;RV-VENT-INT-VF2-CA;AP7 - AUSOL I;RV-TUNEL;177+317;CA
44;RV-VENT-INT-VF3-CA;I.Autom.III, In=100 A, Ireg=86 A, Rele y transf. Dif:200 mA,AC, Curvas B;RV-VENT-INT-VF3-CA;AP7 - AUSOL I;RV-TUNEL;177+317;CA
45;RV-VENT-INT-VF4-CA;I.Autom.III, In=100 A, Ireg=86 A, Rele y transf. Dif:200 mA,AC, Curvas B;RV-VENT-INT-VF4-CA;AP7 - AUSOL I;RV-TUNEL;177+317;CA
46;RV-VENT-INT-VF1-MA;I.Autom.III, In=100 A, Ireg=86 A, Rele y transf. Dif:200 mA,AC, Curvas B;RV-VENT-INT-VF1-MA;AP7 - AUSOL I;RV-TUNEL;177+317;CA
