device_name;session_uid;host;url_publisher;port(i);read_permission;write_permission;offset_corriente_fase_a(i);offset_corriente_fase_b(i);offset_corriente_fase_c(i);offset_corriente_fase_neutro(i);offset_corriente_fase_trifasica(i);offset_tension_fase_a(i);offset_tension_fase_b(i);offset_tension_fase_c(i);offset_tension_fase_trifasica(i);offset_tension_fase_a_b(i);offset_tension_fase_b_c(i);offset_tension_fase_c_a(i);offset_tension_promedio_fase_neutro(i);offset_potencia_activa_fase_a(i);offset_potencia_activa_fase_b(i);offset_potencia_activa_fase_c(i);offset_potencia_activa_total(i);offset_potencia_reactiva_fase_a(i);offset_potencia_reactiva_fase_b(i);offset_potencia_reactiva_fase_c(i);offset_potencia_reactiva_total(i);offset_potencia_aparente_fase_a(i);offset_potencia_aparente_fase_b(i);offset_potencia_aparente_fase_c(i);offset_potencia_aparente_total(i);offset_factor_de_potencia_fase_a(i);offset_factor_de_potencia_fase_b(i);offset_factor_de_potencia_fase_c(i);offset_factor_de_potencia_trifasico(i);offset_frecuencia(i);offset_energia_activa_entregada(i);offset_energia_activa_recibida(i);offset_energia_activa_entregada+recibida(i);offset_energia_activa_entregada-recibida(i);offset_energia_reactiva_entregada(i);offset_energia_reactiva_recibida(i);offset_energia_reactiva_entregada+recibida(i);offset_factor_de_potencia_fase_a(i);offset_factor_de_potencia_fase_b(i);offset_factor_de_potencia_fase_c(i);offset_factor_de_potencia_trifasico(i);offset_frecuencia(i);offset_energia_activa_entregada(i);offset_energia_activa_recibida(i);offset_energia_activa_entregada+recibida(i);offset_energia_activa_entregada-recibida(i);offset_energia_reactiva_entregada(i);offset_energia_reactiva_recibida(i);offset_energia_reactiva_entregada+recibida(i);offset_energia_reactiva_entregada-recibida(i);offset_energia_aparente_entregada(i);offset_energia_aparente_recibida(i);offset_energia_aparente_entregada+recibida(i);offset_energia_aparente_entregada-recibida(i);offset_ultima_demanda(i);offset_demanda_actual(i);offset_demanda_prevista(i);offset_demanda_maxima(i)
RV-ARED-1;RV-ARED-1;192.168.11.21;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;;;2999;3001;3003;3005;3009;3027;3029;3031;3033;3019;3021;3023;3035;3053;3055;3057;3059;3061;3063;3065;3067;3069;3071;3073;3075;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;2713;2715;2717;2719;2721;3763;3765;3767;3769
MM-ARED-1;MM-ARED-1;192.168.12.21;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;;;2999;3001;3003;3005;3009;3027;3029;3031;3033;3019;3021;3023;3035;3053;3055;3057;3059;3061;3063;3065;3067;3069;3071;3073;3075;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;2713;2715;2717;2719;2721;3763;3765;3767;3769
STMI-ARED-1;STMI-ARED-1;192.168.13.12;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;;;2999;3001;3003;3005;3009;3027;3029;3031;3033;3019;3021;3023;3035;3053;3055;3057;3059;3061;3063;3065;3067;3069;3071;3073;3075;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;2713;2715;2717;2719;2721;3763;3765;3767;3769
LQ-ARED-1;LQ-ARED-1;192.168.14.12;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;;;2999;3001;3003;3005;3009;3027;3029;3031;3033;3019;3021;3023;3035;3053;3055;3057;3059;3061;3063;3065;3067;3069;3071;3073;3075;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;2713;2715;2717;2719;2721;3763;3765;3767;3769
CH-ARED-1;CH-ARED-1;192.168.9.12;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;;;2999;3001;3003;3005;3009;3027;3029;3031;3033;3019;3021;3023;3035;3053;3055;3057;3059;3061;3063;3065;3067;3069;3071;3073;3075;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;2713;2715;2717;2719;2721;3763;3765;3767;3769
CAS-ARED-BM;CAS-ARED-BM;192.168.5.188;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;;;2999;3001;3003;3005;3009;3027;3029;3031;3033;3019;3021;3023;3035;3053;3055;3057;3059;3061;3063;3065;3067;3069;3071;3073;3075;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;2713;2715;2717;2719;2721;3763;3765;3767;3769
CAS-ARED-BC;CAS-ARED-BC;192.168.5.132;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;;;2999;3001;3003;3005;3009;3027;3029;3031;3033;3019;3021;3023;3035;3053;3055;3057;3059;3061;3063;3065;3067;3069;3071;3073;3075;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;2713;2715;2717;2719;2721;3763;3765;3767;3769
COR-ARED-BM;COR-ARED-BM;192.168.15.58;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;;;2999;3001;3003;3005;3009;3027;3029;3031;3033;3019;3021;3023;3035;3053;3055;3057;3059;3061;3063;3065;3067;3069;3071;3073;3075;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;2713;2715;2717;2719;2721;3763;3765;3767;3769
COR-ARED-BC;COR-ARED-BC;192.168.15.12;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;;;2999;3001;3003;3005;3009;3027;3029;3031;3033;3019;3021;3023;3035;3053;3055;3057;3059;3061;3063;3065;3067;3069;3071;3073;3075;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;2713;2715;2717;2719;2721;3763;3765;3767;3769
STM2-ARED-BC;STM2-ARED-BC;192.168.10.12;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;502;;;2999;3001;3003;3005;3009;3027;3029;3031;3033;3019;3021;3023;3035;3053;3055;3057;3059;3061;3063;3065;3067;3069;3071;3073;3075;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;3077;3079;3081;3083;3109;2699;2701;2703;2705;2707;2709;2711;2713;2715;2717;2719;2721;3763;3765;3767;3769
