device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_measure(i);offset_alarm(i);offset_alarm_fa(i);offset_commstatus(i)
RV-ANI-1CA;RV-ANI-1CA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16614;707;15500;107
RV-ANI-1MA;RV-ANI-1MA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16654;727;15501;127
MM-ANI-1CA;MM-ANI-1CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16606;703;15500;103
MM-ANI-2CA;MM-ANI-2CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16644;722;15502;122
MM-ANI-1MA;MM-ANI-1MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16670;735;15503;135
MM-ANI-2MA;MM-ANI-2MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16728;764;15505;164
LQ-ANI-1CA;LQ-ANI-1CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16720;760;15516;160
LQ-ANI-2CA;LQ-ANI-2CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16778;789;15530;189
LQ-ANI-3CA;LQ-ANI-3CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16810;955;15539;205
LQ-ANI-4CA;LQ-ANI-4CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16818;959;15540;209
LQ-ANI-1MA;LQ-ANI-1MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16620;710;15500;110
LQ-ANI-2MA;LQ-ANI-2MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16692;746;15510;146
LQ-ANI-3MA;LQ-ANI-3MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16712;756;15511;156
CH-ANE-1CA;CH-ANE-1CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16750;775;15604;175
CH-ANE-2CA;CH-ANE-2CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16752;776;15606;176
CH-ANE-1MA;CH-ANE-1MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16754;777;15607;177
CH-ANE-2MA;CH-ANE-2MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16756;778;15609;178
CAS-ANE-1MA;CAS-ANE-1MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16610;705;15532;105
CAS-ANE-2MA;CAS-ANE-2MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16622;711;15534;111
CAS-ANE-3MA;CAS-ANE-3MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16628;714;15535;114
CAS-ANE-1CA;CAS-ANE-1CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16652;726;15538;126
CAS-ANE-2CA;CAS-ANE-2CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16658;729;15539;129
CAS-ANE-3CA;CAS-ANE-3CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16668;734;15541;134
CAS-ANE-1CA;CAS-ANE-1CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16652;726;15538;126
CAS-ANE-2CA;CAS-ANE-2CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16658;729;15539;129
CAS-ANE-3CA;CAS-ANE-3CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16668;734;15541;134
COR-ANE-1MA;COR-ANE-1MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16606;703;15532;103
COR-ANE-2MA;COR-ANE-2MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16628;714;15534;114
COR-ANE-3MA;COR-ANE-3MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16698;749;15535;149
COR-ANE-1CA;COR-ANE-1CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16644;722;15536;122
COR-ANE-2CA;COR-ANE-2CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16660;730;15537;130
COR-ANE-3CA;COR-ANE-3CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16674;737;15539;137
STM2-ANE-1MA;STM2-ANE-1MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16728;764;15500;164
STM2-ANE-2MA;STM2-ANE-2MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16730;765;15514;165
STM2-ANE-1CA;STM2-ANE-1CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16732;766;15515;166
