device_name;session_uid;PLC_name;host;port(i);url_publisher;read_permission;write_permission;offset_bar_state(i);offset_bar_cmd(i);offset_alarm_fail(i);offset_bar_cmd_reset(i);PLC_name_reset;host_reset;port_reset(i)
RV-BAR-1CA;RV-BAR-1CA;RV-PLCL-1;192.168.11.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;RV-PLCL-1;192.168.11.10;502
RV-BAR-2CA;RV-BAR-2CA;RV-PLCL-1;192.168.11.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;RV-PLCL-1;192.168.11.10;502
RV-BAR-1MA;RV-BAR-1MA;RV-PLCE-1CA;192.168.11.29;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;RV-PLCE-1CA;192.168.11.29;502
RV-BAR-2MA;RV-BAR-2MA;RV-PLCE-1CA;192.168.11.29;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;RV-PLCE-1CA;192.168.11.29;502
MM-BAR-1CA;MM-BAR-1CA;MM-PLCE-CA;192.168.12.37;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;MM-PLCE-CA;192.168.12.37;502
MM-BAR-2CA;MM-BAR-2CA;MM-PLCE-CA;192.168.12.37;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;MM-PLCE-CA;192.168.12.37;502
MM-BAR-1MA;MM-BAR-1MA;MM-PLCL-1;192.168.12.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;MM-PLCL-1;192.168.12.10;502
MM-BAR-2MA;MM-BAR-2MA;MM-PLCL-1;192.168.12.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;MM-PLCL-1;192.168.12.10;502
STMI-BAR-1MA;STMI-BAR-1MA;STMI-PLCL-1;192.168.13.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;STMI-PLCL-1;192.168.13.10;502
STMI-BAR-2MA;STMI-BAR-2MA;STMI-PLCL-1;192.168.13.10;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;STMI-PLCL-1;192.168.13.10;502
STMI-BAR-1CA;STMI-BAR-1CA;STMI-PLCE-1CA;192.168.13.29;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12290;STMI-PLCL-1;192.168.13.10;502
STMI-BAR-2CA;STMI-BAR-2CA;STMI-PLCE-1CA;192.168.13.29;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12290;STMI-PLCL-1;192.168.13.10;502
LQ-BAR-1CA;LQ-BAR-1CA;LQ-PLC-1CA;192.168.14.23;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;LQ-PLC-1CA;192.168.14.23;502
LQ-BAR-2CA;LQ-BAR-2CA;LQ-PLC-1CA;192.168.14.23;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;259;12289;261;12289;LQ-PLC-1CA;192.168.14.23;502
LQ-BAR-1MA;LQ-BAR-1MA;LQ-PLC-1MA;192.168.14.42;502;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;258;12288;260;12288;LQ-PLC-1MA;192.168.14.42;502
