device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_commstatus(i)
STMI-DALI-DER-1MA;STMI-DALI-DER-1MA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;300
STMI-DALI-IZQ-1MA;STMI-DALI-IZQ-1MA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;302
STMI-DALI-DER-1CA;STMI-DALI-DER-1CA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;304
STMI-DALI-IZQ-1CA;STMI-DALI-IZQ-1CA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;306
MM-DALI-IZQ-3MA;MM-DALI-IZQ-3MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;300
MM-DALI-IZQ-1CA;MM-DALI-IZQ-1CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;302
MM-DALI-DER-1CA;MM-DALI-DER-1CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;304
MM-DALI-DER-2CA;MM-DALI-DER-2CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;306
MM-DALI-DER-3CA;MM-DALI-DER-3CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;308
MM-DALI-IZQ-2CA;MM-DALI-IZQ-2CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;310
MM-DALI-IZQ-2MA;MM-DALI-IZQ-2MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;312
MM-DALI-IZQ-3CA;MM-DALI-IZQ-3CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;314
MM-DALI-IZQ-1MA;MM-DALI-IZQ-1MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;316
MM-DALI-DER-1MA;MM-DALI-DER-1MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;318
MM-DALI-DER-2MA;MM-DALI-DER-2MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;320
MM-DALI-DER-3MA;MM-DALI-DER-3MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;322
RV-DALI-IZQ-2CA;RV-DALI-IZQ-2CA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;300
RV-DALI-IZQ-1MA;RV-DALI-IZQ-1MA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;302
RV-DALI-DER-1CA;RV-DALI-DER-1CA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;304
RV-DALI-DER-2CA;RV-DALI-DER-2CA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;306
