device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
RV-TVD-1CA;RV-TVD-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.15'
RV-TVD-1MA;RV-TVD-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.10'
MM-TVD-1CA;MM-TVD-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.20'
MM-TVD-1MA;MM-TVD-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.31'
MM-TV-1GA;MM-TV-1GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.29'
MM-TV-2GA;MM-TV-2GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.30'
STMI-TVD-1CA;STMI-TVD-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.43'
STMI-TVD-1MA;STMI-TVD-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.40'
LQ-TVD-1CA;LQ-TVD-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.80'
LQ-TVD-1MA;LQ-TVD-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.66'
CH-TVD-1CA;CH-TVD-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.80'
CH-TVD-1MA;CH-TVD-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.31'
CAS-TVD-1CA;CAS-TVD-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.90'
CAS-TVD-1MA;CAS-TVD-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.109'
COR-TVD-1CA;COR-TVD-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.143'
COR-TVD-1MA;COR-TVD-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.124'
STM2-TVD-1CA;STM2-TVD-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.162'
STM2-TVD-1MA;STM2-TVD-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.172'
EST-TVD-1CA;EST-TVD-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.159'
EST-TVD-1MA;EST-TVD-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.156'
NG-TVD-1CA;NG-TVD-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.180'
NG-TVD-1MA;NG-TVD-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.56.192'
LQ-TV-1GA;LQ-TV-1GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.78'
LQ-TV-2GA;LQ-TV-2GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.79'
CH-TV-1GA;CH-TV-1GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.55'
CH-TV-2GA;CH-TV-2GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.56'
CAS-TV-1GA;CAS-TV-1GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.105'
CAS-TV-2GA;CAS-TV-2GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.106'
CAS-TV-3GA;CAS-TV-3GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.107'
CAS-TV-4GA;CAS-TV-4GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.108'
COR-TV-1GA;COR-TV-1GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.137'
COR-TV-2GA;COR-TV-2GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.138'
COR-TV-3GA;COR-TV-3GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.139'
COR-TV-4GA;COR-TV-4GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.140'
COR-TV-5GA;COR-TV-5GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.141'
COR-TV-6GA;COR-TV-6GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.142'
STM2-TV-1GA;STM2-TV-1GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.170'
STM2-TV-2GA;STM2-TV-2GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.171'
NG-TV-1GA;NG-TV-1GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.190'
NG-TV-2GA;NG-TV-2GA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http:\/\/192.168.56.191'
