device_name;session_uid;detector_order;url_receiver;endpoint;url_publisher;url_put_command;receiver_name;ip_whitelist
RV-TV-1CA;RV-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.16';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.11.18\/api\/v1\/incidents\/incidentscada\/';RV-DAI;192.168.11.18
RV-TV-2CA;RV-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.17';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.11.18\/api\/v1\/incidents\/incidentscada\/';RV-DAI;192.168.11.18
RV-TV-3CA;RV-TV-3CA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.18';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.11.18\/api\/v1\/incidents\/incidentscada\/';RV-DAI;192.168.11.18
RV-TV-4CA;RV-TV-4CA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.19';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.11.18\/api\/v1\/incidents\/incidentscada\/';RV-DAI;192.168.11.18
RV-TV-1MA;RV-TV-1MA;4;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.11';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.11.18\/api\/v1\/incidents\/incidentscada\/';RV-DAI;192.168.11.18
RV-TV-2MA;RV-TV-2MA;5;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.12';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.11.18\/api\/v1\/incidents\/incidentscada\/';RV-DAI;192.168.11.18
RV-TV-3MA;RV-TV-3MA;6;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.13';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.11.18\/api\/v1\/incidents\/incidentscada\/';RV-DAI;192.168.11.18
RV-TV-4MA;RV-TV-4MA;7;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.14';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.11.18\/api\/v1\/incidents\/incidentscada\/';RV-DAI;192.168.11.18
MM-TV-1CA;MM-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.21';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-2CA;MM-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.22';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-3CA;MM-TV-3CA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.23';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-4CA;MM-TV-4CA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.24';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-5CA;MM-TV-5CA;4;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.25';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-6CA;MM-TV-6CA;5;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.26';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-7CA;MM-TV-7CA;6;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.27';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-8CA;MM-TV-8CA;7;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.28';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-1MA;MM-TV-1MA;8;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.32';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-2MA;MM-TV-2MA;9;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.33';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-3MA;MM-TV-3MA;10;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.34';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-4MA;MM-TV-4MA;11;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.35';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-5MA;MM-TV-5MA;12;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.36';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-6MA;MM-TV-6MA;13;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.37';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-7MA;MM-TV-7MA;14;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.38';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
MM-TV-8MA;MM-TV-8MA;15;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.39';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.12.18\/api\/v1\/incidents\/incidentscada\/';MM-DAI;192.168.12.18
STMI-TV-1CA;STMI-TV-1CA;0;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.44';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.13.18\/api\/v1\/incidents\/incidentscada\/';STMI-DAI;192.168.13.18
STMI-TV-2CA;STMI-TV-2CA;1;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.45';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.13.18\/api\/v1\/incidents\/incidentscada\/';STMI-DAI;192.168.13.18
STMI-TV-1MA;STMI-TV-1MA;2;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.41';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.13.18\/api\/v1\/incidents\/incidentscada\/';STMI-DAI;192.168.13.18
STMI-TV-2MA;STMI-TV-2MA;3;http:\/\/localhost:8080\/httpds;'http:\/\/192.168.56.42';http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;'http:\/\/192.168.13.18\/api\/v1\/incidents\/incidentscada\/';STMI-DAI;192.168.13.18
