device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_measure(i);offset_alarm(i);offset_alarm_fa(i);offset_commstatus(i)
RV-CO-1CA;RV-CO-1CA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16600;700;15500;100
RV-CO-1MA;RV-CO-1MA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16636;718;15501;118
MM-CO-1CA;MM-CO-1CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16600;700;15500;100
MM-CO-2CA;MM-CO-2CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16612;706;15501;106
MM-CO-3CA;MM-CO-3CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16638;719;15502;119
MM-CO-1MA;MM-CO-1MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16664;732;15503;132
MM-CO-2MA;MM-CO-2MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16708;754;15504;154
MM-CO-3MA;MM-CO-3MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16722;761;15505;161
LQ-CO-1CA;LQ-CO-1CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16714;757;15500;157
LQ-CO-2CA;LQ-CO-2CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16740;770;15509;170
LQ-CO-3CA;LQ-CO-3CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16772;786;15510;186
LQ-CO-4CA;LQ-CO-4CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16804;952;15515;202
LQ-CO-5CA;LQ-CO-5CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16812;956;15516;206
LQ-CO-1MA;LQ-CO-1MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16600;700;15521;100
LQ-CO-2MA;LQ-CO-2MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16678;739;15530;139
LQ-CO-3MA;LQ-CO-3MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16686;743;15539;143
LQ-CO-4MA;LQ-CO-4MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16706;753;15540;153
CH-CO-1CA;CH-CO-1CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16696;748;15604;148
CH-CO-2CA;CH-CO-2CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16702;751;15605;151
CH-CO-3CA;CH-CO-3CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16708;754;15606;154
CH-CO-1MA;CH-CO-1MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16714;757;15607;157
CH-CO-2MA;CH-CO-2MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16720;760;15608;160
CH-CO-3MA;CH-CO-3MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16726;763;15609;163
CAS-CO-1MA;CAS-CO-1MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16672;736;15533;136
CAS-CO-2MA;CAS-CO-2MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16674;737;15533;137
CAS-CO-3MA;CAS-CO-3MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16676;738;15534;138
CAS-CO-4MA;CAS-CO-4MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16678;739;15534;139
CAS-CO-5MA;CAS-CO-5MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16680;740;15534;140
CAS-CO-6MA;CAS-CO-6MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16682;741;15535;141
CAS-CO-7MA;CAS-CO-7MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16684;742;15535;142
CAS-CO-8MA;CAS-CO-8MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16686;743;15536;143
CAS-CO-9MA;CAS-CO-9MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16688;744;15536;144
CAS-CO-10MA;CAS-CO-10MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16690;745;15537;145
CAS-CO-11MA;CAS-CO-11MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16692;746;15537;146
CAS-CO-1CA;CAS-CO-1CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16694;747;15538;147
CAS-CO-2CA;CAS-CO-2CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16696;748;15538;148
