device_name;session_uid;url_publisher
RV-CITS-1;RV-CITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-CBT;RV-CBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-CGBT-1;RV-CGBT-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
RV-CPCI-1;RV-CPCI-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-CITS-1;MM-CITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-CGBT-1;MM-CGBT-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-CPCI-1;MM-CPCI-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-CITS-1;STMI-CITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-CGBT-1;STMI-CGBT-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-PCI-BC;CAS-PCI-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CGBT-BC;CAS-CGBT-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CITS-BC;CAS-CITS-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CGBT-BM;CAS-CGBT-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CITS-BM;CAS-CITS-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CGBT-1;CH-CGBT-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CITS-1;CH-CITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CPCI-1;CH-CPCI-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-PCI-BC;COR-PCI-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CGBT-BC;COR-CGBT-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CITS-BC;COR-CITS-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CITS-BM;COR-CITS-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CGBT-BM;COR-CGBT-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-CGBT-1;LQ-CGBT-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-CITS-1;LQ-CITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-PCI-1;LQ-PCI-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-CITS-1;EST-CITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-CGBT-1;EST-CGBT-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CITS-BC;STM2-CITS-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CGBT-BC;STM2-CGBT-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CITS-BM;NG-CITS-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CPCI-BM;NG-CPCI-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CGBT-BM;NG-CGBT-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CITS-BC;NG-CITS-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
MM-CBT;MM-CBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-CBT;STMI-CBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CBT;CAS-CBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CH-CBT;CH-CBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
COR-CBT;COR-CBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
LQ-CBT;LQ-CBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
EST-CBT;EST-CBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STM2-CBT;STM2-CBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
NG-CBT;NG-CBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
