device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_alarm_door_open(i);offset_temperature(i)
RV-CITS-1;RV-CITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;RV-PLCL-1;192.168.11.10;502;26;3
MM-CITS-1;MM-CITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-CTITS;192.168.12.10;502;20;1
CAS-CITS-BC;CAS-CITS-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-C;192.168.5.130;502;0;0
CAS-CITS-BM;CAS-CITS-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CT-M;192.168.5.186;502;0;0
CH-CITS-1;CH-CITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-PLCL-1;192.168.9.10;502;38;0
COR-CITS-BC;COR-CITS-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLCL-BC;192.168.15.10;502;0;0
COR-CITS-BM;COR-CITS-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-PLCL-BM;192.168.15.56;502;0;0
LQ-CITS-1;LQ-CITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-PLCL-1;192.168.14.10;502;50;0
EST-CGBT-1;EST-CGBT-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;63;0
STM2-CITS-BC;STM2-CITS-BC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLCL-BC;192.168.10.10;502;0;1
NG-CITS-BM;NG-CITS-BM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;NG-PLCL-BM;192.168.17.48;502;53;0
