device_name;session_uid;ip;port(i);url_publisher;read_permission;write_permission
RV-ERU;RV-ERU;192.168.0.151;28013;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;
MM-ERU;MM-ERU;192.168.0.151;28014;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;
STMI-ERU;STMI-ERU;192.168.0.151;28015;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;
LQ-ERU;LQ-ERU;192.168.0.151;28016;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;
CH-ERU;CH-ERU;192.168.0.151;28017;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;
CAS-ERU;CAS-ERU;192.168.0.151;28018;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;
COR-ERU;COR-ERU;192.168.0.151;28019;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;
EST-ERU;EST-ERU;192.168.0.151;28020;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;
STM2-ERU;STM2-ERU;192.168.0.151;28021;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;
NG-ERU;STM2-ERU;192.168.0.151;28022;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;
