device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_alarm_zone(i);offset_fiber_fault(i);offset_avg_temperature(i);offset_max_temperature(i);offset_min_temperature(i);offset_commstatus(i)
CAS-ZI-1CA;CAS-ZI-1CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1000;1015;1030;1030;1030;1200
CAS-ZI-2CA;CAS-ZI-2CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1001;1016;1031;1031;1031;1201
CAS-ZI-3CA;CAS-ZI-3CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1002;1017;1032;1032;1032;1202
CAS-ZI-4CA;CAS-ZI-4CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1003;1018;1033;1033;1033;1203
CAS-ZI-5CA;CAS-ZI-5CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1004;1019;1034;1034;1034;1204
CAS-ZI-6CA;CAS-ZI-6CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1005;1020;1035;1035;1035;1205
CAS-ZI-7CA;CAS-ZI-7CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1006;1021;1036;1036;1036;1206
CAS-ZI-8CA;CAS-ZI-8CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1007;1022;1037;1037;1037;1207
CAS-ZI-9CA;CAS-ZI-9CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1008;1023;1038;1038;1038;1208
CAS-ZI-10CA;CAS-ZI-10CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1009;1024;1039;1039;1039;1209
CAS-ZI-11CA;CAS-ZI-11CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1010;1025;1040;1040;1040;1210
CAS-ZI-12CA;CAS-ZI-12CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1011;1026;1041;1041;1041;1211
CAS-ZI-13CA;CAS-ZI-13CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1012;1027;1042;1042;1042;1212
CAS-ZI-14CA;CAS-ZI-14CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1013;1028;1043;1043;1043;1213
CAS-ZI-15CA;CAS-ZI-15CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1014;1029;1044;1044;1044;1214
CAS-ZI-15MA;CAS-ZI-15MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1045;1060;1075;1075;1075;1245
CAS-ZI-14MA;CAS-ZI-14MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1046;1061;1076;1076;1076;1246
CAS-ZI-13MA;CAS-ZI-13MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1047;1062;1077;1077;1077;1247
CAS-ZI-12MA;CAS-ZI-12MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1048;1063;1078;1078;1078;1248
CAS-ZI-11MA;CAS-ZI-11MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1049;1064;1079;1079;1079;1249
CAS-ZI-10MA;CAS-ZI-10MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1050;1065;1080;1080;1080;1250
CAS-ZI-9MA;CAS-ZI-9MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1051;1066;1081;1081;1081;1251
CAS-ZI-8MA;CAS-ZI-8MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1052;1067;1082;1082;1082;1252
CAS-ZI-7MA;CAS-ZI-7MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1053;1068;1083;1083;1083;1253
CAS-ZI-6MA;CAS-ZI-6MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1054;1069;1084;1084;1084;1254
CAS-ZI-5MA;CAS-ZI-5MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1055;1070;1085;1085;1085;1255
CAS-ZI-4MA;CAS-ZI-4MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1056;1071;1086;1086;1086;1256
CAS-ZI-3MA;CAS-ZI-3MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1057;1072;1087;1087;1087;1257
CAS-ZI-2MA;CAS-ZI-2MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1058;1073;1088;1088;1088;1258
CAS-ZI-1MA;CAS-ZI-1MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;monitor;1059;1074;1089;1089;1089;1259
