device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_measure(i);offset_commstatus(i)
RV-FOT-1CA;RV-FOT-1CA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16696;148
MM-FOT-1MA;MM-FOT-1MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16748;174
STMI-FOT-1CA;STMI-FOT-1CA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16600;100
LQ-FOT-1MA;LQ-FOT-1MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16840;220
CH-FOT-1CA;CH-FOT-1CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16760;180
CAS-FOT-1CA;CAS-FOT-1CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16724;162
CAS-FOT-1MA;CAS-FOT-1MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16726;163
COR-FOT-1CA;COR-FOT-1CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16690;145
COR-FOT-1MA;COR-FOT-1MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16692;146
STM2-FOT-1MA;STM2-FOT-1MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16736;168
EST-FOT-1CA;EST-FOT-1CA;EST-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16600;100
NG-FOT-1CA;NG-FOT-1CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;16758;179
