device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);read_permission;write_permission
CAS-MAGDIF-MAN-CSA-SAI-B;CAS-MAGDIF-MAN-CSA-SAI-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CGBT-BM;192.168.5.187;502;17;monitor;
CAS-MAGDIF-AA1-SC;CAS-MAGDIF-AA1-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CGBT-BM;192.168.5.187;502;18;monitor;
CAS-MAGDIF-AA2-SC;CAS-MAGDIF-AA2-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CGBT-BM;192.168.5.187;502;20;monitor;
CAS-MAGDIF-AA10-SM;CAS-MAGDIF-AA10-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CGBT-BM;192.168.5.187;502;22;monitor;
CAS-MAGDIF-AA11-SM;CAS-MAGDIF-AA11-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CGBT-BM;192.168.5.187;502;24;monitor;
CAS-MAGDIF-AE9-SM;CAS-MAGDIF-AE9-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CGBT-BM;192.168.5.187;502;26;monitor;
CAS-MAGDIF-AE12-SC;CAS-MAGDIF-AE12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CGBT-BM;192.168.5.187;502;28;monitor;
CAS-MAGDIF-A15-SC;CAS-MAGDIF-A15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CGBT-BM;192.168.5.187;502;34;monitor;
CAS-MAGDIF-A16-SM;CAS-MAGDIF-A16-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CGBT-BM;192.168.5.187;502;36;monitor;
CAS-MAGDIF-MAN-CSA-RED-B;CAS-MAGDIF-MAN-CSA-RED-B;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-PLC-CGBT-BM;192.168.5.187;502;1;monitor;
