device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);read_permission;write_permission
EST-INT-CGBT;EST-INT-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;46;monitor;
EST-INT-CSA-RED-CGBT;EST-INT-CSA-RED-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;47;monitor;
EST-MAGDIF-SER-AUX-GE-CGBT;EST-MAGDIF-SER-AUX-GE-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;51;monitor;
EST-CONT-CONM-RED-CGBT;EST-CONT-CONM-RED-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;52;monitor;
EST-MAGDIF-CS-BT-CGBT;EST-MAGDIF-CS-BT-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;54;monitor;
EST-CONT-CONM-GRUPO-CGBT;EST-CONT-CONM-GRUPO-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;53;monitor;
EST-INT-CS-SAI-CGBT;EST-INT-CS-SAI-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;55;monitor;
EST-MAGDIF-BAT-COND-CGBT;EST-MAGDIF-BAT-COND-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;56;monitor;
EST-MAGDIF-CS-BT;EST-MAGDIF-CS-BT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;58;monitor;
EST-MAG-A1-BT;EST-MAG-A1-BT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;59;monitor;
EST-MAG-E1-BT;EST-MAG-E1-BT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;60;monitor;
EST-MAG-F1-BT;EST-MAG-F1-BT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;61;monitor;
EST-MAG-F2-BT;EST-MAG-F2-BT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;62;monitor;
EST-INT-CS-SAI;EST-INT-CS-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;11;monitor;
EST-MAGDIF-CSA-SAI-CS-SAI;EST-MAGDIF-CSA-SAI-CS-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;12;monitor;
EST-MAGDIF-ITS-1-SAI;EST-MAGDIF-ITS-1-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;13;monitor;
EST-MAGDIF-CS-ITS-SAI;EST-MAGDIF-CS-ITS-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;14;monitor;
EST-MAGDIF-CS-ITS;EST-MAGDIF-CS-ITS;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;44;monitor;
EST-MAG-A1-ITS;EST-MAG-A1-ITS;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;45;monitor;
EST-MAG-E1-ITS;EST-MAG-E1-ITS;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;46;monitor;
EST-MAG-F1-ITS;EST-MAG-F1-ITS;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;47;monitor;
EST-MAG-F2-ITS;EST-MAG-F2-ITS;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;48;monitor;
EST-MAG-CSA-SAI;EST-MAG-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;16;monitor;
EST-MAGDIF-MAN-CSA-SAI;EST-MAGDIF-MAN-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;17;monitor;
EST-MAGDIF-AA1-SC;EST-MAGDIF-AA1-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;18;monitor;
EST-MAGDIF-AA2-SC;EST-MAGDIF-AA2-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;20;monitor;
EST-MAGDIF-AA6-SM;EST-MAGDIF-AA6-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;22;monitor;
EST-MAGDIF-AA5-SM;EST-MAGDIF-AA5-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;24;monitor;
EST-MAGDIF-AE9-SM;EST-MAGDIF-AE9-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;26;monitor;
EST-MAGDIF-AE10-SC;EST-MAGDIF-AE10-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;28;monitor;
EST-MAGDIF-A11-SC;EST-MAGDIF-A11-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;34;monitor;
EST-MAGDIF-A12-SC;EST-MAGDIF-A12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;36;monitor;
EST-MAGDIF-A13-SM;EST-MAGDIF-A13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;38;monitor;
EST-MAGDIF-A14-SM;EST-MAGDIF-A14-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;40;monitor;
EST-INT-CSA-RED;EST-INT-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;0;monitor;
EST-MAGDIF-MAN-CSA-RED;EST-MAGDIF-MAN-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;1;monitor;
EST-MAGDIF-A3-SC;EST-MAGDIF-A3-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;2;monitor;
EST-MAGDIF-A4-SC;EST-MAGDIF-A4-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;4;monitor;
EST-MAGDIF-A8-SM;EST-MAGDIF-A8-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;6;monitor;
EST-MAGDIF-A7-SM;EST-MAGDIF-A7-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;8;monitor;
EST-MAG-CS-ITS-1;EST-MAG-CS-ITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;15;monitor;
EST-MAGDIF-MAN-CS-ITS-1;EST-MAGDIF-MAN-CS-ITS-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;16;monitor;
EST-MAGDIF-BF2.1;EST-MAGDIF-BF2.1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;17;monitor;
EST-MAGDIF-BF2.2;EST-MAGDIF-BF2.2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;18;monitor;
EST-MAGDIF-BF3;EST-MAGDIF-BF3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;19;monitor;
EST-MAGDIF-BF5;EST-MAGDIF-BF5;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;20;monitor;
EST-MAGDIF-PMV-18;EST-MAGDIF-PMV-18;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;22;monitor;
EST-MAGDIF-PMV-22;EST-MAGDIF-PMV-22;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;23;monitor;
EST-MAGDIF-ABENGOA;EST-MAGDIF-ABENGOA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;24;monitor;
EST-MAGDIF-DET-LAZO;EST-MAGDIF-DET-LAZO;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;25;monitor;
EST-MAGDIF-BF8;EST-MAGDIF-BF8;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;27;monitor;
EST-CONT-BF8;EST-CONT-BF8;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;28;monitor;
EST-MAGDIF-BF9;EST-MAGDIF-BF9;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;29;monitor;
EST-CONT-BF9;EST-CONT-BF9;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;30;monitor;
EST-MAGDIF-BF11;EST-MAGDIF-BF11;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;31;monitor;
EST-MAGDIF-BF13;EST-MAGDIF-BF13;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;33;monitor;
EST-MAGDIF-BF14;EST-MAGDIF-BF14;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;34;monitor;
EST-MAGDIF-BF15;EST-MAGDIF-BF15;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;35;monitor;
EST-MAGDIF-BF17.1;EST-MAGDIF-BF17.1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;36;monitor;
EST-MAGDIF-BF17.2;EST-MAGDIF-BF17.2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;37;monitor;
EST-MAGDIF-BF17.3;EST-MAGDIF-BF17.3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;38;monitor;
EST-MAGDIF-BF18.1;EST-MAGDIF-BF18.1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;39;monitor;
EST-MAGDIF-BF18.2;EST-MAGDIF-BF18.2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;40;monitor;
EST-MAGDIF-BF18.3;EST-MAGDIF-BF18.3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;41;monitor;
EST-MAGDIF-BF20;EST-MAGDIF-BF20;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;42;monitor;
EST-MAGDIF-BF21;EST-MAGDIF-BF21;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CT-ITS;192.168.16.10;502;43;monitor;
EST-MAGDIF-CS05;EST-MAGDIF-CS05;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;EST-PLC-CGBT;192.168.16.11;502;57;monitor;
