device_name;session_uid;url_publisher;eru_name;offset_state(i);offset_state_cmd(i);offset_commstatus(i);read_permission;write_permission
CAS-CONT-A3-SM;CAS-CONT-A3-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15500;18000;800;;
CAS-CONT-A5-SM;CAS-CONT-A5-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15501;18001;801;;
CAS-CONT-A4-SM;CAS-CONT-A4-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15502;18002;802;;
CAS-CONT-A6-SM;CAS-CONT-A6-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15503;18003;803;;
CAS-CONT-AA10-SC;CAS-CONT-AA10-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15504;18006;804;;
CAS-CONT-AA11-SC;CAS-CONT-AA11-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15505;18007;805;;
CAS-CONT-AA1-SM;CAS-CONT-AA1-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15506;18004;806;;
CAS-CONT-AA2-SM;CAS-CONT-AA2-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15507;18005;807;;
CAS-CONT-AE14-SC;CAS-CONT-AE14-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15508;18010;808;;
CAS-CONT-AE15-SM;CAS-CONT-AE15-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15509;18011;809;;
CAS-CONT-AE9-SC;CAS-CONT-AE9-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15510;18008;810;;
CAS-CONT-AE12-SM;CAS-CONT-AE12-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15511;18009;811;;
CAS-CONT-A13-SC;CAS-CONT-A13-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15512;18012;812;;
CAS-CONT-A14-SM;CAS-CONT-A14-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15513;18013;813;;
CAS-CONT-A3-SC;CAS-CONT-A3-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15544;18014;844;;
CAS-CONT-A5-SC;CAS-CONT-A5-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15545;18015;845;;
CAS-CONT-A4-SC;CAS-CONT-A4-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15546;18016;846;;
CAS-CONT-A6-SC;CAS-CONT-A6-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15547;18017;847;;
CAS-CONT-AA1-SC;CAS-CONT-AA1-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15548;18018;848;;
CAS-CONT-AA2-SC;CAS-CONT-AA2-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15549;18019;849;;
CAS-CONT-AA10-SM;CAS-CONT-AA10-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15550;18020;850;;
CAS-CONT-AA11-SM;CAS-CONT-AA11-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15551;18021;851;;
CAS-CONT-AE9-SM;CAS-CONT-AE9-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15552;18022;852;;
CAS-CONT-AE12-SC;CAS-CONT-AE12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15553;18023;853;;
CAS-CONT-AE14-SM;CAS-CONT-AE14-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15554;18024;854;;
CAS-CONT-AE15-SC;CAS-CONT-AE15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15555;18025;855;;
CAS-CONT-A15-SC;CAS-CONT-A15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15556;18026;856;;
CAS-CONT-A16-SM;CAS-CONT-A16-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CAS-ERU;15557;18027;857;;
