device_name;session_uid;url_publisher;eru_name;offset_state(i);offset_state_cmd(i);offset_commstatus(i);read_permission;write_permission
CH-CONT-A3-SC;CH-CONT-A3-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15580;18000;880;;
CH-CONT-A4-SC;CH-CONT-A4-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15581;18001;881;;
CH-CONT-A6-SC;CH-CONT-A6-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15582;18002;882;;
CH-CONT-A5-SC;CH-CONT-A5-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15583;18003;883;;
CH-CONT-A7-SC;CH-CONT-A7-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15584;18004;884;;
CH-CONT-A8-SC;CH-CONT-A8-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15585;18005;885;;
CH-CONT-A14-SM;CH-CONT-A14-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15586;18006;886;;
CH-CONT-A16-SM;CH-CONT-A16-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15587;18007;887;;
CH-CONT-A18-SM;CH-CONT-A18-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15588;18008;888;;
CH-CONT-A11-SM;CH-CONT-A11-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15589;18009;889;;
CH-CONT-A13-SM;CH-CONT-A13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15590;18010;890;;
CH-CONT-A15-SM;CH-CONT-A15-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15591;18011;891;;
CH-CONT-AA1-SM;CH-CONT-AA1-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15592;18012;892;;
CH-CONT-AA2-SM;CH-CONT-AA2-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15593;18013;893;;
CH-CONT-AA12-SC;CH-CONT-AA12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15594;18014;894;;
CH-CONT-AA9-SC;CH-CONT-AA9-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15595;18015;895;;
CH-CONT-AE17-SM;CH-CONT-AE17-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15597;18016;897;;
CH-CONT-AE10-SC;CH-CONT-AE10-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15596;18017;896;;
CH-CONT-A19-SC;CH-CONT-A19-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15600;18020;900;;
CH-CONT-A20-SC;CH-CONT-A20-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15601;18021;901;;
CH-CONT-A21-SM;CH-CONT-A21-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15602;18022;902;;
CH-CONT-A22-SM;CH-CONT-A22-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;CH-ERU;15603;18023;903;;
