device_name;session_uid;url_publisher;eru_name;offset_state(i);offset_state_cmd(i);offset_commstatus(i);read_permission;write_permission
COR-CONT-A3-SM;COR-CONT-A3-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15500;18000;800;;
COR-CONT-A5-SM;COR-CONT-A5-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15501;18001;801;;
COR-CONT-A4-SM;COR-CONT-A4-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15502;18002;802;;
COR-CONT-A6-SM;COR-CONT-A6-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15503;18003;803;;
COR-CONT-AA12-SC;COR-CONT-AA12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15504;18004;804;;
COR-CONT-AA9-SC;COR-CONT-AA9-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15505;18005;805;;
COR-CONT-AA1-SM;COR-CONT-AA1-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15506;18006;806;;
COR-CONT-AA2-SM;COR-CONT-AA2-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15507;18007;807;;
COR-CONT-AE10-SM;COR-CONT-AE10-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15508;18008;808;;
COR-CONT-AE11-SC;COR-CONT-AE11-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15509;18009;809;;
COR-CONT-AE13-SM;COR-CONT-AE13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15510;18010;810;;
COR-CONT-AE14-SC;COR-CONT-AE14-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15511;18011;811;;
COR-CONT-A12-SC;COR-CONT-A12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15512;18012;812;;
COR-CONT-A13-SM;COR-CONT-A13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15513;18013;813;;
COR-CONT-A3-SC;COR-CONT-A3-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15544;18014;844;;
COR-CONT-A5-SC;COR-CONT-A5-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15545;18015;845;;
COR-CONT-A4-SC;COR-CONT-A4-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15546;18016;846;;
COR-CONT-A6-SC;COR-CONT-A6-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15547;18017;847;;
COR-CONT-AA1-SC;COR-CONT-AA1-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15548;18018;848;;
COR-CONT-AA2-SC;COR-CONT-AA2-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15549;18019;849;;
COR-CONT-AA12-SM;COR-CONT-AA12-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15550;18020;850;;
COR-CONT-AA9-SM;COR-CONT-AA9-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15551;18021;851;;
COR-CONT-AE10-SC;COR-CONT-AE10-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15552;18022;852;;
COR-CONT-AE11-SM;COR-CONT-AE11-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15553;18023;853;;
COR-CONT-AE13-SC;COR-CONT-AE13-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15554;18024;854;;
COR-CONT-AE14-SM;COR-CONT-AE14-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15555;18025;855;;
COR-CONT-A14-SC;COR-CONT-A14-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15556;18026;856;;
COR-CONT-A15-SM;COR-CONT-A15-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;COR-ERU;15557;18027;857;;
