device_name;session_uid;url_publisher;eru_name;offset_state(i);offset_state_cmd(i);offset_commstatus(i);read_permission;write_permission
LQ-CONT-AA1-SC;LQ-CONT-AA1-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15597;18000;897;;
LQ-CONT-AA15-SC;LQ-CONT-AA15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15598;18001;898;;
LQ-CONT-AA2-SC;LQ-CONT-AA2-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15599;18002;899;;
LQ-CONT-AA16-SC;LQ-CONT-AA16-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15600;18003;900;;
LQ-CONT-AA11-SM;LQ-CONT-AA11-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15601;18004;901;;
LQ-CONT-AA21-SM;LQ-CONT-AA21-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15602;18005;902;;
LQ-CONT-AA10-SM;LQ-CONT-AA10-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15603;18006;903;;
LQ-CONT-AA20-SM;LQ-CONT-AA20-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15604;18007;904;;
LQ-CONT-AE14-SM;LQ-CONT-AE14-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15605;18008;905;;
LQ-CONT-AE9-SC;LQ-CONT-AE9-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15606;18009;906;;
LQ-CONT-A29-SC;LQ-CONT-A29-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15609;18012;909;;
LQ-CONT-A30-SC;LQ-CONT-A30-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15610;18013;910;;
LQ-CONT-A31-SM;LQ-CONT-A31-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15611;18014;911;;
LQ-CONT-A32-SM;LQ-CONT-A32-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15612;18015;912;;
LQ-CONT-A3-SC;LQ-CONT-A3-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15613;18016;913;;
LQ-CONT-A5-SC;LQ-CONT-A5-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15614;18017;914;;
LQ-CONT-A4-SC;LQ-CONT-A4-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15615;18018;915;;
LQ-CONT-A6-SC;LQ-CONT-A6-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15616;18019;916;;
LQ-CONT-A13-SM;LQ-CONT-A13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15617;18020;917;;
LQ-CONT-A23-SM;LQ-CONT-A23-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15618;18021;918;;
LQ-CONT-A12-SM;LQ-CONT-A12-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15619;18022;919;;
LQ-CONT-A22-SM;LQ-CONT-A22-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15620;18023;920;;
LQ-CONT-A33-SM;LQ-CONT-A33-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15621;18024;921;;
LQ-CONT-A34-SM;LQ-CONT-A34-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15622;18025;922;;
LQ-CONT-A35-SM;LQ-CONT-A35-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15623;18026;923;;
LQ-CONT-A36-SM;LQ-CONT-A36-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;LQ-ERU;15624;18027;924;;
