device_name;session_uid;url_publisher;eru_name;offset_state(i);offset_state_cmd(i);offset_commstatus(i);read_permission;write_permission
MM-CONT-A9-SC;MM-CONT-A9-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15524;18000;824;;
MM-CONT-A11-SC;MM-CONT-A11-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15525;18001;825;;
MM-CONT-A12-SC;MM-CONT-A12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15526;18002;826;;
MM-CONT-A14-SC;MM-CONT-A14-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15527;18003;827;;
MM-CONT-A4-SM;MM-CONT-A4-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15528;18004;828;;
MM-CONT-A6-SM;MM-CONT-A6-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15529;18005;829;;
MM-CONT-A3-SM;MM-CONT-A3-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15530;18006;830;;
MM-CONT-A5-SM;MM-CONT-A5-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15531;18007;831;;
MM-CONT-RED-RV1;MM-CONT-RED-RV1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15532;18008;832;;
MM-CONT-RED-RV2;MM-CONT-RED-RV2;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15533;18009;833;;
MM-CONT-RED-RV3;MM-CONT-RED-RV3;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15534;18010;834;;
MM-CONT-AA7-SC;MM-CONT-AA7-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15535;18011;835;;
MM-CONT-AA10-SC;MM-CONT-AA10-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15536;18012;836;;
MM-CONT-AA2-SM;MM-CONT-AA2-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15537;18013;837;;
MM-CONT-AA1-SM;MM-CONT-AA1-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15538;18014;838;;
MM-CONT-AE13-SM;MM-CONT-AE13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15539;18015;839;;
MM-CONT-AE16-SC;MM-CONT-AE16-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15540;18016;840;;
MM-CONT-AE17-SC;MM-CONT-AE17-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15541;18017;841;;
MM-CONT-AE18-SM;MM-CONT-AE18-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15542;18018;842;;
MM-CONT-A17-SC;MM-CONT-A17-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15543;18019;843;;
MM-CONT-A18-SC;MM-CONT-A18-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15544;18020;844;;
MM-CONT-A19-SM;MM-CONT-A19-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15545;18021;845;;
MM-CONT-A20-SM;MM-CONT-A20-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;MM-ERU;15546;18022;846;;
