device_name;session_uid;url_publisher;PLC_name;host;port(i);offset_state(i);read_permission;write_permission
STM2-INT-CSA-RED;STM2-INT-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;0;monitor;
STM2-MAGDIF-MAN-CSA-RED;STM2-MAGDIF-MAN-CSA-RED;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;1;monitor;
STM2-MAGDIF-A9-SC;STM2-MAGDIF-A9-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;2;monitor;
STM2-MAGDIF-A11-SC;STM2-MAGDIF-A11-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;4;monitor;
STM2-MAGDIF-A10-SC;STM2-MAGDIF-A10-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;6;monitor;
STM2-MAGDIF-A12-SC;STM2-MAGDIF-A12-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;8;monitor;
STM2-MAGDIF-A4-SM;STM2-MAGDIF-A4-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;10;monitor;
STM2-MAGDIF-A6-SM;STM2-MAGDIF-A6-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;12;monitor;
STM2-MAGDIF-A3-SM;STM2-MAGDIF-A3-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;14;monitor;
STM2-MAGDIF-A5-SM;STM2-MAGDIF-A5-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;16;monitor;
STM2-INT-CSA-SAI;STM2-INT-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;24;monitor;
STM2-MAGDIF-MAN-CSA-SAI;STM2-MAGDIF-MAN-CSA-SAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;25;monitor;
STM2-MAGDIF-AA7-SC;STM2-MAGDIF-AA7-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;26;monitor;
STM2-MAGDIF-AA8-SC;STM2-MAGDIF-AA8-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;28;monitor;
STM2-MAGDIF-AA2-SM;STM2-MAGDIF-AA2-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;30;monitor;
STM2-MAGDIF-AA1-SM;STM2-MAGDIF-AA1-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;32;monitor;
STM2-MAGDIF-AE13-SM;STM2-MAGDIF-AE13-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;34;monitor;
STM2-MAGDIF-AE14-SC;STM2-MAGDIF-AE14-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;36;monitor;
STM2-MAGDIF-AE15-SC;STM2-MAGDIF-AE15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;38;monitor;
STM2-MAGDIF-AE16-SM;STM2-MAGDIF-AE16-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;40;monitor;
STM2-MAGDIF-A15-SC;STM2-MAGDIF-A15-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;42;monitor;
STM2-MAGDIF-A16-SC;STM2-MAGDIF-A16-SC;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;44;monitor;
STM2-MAGDIF-A17-SM;STM2-MAGDIF-A17-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;46;monitor;
STM2-MAGDIF-A18-SM;STM2-MAGDIF-A18-SM;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;STM2-PLC-CGBT-BC;192.168.10.11;502;48;monitor;
