device_name;session_uid;url_publisher;ip;port(i);read_permission;write_permission
RV-DAC-1;RV-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.11.13;28000;monitor;
MM-DAC-1;MM-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.13;28000;monitor;
STMI-DAC-1;STMI-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.13.15;28000;monitor;
COR-DAC-1;COR-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.15.15;28000;monitor;
LQ-DAC-1;LQ-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.15;28000;monitor;
CH-DAC-1;CH-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.9.15;28000;monitor;
STM2-DAC-1;STM2-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.10.15;28000;monitor;
EST-DAC-1;EST-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.16.15;28000;monitor;
NG-DAC-1;NG-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.17.53;28000;monitor;
CAS-DAC-1;CAS-DAC-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.5.135;28000;monitor;
