device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
RV-PLCSI-1CA;RV-PLCSI-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.11.35'
RV-PLCSI-1MA;RV-PLCSI-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.11.27'
RV-PLCL-1;RV-PLCL-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.11.10'
RV-PLC-CGBT;RV-PLC-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.11.29'
MM-PLCL-1;MM-PLCL-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.12.10'
MM-PLC-CGBT;MM-PLC-CGBT;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.12.54'
MM-PLCSI-1CA;MM-PLCSI-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.12.27'
MM-PLCSI-2CA;MM-PLCSI-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.12.30'
MM-PLCSI-3CA;MM-PLCSI-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.12.33'
MM-PLCG-CA;MM-PLCG-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.12.35'
MM-PLCE-CA;MM-PLCE-CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.12.37'
MM-PLCSI-1MA;MM-PLCSI-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.12.44'
MM-PLCSI-2MA;MM-PLCSI-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.12.47'
MM-PLCSI-3MA;MM-PLCSI-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;'http://192.168.12.50'
