device_name;session_uid;ip;port(i);read_permission;write_permission;url_publisher
STMI-PMV-24CA;STMI-PMV-24CA;192.168.13.25;9735;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
STMI-PMV-23MA;STMI-PMV-23MA;192.168.13.33;9735;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-PMV-15CA;CAS-PMV-15CA;192.168.5.153;4003;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-PMVI-1CA;CAS-PMVI-1CA;192.168.5.161;4000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-PMVI-2CA;CAS-PMVI-2CA;192.168.5.171;4000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-PMV-14MA;CAS-PMV-14MA;192.168.5.196;4003;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-PMVI-1MA;CAS-PMVI-1MA;192.168.5.204;4000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-PMVI-2MA;CAS-PMVI-2MA;192.168.5.215;4000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-AF-1CA;CAS-AF-1CA;192.168.5.157;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-AF-2CA;CAS-AF-2CA;192.168.5.156;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-AF-3CA;CAS-AF-3CA;192.168.5.167;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-AF-4CA;CAS-AF-4CA;192.168.5.166;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-AF-5CA;CAS-AF-5CA;192.168.5.178;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-AF-6CA;CAS-AF-6CA;192.168.5.177;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CLV-1CA;CAS-CLV-1CA;192.168.5.155;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CLV-2CA;CAS-CLV-2CA;192.168.5.154;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CLV-3CA;CAS-CLV-3CA;192.168.5.162;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CLV-4CA;CAS-CLV-4CA;192.168.5.172;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
CAS-CLV-5CA;CAS-CLV-5CA;192.168.5.176;5000;monitor;;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/
