device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_sem_state(i);offset_status(i);offset_commstatus(i)
RV-SMF-AA-1CA;RV-SMF-AA-1CA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25005;302;401
RV-SMF-AA-1MA;RV-SMF-AA-1MA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25008;305;404
MM-SMF-AA-1CA;MM-SMF-AA-1CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25005;302;401
MM-SMF-AA-1MA;MM-SMF-AA-1MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25008;305;404
LQ-SMF-AA-1MA;LQ-SMF-AA-1MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25008;305;404
LQ-SMF-AA-2MA;LQ-SMF-AA-2MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25008;305;404
LQ-SMF-AA-1CA;LQ-SMF-AA-1CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25005;302;401
CH-SMF-AA-1MA;CH-SMF-AA-1MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25008;305;404
CH-SMF-AA-2MA;CH-SMF-AA-2MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25008;305;404
CH-SMF-AA-1CA;CH-SMF-AA-1CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25005;302;401
CAS-SMF-AA-CA;CAS-SMF-AA-CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25008;404;404
CAS-SMF-AA-MA;CAS-SMF-AA-MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25013;409;409
COR-SMF-AA-1CA;COR-SMF-AA-1CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25007;403;403
COR-SMF-AA-1MA;COR-SMF-AA-1MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25011;407;407
STM2-SMF-AA-1CA;STM2-SMF-AA-1CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25007;403;403
STM2-SMF-AA-1MA;STM2-SMF-AA-1MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25005;401;401
NG-SMF-AA-1MA;NG-SMF-AA-1MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25006;402;402
NG-SMF-AA-1CA;NG-SMF-AA-1CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25011;407;407
