device_name;session_uid;eru_name;url_publisher;read_permission;write_permission;offset_sem_state(i);offset_status(i);offset_commstatus(i)
RV-SMF-RAV-1CA;RV-SMF-RAV-1CA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25004;304;400
RV-SMF-RAV-1MA;RV-SMF-RAV-1MA;RV-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25007;301;403
MM-SMF-RAV-1CA;MM-SMF-RAV-1CA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25004;304;400
MM-SMF-RAV-1MA;MM-SMF-RAV-1MA;MM-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25007;301;403
STMI-SMF-RAV-1CA;STMI-SMF-RAV-1CA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25004;301;400
STMI-SMF-RAV-1MA;STMI-SMF-RAV-1MA;STMI-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25005;304;401
LQ-SMF-RAV-1MA;LQ-SMF-RAV-1MA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25007;304;400
LQ-SMF-RAV-1CA;LQ-SMF-RAV-1CA;LQ-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25004;301;403
CH-SMF-RAV-1MA;CH-SMF-RAV-1MA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25007;304;400
CH-SMF-RAV-1CA;CH-SMF-RAV-1CA;CH-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25004;301;403
CAS-SMF-RAV-1CA;CAS-SMF-RAV-1CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25007;403;403
CAS-SMF-RAV-2CA;CAS-SMF-RAV-2CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25009;405;405
CAS-SMF-RAV-3CA;CAS-SMF-RAV-3CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25010;406;406
CAS-SMF-RAV-4CA;CAS-SMF-RAV-4CA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25011;407;407
CAS-SMF-RAV-1MA;CAS-SMF-RAV-1MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25012;408;408
CAS-SMF-RAV-2MA;CAS-SMF-RAV-2MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25004;400;400
CAS-SMF-RAV-3MA;CAS-SMF-RAV-3MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25005;401;401
CAS-SMF-RAV-4MA;CAS-SMF-RAV-4MA;CAS-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25006;402;402
COR-SMF-RAV-1MA;COR-SMF-RAV-1MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25010;406;406
COR-SMF-RAV-2MA;COR-SMF-RAV-2MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25004;400;400
COR-SMF-RAV-3MA;COR-SMF-RAV-3MA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25005;401;401
COR-SMF-RAV-1CA;COR-SMF-RAV-1CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25006;402;402
COR-SMF-RAV-2CA;COR-SMF-RAV-2CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25008;404;404
COR-SMF-RAV-3CA;COR-SMF-RAV-3CA;COR-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25009;405;405
EST-SMF-RAV-1MA;EST-SMF-RAV-1MA;EST-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25004;400;400
EST-SMF-RAV-1CA;EST-SMF-RAV-1CA;EST-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25005;401;401
STM2-SMF-RAV-1MA;STM2-SMF-RAV-1MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25004;400;400
STM2-SMF-RAV-1CA;STM2-SMF-RAV-1CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25006;402;402
STM2-SMF-RAV-2MA;STM2-SMF-RAV-2MA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25008;404;404
STM2-SMF-RAV-2CA;STM2-SMF-RAV-2CA;STM2-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25009;405;405
NG-SMF-RAV-1MA;NG-SMF-RAV-1MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25004;400;400
NG-SMF-RAV-2MA;NG-SMF-RAV-2MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25005;401;401
NG-SMF-RAV-3MA;NG-SMF-RAV-3MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25007;403;403
NG-SMF-RAV-4MA;NG-SMF-RAV-4MA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25008;404;404
NG-SMF-RAV-1CA;NG-SMF-RAV-1CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25009;405;405
NG-SMF-RAV-2CA;NG-SMF-RAV-2CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25010;406;406
NG-SMF-RAV-3CA;NG-SMF-RAV-3CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25012;408;408
NG-SMF-RAV-4CA;NG-SMF-RAV-4CA;NG-ERU;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;monitor;;25013;409;409
