device_name;session_uid;url_publisher;url_dai
STMI-DAI-1CA;STMI-DAI-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;http:\/\/192.168.13.18
CH-DAI;CH-DAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;http:\/\/192.168.9.18
RV-DAI;RV-DAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;http:\/\/192.168.11.18
MM-DAI;MM-DAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;http:\/\/192.168.12.18
CAS-DAI-1CA;CAS-DAI-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;http:\/\/192.168.5.147
COR-DAI;COR-DAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;http:\/\/192.168.15.20
EST-DAI;EST-DAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;http:\/\/192.168.16.18
LQ-DAI;LQ-DAI;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;http:\/\/192.168.14.18
NG-DAI-1;NG-DAI-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;http:\/\/192.168.17.15
STM2-DAI-1;STM2-DAI-1;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;http:\/\/192.168.10.18
