device_name;session_uid;url_publisher;host;PLC_name;PLC_host;PLC_port(i);offset_door_open(i);read_permission;write_permission
RV-SOSE-1CA;RV-SOSE-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.11.24;RV-CTITS;192.168.11.10;502;7;monitor;
RV-SOSE-2CA;RV-SOSE-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.11.32;RV-PLCE-1CA;192.168.11.29;502;5;monitor;
RV-SOSE-1MA;RV-SOSE-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.11.33;RV-PLCE-1CA;192.168.11.29;502;4;monitor;
RV-SOSE-2MA;RV-SOSE-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.11.25;RV-CTITS;192.168.11.10;502;6;monitor;
MM-SOSE-2CA;MM-SOSE-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.24;MM-Rack-Exterior;192.168.12.37;502;5;monitor;
MM-SOSE-1MA;MM-SOSE-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.25;MM-Rack-Exterior;192.168.12.37;502;4;monitor;
MM-SOSE-1CA;MM-SOSE-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.40;MM-CTITS;192.168.12.10;502;7;monitor;
MM-SOSE-2MA;MM-SOSE-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.41;MM-CTITS;192.168.12.10;502;6;monitor;
STMI-SOSE-1MA;STMI-SOSE-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.13.24;STMI-CTITS;192.168.13.10;502;7;monitor;
STMI-SOSE-2CA;STMI-SOSE-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.13.23;STMI-CTITS;192.168.13.10;502;8;monitor;
STMI-SOSE-1CA;STMI-SOSE-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.13.34;STMI-Rack-M;192.168.13.29;502;5;monitor;
STMI-SOSE-2MA;STMI-SOSE-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.13.35;STMI-Rack-M;192.168.13.29;502;4;monitor;
LQ-SOSE-2CA;LQ-SOSE-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.46;LQ-Rack-Exterior-BC;192.168.14.42;502;4;monitor;
LQ-SOSE-1MA;LQ-SOSE-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.47;LQ-Rack-Exterior-BC;192.168.14.42;502;5;monitor;
LQ-SOSE-1CA;LQ-SOSE-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.26;LQ-Rack-Exterior-BM;192.168.14.23;502;4;monitor;
LQ-SOSE-2MA;LQ-SOSE-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.25;LQ-Rack-Exterior-BM;192.168.14.23;502;5;monitor;
CH-SOSE-1CA;CH-SOSE-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.9.26;CH-PLCE-1CA;192.168.9.39;502;4;monitor;
CH-SOSE-2MA;CH-SOSE-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.9.44;CH-PLCE-1CA;192.168.9.39;502;5;monitor;
CH-SOSE-2CA;CH-SOSE-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.9.43;CH-PLCE-1MA;192.168.9.23;502;4;monitor;
CH-SOSE-1MA;CH-SOSE-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.9.25;CH-PLCE-1MA;192.168.9.23;502;5;monitor;
CAS-SOSE-1MA;CAS-SOSE-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.5.195;CAS-PLC-CT-C;192.168.5.130;502;7;monitor;
CAS-SOSE-2CA;CAS-SOSE-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.5.194;CAS-PLC-CT-C;192.168.5.130;502;6;monitor;
CAS-SOSE-2MA;CAS-SOSE-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.5.151;CAS-PLC-CT-M;192.168.5.186;502;7;monitor;
CAS-SOSE-1CA;CAS-SOSE-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.5.150;CAS-PLC-CT-M;192.168.5.186;502;6;monitor;
COR-SOSE-1MA;COR-SOSE-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.15.65;COR-PLCL-BC;192.168.15.10;502;6;monitor;
