device_name;session_uid;url_publisher;host;PLC_name;PLC_host;PLC_port(i);offset_door_open(i);offset_left_ext(i);offset_right_ext(i);offset_alarm_fa(i);read_permission;write_permission
RV-SOS-1CA;RV-SOS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.11.35;RV-SOS-1CA;192.168.11.36;502;1;0;2;6;monitor;
RV-SOS-1MA;RV-SOS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.11.26;RV-SOS-1MA;192.168.11.27;502;1;0;2;5;monitor;
MM-SOS-1MA;MM-SOS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.43;MM-SOS-M1;192.168.12.44;502;1;0;2;3;monitor;
MM-SOS-2MA;MM-SOS-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.46;MM-SOS-M2;192.168.12.47;502;1;0;2;3;monitor;
MM-SOS-3MA;MM-SOS-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.49;MM-SOS-M3;192.168.12.50;502;1;0;2;3;monitor;
MM-SOS-1CA;MM-SOS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.26;MM-SOS-C1;192.168.12.27;502;1;0;2;3;monitor;
MM-SOS-2CA;MM-SOS-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.29;MM-SOS-C2;192.168.12.30;502;1;0;2;3;monitor;
MM-SOS-3CA;MM-SOS-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.12.32;MM-SOS-C3;192.168.12.33;502;1;0;2;3;monitor;
STMI-SOS-1CA;STMI-SOS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.13.26;STMI-SOS-C1;192.168.13.27;502;1;0;2;3;monitor;
STMI-SOS-1MA;STMI-SOS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.13.38;STMI-SOS-M1;192.168.13.36;502;1;0;2;3;monitor;
LQ-SOS-1MA;LQ-SOS-1MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.28;LQ-PLCSI-1MA;192.168.14.29;502;1;0;2;4;monitor;
LQ-SOS-2MA;LQ-SOS-2MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.31;LQ-PLCSI-2MA;192.168.14.32;502;1;0;2;4;monitor;
LQ-SOS-3MA;LQ-SOS-3MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.34;LQ-PLCSI-3MA;192.168.14.35;502;1;0;2;4;monitor;
LQ-SOS-4MA;LQ-SOS-4MA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.37;LQ-PLCSI-4MA;192.168.14.38;502;1;0;2;4;monitor;
LQ-SOS-1CA;LQ-SOS-1CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.48;LQ-PLCSI-1CA;192.168.14.49;502;1;0;2;4;monitor;
LQ-SOS-2CA;LQ-SOS-2CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.51;LQ-PLCSI-2CA;192.168.14.53;502;1;0;2;4;monitor;
LQ-SOS-3CA;LQ-SOS-3CA;http:\/\/192.168.0.150:3000\/api\/v2\/generic\/;192.168.14.55;LQ-PLCSI-3CA;192.168.14.56;502;1;0;2;4;monitor;
